# c0 + a0 * ((surface_area^2) / (av_E_def_subsurf * std_dev)) + a1 * (exp(2.966340e-03*((time+6.358991e+02) / (av_mu_C_critical_surf+4.051817e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.143465384681319; Max AE: 0.71700374028833
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  3.300631279493042e-05,  4.823490372239021e+00,  2.243800479904751e-02, 
# 3   ,  3.171125829409331e-05,  4.855482276424349e+00, -1.693858366173152e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g^-2 * m^4 * nm^-1;                       4|sq|14|3|mult|div; ((surface_area^2) / (av_E_def_subsurf * std_dev)); $\left(\frac{ \left(surface_{area}^2\right) }{ \left(av_{E, def, subsurf} std_{dev}\right) } \right)$; ((surface_area).^2 ./ (av_E_def_subsurf .* std_dev)); surface_area,av_E_def_subsurf,std_dev
# 1;  2; Unitless;                                         0|11|div|exp:2.9663395757446e-03,0.0000000000000e+00,6.3589905197666e+02,4.0518173283197e+00; (exp(2.966340e-03*((time+6.358991e+02) / (av_mu_C_critical_surf+4.051817e+00)))); $\left(\exp{ \left(2.966e-03\left(\frac{ time +6.359e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.966340e-03.*((time+6.358991e+02) ./ (av_mu_C_critical_surf+4.051817e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  3.070506923139087e-01,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  2.699519023258521e-01,  7.480327868852472e+03,  1.276785131300632e-04
PdAg_1_5_100,  3.293542674131830e-01,  2.698471763456459e-01,  7.480327868852472e+03,  1.059668537041614e-04
PdAg_1_5_100,  2.565338589410230e-01,  2.697602589595370e-01,  7.480327868852472e+03,  8.794724976567089e-05
PdAg_1_5_100,  2.398208440226360e-01,  2.696881218261044e-01,  7.480327868852472e+03,  7.299186935321392e-05
PdAg_1_5_100,  2.303037511075600e-01,  2.696282515716841e-01,  7.480327868852472e+03,  6.057964297771940e-05
PdAg_1_5_100,  2.261682956735730e-01,  2.695785622203920e-01,  7.480327868852472e+03,  5.027810872398705e-05
PdAg_1_5_100,  2.236877838869310e-01,  2.695373225153708e-01,  7.480327868852472e+03,  4.172834458253237e-05
PdAg_1_5_100,  2.164592134781930e-01,  2.694746889505641e-01,  7.480327868852472e+03,  2.874323214877598e-05
PdAg_1_5_100,  2.141497061269980e-01,  2.694511128367194e-01,  7.480327868852472e+03,  2.385546167029199e-05
PdAg_1_5_100,  2.121100061106850e-01,  2.694315458277886e-01,  7.480327868852472e+03,  1.979885381564525e-05
PdAg_1_5_100,  2.099035907134980e-01,  2.694153061777333e-01,  7.480327868852472e+03,  1.643206984761290e-05
PdAg_1_5_100,  2.074551680388040e-01,  2.694018280710463e-01,  7.480327868852472e+03,  1.363780560183046e-05
PdAg_1_5_100,  2.050856479851930e-01,  2.693906419088292e-01,  7.480327868852472e+03,  1.131870442118021e-05
PdAg_1_5_100,  2.038357874315140e-01,  2.693813579472126e-01,  7.480327868852472e+03,  9.393965093390772e-06
PdAg_1_5_100,  2.024470208367670e-01,  2.693736527180529e-01,  7.480327868852472e+03,  7.796526606942067e-06
PdAg_1_5_100,  2.013479605126910e-01,  2.693672577587830e-01,  7.480327868852472e+03,  6.470731637647025e-06
PdAg_1_5_100,  2.000269286823050e-01,  2.693619502587441e-01,  7.480327868852472e+03,  5.370387358027437e-06
PdAg_1_5_100,  1.973081438407180e-01,  2.693575452961049e-01,  7.480327868852472e+03,  4.457156004965837e-06
PdAg_1_5_100,  1.969854579108610e-01,  2.693538893948879e-01,  7.480327868852472e+03,  3.699219130424141e-06
PdAg_1_5_100,  1.963439311488950e-01,  2.693508551776188e-01,  7.480327868852472e+03,  3.070168995576996e-06
PdAg_1_5_100,  1.940684048443220e-01,  2.693483369272916e-01,  7.480327868852472e+03,  2.548088482750010e-06
PdAg_1_5_100,  1.905512205622570e-01,  2.693445122880275e-01,  7.480327868852472e+03,  1.755169047035829e-06
PdAg_1_5_100,  1.891192110734720e-01,  2.693430726425118e-01,  7.480327868852472e+03,  1.456703536669907e-06
PdAg_1_5_100,  1.877437449997070e-01,  2.693418778079072e-01,  7.480327868852472e+03,  1.208991918658931e-06
PdAg_1_5_100,  1.848761965650050e-01,  2.693400631307508e-01,  7.480327868852472e+03,  8.327753169138265e-07
PdAg_1_5_100,  1.846523109974680e-01,  2.693393800619304e-01,  7.480327868852472e+03,  6.911623421393495e-07
PdAg_1_5_100,  1.849359671980280e-01,  2.693388131485792e-01,  7.480327868852472e+03,  5.736305741647996e-07
PdAg_1_1_100,  1.535896786579120e+00,  1.310442201530155e+00,  6.264473684210526e+03,  2.241607084026466e-01
PdAg_1_1_100,  1.542341149952750e+00,  1.277346991276859e+00,  6.264473684210526e+03,  2.172994507449614e-01
PdAg_1_1_100,  1.476543275391880e+00,  1.245264780877112e+00,  6.264473684210526e+03,  2.106482069517961e-01
PdAg_1_1_100,  1.443594468047830e+00,  1.214164563768469e+00,  6.264473684210526e+03,  2.042005487813485e-01
PdAg_1_1_100,  1.385113175840640e+00,  1.184016282457643e+00,  6.264473684210526e+03,  1.979502447516482e-01
PdAg_1_1_100,  1.289499794158380e+00,  1.154790799470769e+00,  6.264473684210526e+03,  1.918912541180030e-01
PdAg_1_1_100,  1.208605384312000e+00,  1.126459869192852e+00,  6.264473684210526e+03,  1.860177210347876e-01
PdAg_1_1_100,  1.124408621718650e+00,  1.098996110569164e+00,  6.264473684210526e+03,  1.803239688959314e-01
PdAg_1_1_100,  1.010936655602070e+00,  1.046564748898746e+00,  6.264473684210526e+03,  1.694539644750289e-01
PdAg_1_1_100,  9.741100506334990e-01,  1.021546472401858e+00,  6.264473684210526e+03,  1.642672066365813e-01
PdAg_1_1_100,  9.478991583993770e-01,  9.972939716844085e-01,  6.264473684210526e+03,  1.592392084763628e-01
PdAg_1_1_100,  9.217389182624810e-01,  9.737838073802018e-01,  6.264473684210526e+03,  1.543651105742468e-01
PdAg_1_1_100,  8.995066396137220e-01,  9.509932575705027e-01,  6.264473684210526e+03,  1.496402022504183e-01
PdAg_1_1_100,  8.704807885278290e-01,  9.289002958239345e-01,  6.264473684210526e+03,  1.450599170126325e-01
PdAg_1_1_100,  8.640896201761730e-01,  9.074835699085467e-01,  6.264473684210526e+03,  1.406198281428280e-01
PdAg_1_1_100,  8.305147648333780e-01,  8.470869688604843e-01,  6.264473684210526e+03,  1.280984802418003e-01
PdAg_1_1_100,  8.196082741920870e-01,  8.281744387969420e-01,  6.264473684210526e+03,  1.241775581285540e-01
PdAg_1_1_100,  8.088625391977590e-01,  8.098407958302924e-01,  6.264473684210526e+03,  1.203766501652737e-01
PdAg_1_1_100,  7.987791951287240e-01,  7.920683210054399e-01,  6.264473684210526e+03,  1.166920828803176e-01
PdAg_1_1_100,  7.909704423439380e-01,  7.748398377206616e-01,  6.264473684210526e+03,  1.131202952420682e-01
PdAg_1_1_100,  7.811341630508190e-01,  7.581386951269002e-01,  6.264473684210526e+03,  1.096578352172939e-01
PdAg_1_1_100,  7.616541677031310e-01,  7.262543613166167e-01,  6.264473684210526e+03,  1.030476149515316e-01
PdAg_1_1_100,  7.507945291751720e-01,  7.110403547798614e-01,  6.264473684210526e+03,  9.989346611683761e-02
PdAg_1_1_100,  7.431020909817240e-01,  6.962920285115091e-01,  6.264473684210526e+03,  9.683586153380902e-02
PdAg_1_1_100,  7.336770425315350e-01,  6.819951286651548e-01,  6.264473684210526e+03,  9.387184611281052e-02
PdAg_1_1_100,  7.318398412815810e-01,  6.681358376854526e-01,  6.264473684210526e+03,  9.099855521552429e-02
