# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_BE_H_subsurf^3) / cbrt(std_dev)) + a2 * ((av_E_b_C_subsurf * av_mu_C_critical_subsurf) / (ln(1.0*time+8.123252e+00)))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.116400536709263; Max AE: 0.54064617005691
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -6.680783587723895e-07, -1.689567047534492e-01, -1.165645601090584e-01, -5.626131887586970e-01, 
# 3   , -1.257548370393353e-06, -1.155397372484918e-01, -1.573681544286899e-01, -7.809022805485698e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV^3 * nm^-0.333333;                              19|cb|3|cbrt|div; ((av_BE_H_subsurf^3) / cbrt(std_dev)); $\left(\frac{ \left(av_{BE, H, subsurf}^3\right) }{ \left(\sqrt[3]{ std_{dev} }\right) } \right)$; ((av_BE_H_subsurf).^3 ./ nthroot(std_dev, 3)); av_BE_H_subsurf,std_dev
# 2;  2; eV^2;                                             13|12|mult|0|log:1.0000000000000e+00,8.1232516158803e+00|div; ((av_E_b_C_subsurf * av_mu_C_critical_subsurf) / (ln(1.0*time+8.123252e+00))); $\left(\frac{ \left(av_{E, b, C, subsurf} av_{mu, C, critical, subsurf}\right) }{ \left(\ln{ \left(1.0time+8.123e+00 \right)}\right) } \right)$; ((av_E_b_C_subsurf .* av_mu_C_critical_subsurf) ./ log(1.0*time+8.123252e+00)); av_E_b_C_subsurf,av_mu_C_critical_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  5.743293653384677e-01,  7.660313335186942e+01, -2.036050922430922e+00, -6.803004924367211e+00
PdAg_1_9_100,  6.062451827416920e-01,  4.661890538280845e-01,  1.532062667037388e+02, -2.036050922430922e+00, -5.875715064450544e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.087871946193565e-01,  2.298094000556082e+02, -2.036050922430922e+00, -5.383707182642696e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.446118279771114e-01,  3.830156667593470e+02, -2.036050922430922e+00, -4.834028851672416e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.239472365537676e-01,  4.596188001112164e+02, -2.036050922430922e+00, -4.657187670197950e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.073625565330427e-01,  5.362219334630859e+02, -2.036050922430922e+00, -4.515347790995819e+00
PdAg_1_9_100,  2.773647395214370e-01,  2.936305031785756e-01,  6.128250668149553e+02, -2.036050922430922e+00, -4.397980415817115e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.819893198962194e-01,  6.894282001668247e+02, -2.036050922430922e+00, -4.298550482946387e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.631278082127156e-01,  8.426344668705635e+02, -2.036050922430922e+00, -4.137616852049143e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.553133081068609e-01,  9.192376002224329e+02, -2.036050922430922e+00, -4.071015792490519e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.483107091509187e-01,  9.958407335743022e+02, -2.036050922430922e+00, -4.011379981624576e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.419815295578734e-01,  1.072443866926172e+03, -2.036050922430922e+00, -3.957521392945779e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.309378609653917e-01,  1.225650133629911e+03, -2.036050922430922e+00, -3.863656544221330e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.260715635983599e-01,  1.302253266981780e+03, -2.036050922430922e+00, -3.822347929776938e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.215650465825561e-01,  1.378856400333649e+03, -2.036050922430922e+00, -3.784125848245220e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.173733355628945e-01,  1.455459533685519e+03, -2.036050922430922e+00, -3.748604467474073e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.134590812598089e-01,  1.532062667037388e+03, -2.036050922430922e+00, -3.715463370352748e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.097909616601763e-01,  1.608665800389258e+03, -2.036050922430922e+00, -3.684433847308676e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.063424768895397e-01,  1.685268933741127e+03, -2.036050922430922e+00, -3.655288557592388e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.971042047893050e-01,  1.915078333796735e+03, -2.036050922430922e+00, -3.577351134717757e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.943374386605163e-01,  1.991681467148604e+03, -2.036050922430922e+00, -3.554054266178628e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.917041228124874e-01,  2.068284600500474e+03, -2.036050922430922e+00, -3.531902259170610e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.891930202005402e-01,  2.144887733852343e+03, -2.036050922430922e+00, -3.510798711797042e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.844988542474029e-01,  2.298094000556082e+03, -2.036050922430922e+00, -3.471405845237703e+00
PdAg_1_5_100,  5.770639017232591e-01,  6.819799535819230e-01,  9.122135255363506e+01, -2.183318680602574e+00, -7.513156270066021e+00
PdAg_1_5_100,  3.293542674131830e-01,  5.625466790073161e-01,  1.824427051072701e+02, -2.183318680602574e+00, -6.489068576075476e+00
PdAg_1_5_100,  2.565338589410230e-01,  4.991483368312158e-01,  2.736640576609052e+02, -2.183318680602574e+00, -5.945701028466302e+00
PdAg_1_5_100,  2.398208440226360e-01,  4.579619188931568e-01,  3.648854102145402e+02, -2.183318680602574e+00, -5.592888176188707e+00
PdAg_1_5_100,  2.303037511075600e-01,  4.282649911891761e-01,  4.561067627681754e+02, -2.183318680602574e+00, -5.338642935055776e+00
PdAg_1_5_100,  2.261682956735730e-01,  4.054388427532601e-01,  5.473281153218104e+02, -2.183318680602574e+00, -5.143341675366572e+00
PdAg_1_5_100,  2.236877838869310e-01,  3.871184990722557e-01,  6.385494678754454e+02, -2.183318680602574e+00, -4.986695430123405e+00
PdAg_1_5_100,  2.164592134781930e-01,  3.590877560055800e-01,  8.209921729827156e+02, -2.183318680602574e+00, -4.747267108019621e+00
PdAg_1_5_100,  2.141497061269980e-01,  3.479818632789408e-01,  9.122135255363507e+02, -2.183318680602574e+00, -4.652513181913723e+00
PdAg_1_5_100,  2.121100061106850e-01,  3.382484831356611e-01,  1.003434878089986e+03, -2.183318680602574e+00, -4.569533954584841e+00
PdAg_1_5_100,  2.099035907134980e-01,  3.296138199663672e-01,  1.094656230643621e+03, -2.183318680602574e+00, -4.495980550790642e+00
PdAg_1_5_100,  2.074551680388040e-01,  3.218758105968213e-01,  1.185877583197256e+03, -2.183318680602574e+00, -4.430119483319841e+00
PdAg_1_5_100,  2.050856479851930e-01,  3.148815174181327e-01,  1.277098935750891e+03, -2.183318680602574e+00, -4.370638710083939e+00
PdAg_1_5_100,  2.038357874315140e-01,  3.085126834673287e-01,  1.368320288304526e+03, -2.183318680602574e+00, -4.316523712065646e+00
PdAg_1_5_100,  2.024470208367670e-01,  3.026761758022278e-01,  1.459541640858161e+03, -2.183318680602574e+00, -4.266975507635429e+00
PdAg_1_5_100,  2.013479605126910e-01,  2.972974720418820e-01,  1.550762993411796e+03, -2.183318680602574e+00, -4.221354773993304e+00
PdAg_1_5_100,  2.000269286823050e-01,  2.923161053453375e-01,  1.641984345965431e+03, -2.183318680602574e+00, -4.179142769929274e+00
PdAg_1_5_100,  1.973081438407180e-01,  2.876824065793716e-01,  1.733205698519066e+03, -2.183318680602574e+00, -4.139913387086079e+00
PdAg_1_5_100,  1.969854579108610e-01,  2.833551276518434e-01,  1.824427051072701e+03, -2.183318680602574e+00, -4.103312760686103e+00
PdAg_1_5_100,  1.963439311488950e-01,  2.792996769106957e-01,  1.915648403626337e+03, -2.183318680602574e+00, -4.069044131130847e+00
