# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((ln(-1.0*av_E_def_subsurf+3.663327e-01)) * (std_dev / surface_area)) + a2 * ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time+3.468814e+01)))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.10835042366222; Max AE: 0.450325069526087
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -9.137330436503468e-07,  2.433207235836014e+00,  1.960292812374923e+00,  1.733169779177230e-01, 
# 3   , -1.430707717108937e-06,  3.080151196144317e+00,  1.851130488515375e+00,  1.005294850147972e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; g * m^-2 * nm;                                    14|log:-1.0000000000000e+00,3.6633274401613e-01|3|4|div|mult; ((ln(-1.0*av_E_def_subsurf+3.663327e-01)) * (std_dev / surface_area)); $\left(\left(\ln{ \left(-1.0av_{E, def, subsurf}+3.663e-01 \right)}\right) \left(\frac{ std_{dev} }{ surface_{area} } \right)\right)$; (log(-1.0*av_E_def_subsurf+3.663327e-01) .* (std_dev ./ surface_area)); av_E_def_subsurf,std_dev,surface_area
# 2;  2; eV;                                               18|12|sub|0|log:1.0000000000000e+00,3.4688141205375e+01|div; ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time+3.468814e+01))); $\left(\frac{ \left(av_{d, band, center, surf} - av_{mu, C, critical, subsurf}\right) }{ \left(\ln{ \left(1.0time+3.469e+01 \right)}\right) } \right)$; ((av_d_band_center_surf - av_mu_C_critical_subsurf) ./ log(1.0*time+3.468814e+01)); av_d_band_center_surf,av_mu_C_critical_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  2.937264335510523e-01,  7.660313335186942e+01, -7.522619067642405e-02,  1.548341962025844e-01
PdAg_1_9_100,  6.062451827416920e-01,  2.754707490427761e-01,  1.532062667037388e+02, -7.522619067642405e-02,  1.455571690261938e-01
PdAg_1_9_100,  2.919675286925200e-01,  2.441345545142466e-01,  3.830156667593470e+02, -7.522619067642405e-02,  1.296788217254926e-01
PdAg_1_9_100,  2.856868471553150e-01,  2.374252212289176e-01,  4.596188001112164e+02, -7.522619067642405e-02,  1.262919101226823e-01
PdAg_1_9_100,  2.813651505179750e-01,  2.317343458167568e-01,  5.362219334630859e+02, -7.522619067642405e-02,  1.234245422669790e-01
PdAg_1_9_100,  2.773647395214370e-01,  2.268166855110933e-01,  6.128250668149553e+02, -7.522619067642405e-02,  1.209516129878068e-01
PdAg_1_9_100,  2.725813187048580e-01,  2.152373567006045e-01,  8.426344668705635e+02, -7.522619067642405e-02,  1.151517935444338e-01
PdAg_1_9_100,  2.710137208355010e-01,  2.121283733368455e-01,  9.192376002224329e+02, -7.522619067642405e-02,  1.136015207839646e-01
PdAg_1_9_100,  2.699577938430830e-01,  2.092941478443274e-01,  9.958407335743022e+02, -7.522619067642405e-02,  1.121914096715444e-01
PdAg_1_9_100,  2.691444146104700e-01,  2.066936838391231e-01,  1.072443866926172e+03, -7.522619067642405e-02,  1.109005468090990e-01
PdAg_1_9_100,  2.658907762370700e-01,  2.020690819437539e-01,  1.225650133629911e+03, -7.522619067642405e-02,  1.086128210985943e-01
PdAg_1_9_100,  2.650229112638520e-01,  1.999965149068511e-01,  1.302253266981780e+03, -7.522619067642405e-02,  1.075912531929884e-01
PdAg_1_9_100,  2.637375021423530e-01,  1.980583638745968e-01,  1.378856400333649e+03, -7.522619067642405e-02,  1.066382546377368e-01
PdAg_1_9_100,  2.642144249687690e-01,  1.962394308985174e-01,  1.455459533685519e+03, -7.522619067642405e-02,  1.057460725357325e-01
PdAg_1_9_100,  2.621887653386570e-01,  1.945268612848071e-01,  1.532062667037388e+03, -7.522619067642405e-02,  1.049081493493848e-01
PdAg_1_9_100,  2.597681369110620e-01,  1.913785190709520e-01,  1.685268933741127e+03, -7.522619067642405e-02,  1.033735048480723e-01
