# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((std_dev / surface_area) * (av_delta_M1_M2_subsurf * av_E_b_C_subsurf)) + a2 * (exp(2.872640e-03*((time+6.523718e+02) / (av_mu_C_critical_surf+4.051943e+00)))) + a3 * ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time+3.468814e+01)))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0956931713292569; Max AE: 0.434705660445162
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -8.788554373760725e-07, -1.377122566045494e+01,  9.431886527634848e-01,  1.631022196118353e+00,  2.401259837933838e-01, 
# 3   , -1.043880153389375e-06, -2.135032217243522e+01,  3.083811526402326e+00,  7.187369738269619e-01,  3.638354374952103e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV * g * m^-2 * nm;                               3|4|div|15|13|mult|mult; ((std_dev / surface_area) * (av_delta_M1_M2_subsurf * av_E_b_C_subsurf)); $\left(\left(\frac{ std_{dev} }{ surface_{area} } \right) \left(av_{delta, M1, M2, subsurf} av_{E, b, C, subsurf}\right)\right)$; ((std_dev ./ surface_area) .* (av_delta_M1_M2_subsurf .* av_E_b_C_subsurf)); std_dev,surface_area,av_delta_M1_M2_subsurf,av_E_b_C_subsurf
# 2;  2; Unitless;                                         0|11|div|exp:2.8726398533608e-03,0.0000000000000e+00,6.5237181886210e+02,4.0519434084863e+00; (exp(2.872640e-03*((time+6.523718e+02) / (av_mu_C_critical_surf+4.051943e+00)))); $\left(\exp{ \left(2.873e-03\left(\frac{ time +6.524e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.872640e-03.*((time+6.523718e+02) ./ (av_mu_C_critical_surf+4.051943e+00))); time,av_mu_C_critical_surf
# 3;  2; eV;                                               18|12|sub|0|log:1.0000000000000e+00,3.4688141205375e+01|div; ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time+3.468814e+01))); $\left(\frac{ \left(av_{d, band, center, surf} - av_{mu, C, critical, subsurf}\right) }{ \left(\ln{ \left(1.0time+3.469e+01 \right)}\right) } \right)$; ((av_d_band_center_surf - av_mu_C_critical_subsurf) ./ log(1.0*time+3.468814e+01)); av_d_band_center_surf,av_mu_C_critical_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.011724996167165e-01,  7.660313335186942e+01,  1.390030027397260e-02,  0.000000000000000e+00,  1.548341962025844e-01
PdAg_1_9_100,  6.062451827416920e-01,  2.859741392977638e-01,  1.532062667037388e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.455571690261938e-01
PdAg_1_9_100,  2.919675286925200e-01,  2.598742331718452e-01,  3.830156667593470e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.296788217254926e-01
PdAg_1_9_100,  2.856868471553150e-01,  2.542827820911045e-01,  4.596188001112164e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.262919101226823e-01
PdAg_1_9_100,  2.813651505179750e-01,  2.495387183937499e-01,  5.362219334630859e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.234245422669790e-01
PdAg_1_9_100,  2.773647395214370e-01,  2.454379927697227e-01,  6.128250668149553e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.209516129878068e-01
PdAg_1_9_100,  2.725813187048580e-01,  2.357763892833035e-01,  8.426344668705635e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.151517935444338e-01
PdAg_1_9_100,  2.710137208355010e-01,  2.331805369206743e-01,  9.192376002224329e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.136015207839646e-01
PdAg_1_9_100,  2.699577938430830e-01,  2.308132913170574e-01,  9.958407335743022e+02,  1.390030027397260e-02,  0.000000000000000e+00,  1.121914096715444e-01
PdAg_1_9_100,  2.691444146104700e-01,  2.286405422559977e-01,  1.072443866926172e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.109005468090990e-01
PdAg_1_9_100,  2.658907762370700e-01,  2.247745646830013e-01,  1.225650133629911e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.086128210985943e-01
PdAg_1_9_100,  2.650229112638520e-01,  2.230410416738497e-01,  1.302253266981780e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.075912531929884e-01
PdAg_1_9_100,  2.637375021423530e-01,  2.214193567970991e-01,  1.378856400333649e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.066382546377368e-01
PdAg_1_9_100,  2.642144249687690e-01,  2.198968649054842e-01,  1.455459533685519e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.057460725357325e-01
PdAg_1_9_100,  2.621887653386570e-01,  2.184628705096427e-01,  1.532062667037388e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.049081493493848e-01
PdAg_1_9_100,  2.597681369110620e-01,  2.158251851043184e-01,  1.685268933741127e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.033735048480723e-01
PdAg_1_9_100,  2.562832756759230e-01,  2.123418087993423e-01,  1.915078333796735e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.013616333530146e-01
PdAg_1_9_100,  2.518192543109310e-01,  2.102740698278241e-01,  2.068284600500474e+03,  1.390030027397260e-02,  0.000000000000000e+00,  1.001764301009766e-01
PdAg_1_9_100,  2.496764650829220e-01,  2.093044514475212e-01,  2.144887733852343e+03,  1.390030027397260e-02,  0.000000000000000e+00,  9.962322162706130e-02
