# c0 + a0 * ((particle_diameter / time) / (av_E_b_C_subsurf + av_mu_C_critical_surf)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)) + a3 * (exp(3.761437e-03*((time+5.093354e+02) / (av_mu_C_critical_subsurf+4.022262e+00)))) + a4 * (exp(2.379089e-03*((time+1.169295e+03) / (av_BE_H_surf+1.561440e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0851696108189656; Max AE: 0.421516499393314
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  2.270566710534538e-01, -1.020844615720901e-06, -1.561533544291719e+01,  5.834684975174936e+00, -1.873994453863097e+01,  6.890195684703213e-01, 
# 3   ,  5.519316877378792e-02, -1.239008811753995e-06, -1.862151273491869e+01,  3.609847217058451e+00, -1.145421970084504e+00,  5.646189478507985e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * min^-1 * nm;                              2|0|div|13|11|add|div; ((particle_diameter / time) / (av_E_b_C_subsurf + av_mu_C_critical_surf)); $\left(\frac{ \left(\frac{ particle_{diameter} }{ time } \right) }{ \left(av_{E, b, C, subsurf} + av_{mu, C, critical, surf}\right) } \right)$; ((particle_diameter ./ time) ./ (av_E_b_C_subsurf + av_mu_C_critical_surf)); particle_diameter,time,av_E_b_C_subsurf,av_mu_C_critical_surf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV * nm;                                          3|2|add|14|1|mult|mult; ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(std_{dev} + particle_{diameter}\right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; ((std_dev + particle_diameter) .* (av_E_def_subsurf .* total_metal_loading)); std_dev,particle_diameter,av_E_def_subsurf,total_metal_loading
# 3;  2; Unitless;                                         0|12|div|exp:3.7614370230246e-03,0.0000000000000e+00,5.0933543874496e+02,4.0222616844095e+00; (exp(3.761437e-03*((time+5.093354e+02) / (av_mu_C_critical_subsurf+4.022262e+00)))); $\left(\exp{ \left(3.761e-03\left(\frac{ time +5.093e+02 }{ av_{mu, C, critical, subsurf}+4.022e+00 } \right) \right)}\right)$; exp(3.761437e-03.*((time+5.093354e+02) ./ (av_mu_C_critical_subsurf+4.022262e+00))); time,av_mu_C_critical_subsurf
# 4;  2; Unitless;                                         0|16|div|exp:2.3790888130440e-03,0.0000000000000e+00,1.1692947741454e+03,1.5614395960653e+00; (exp(2.379089e-03*((time+1.169295e+03) / (av_BE_H_surf+1.561440e+00)))); $\left(\exp{ \left(2.379e-03\left(\frac{ time +1.169e+03 }{ av_{BE, H, surf}+1.561e+00 } \right) \right)}\right)$; exp(2.379089e-03.*((time+1.169295e+03) ./ (av_BE_H_surf+1.561440e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.853902031034185e-01,  7.111111111111110e-01,  7.660313335186942e+01,  2.354580000000000e-02,  1.249361357353362e-02,  9.084040824617065e-03
PdAg_1_9_100,  6.062451827416920e-01,  3.056751144839158e-01,  3.555555555555555e-01,  1.532062667037388e+02,  2.354580000000000e-02,  1.115688968772124e-02,  8.609453781421408e-03
PdAg_1_9_100,  2.919675286925200e-01,  2.622521038552108e-01,  1.422222222222222e-01,  3.830156667593470e+02,  2.354580000000000e-02,  7.945264305052482e-03,  7.329344981308184e-03
PdAg_1_9_100,  2.856868471553150e-01,  2.590076448877495e-01,  1.185185185185185e-01,  4.596188001112164e+02,  2.354580000000000e-02,  7.095180018937308e-03,  6.946430347788066e-03
PdAg_1_9_100,  2.813651505179750e-01,  2.574567118424577e-01,  1.015873015873016e-01,  5.362219334630859e+02,  2.354580000000000e-02,  6.336048439460276e-03,  6.583520723847634e-03
PdAg_1_9_100,  2.773647395214370e-01,  2.569854599098604e-01,  8.888888888888888e-02,  6.128250668149553e+02,  2.354580000000000e-02,  5.658138302345685e-03,  6.239570966853896e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.591289792037782e-01,  6.464646464646465e-02,  8.426344668705635e+02,  2.354580000000000e-02,  4.029385029785975e-03,  5.311831541521629e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.605127137950813e-01,  5.925925925925925e-02,  9.192376002224329e+02,  2.354580000000000e-02,  3.598270750258406e-03,  5.034319972175453e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.620820661337606e-01,  5.470085470085471e-02,  9.958407335743022e+02,  2.354580000000000e-02,  3.213282497565868e-03,  4.771306729916460e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.637821105082501e-01,  5.079365079365079e-02,  1.072443866926172e+03,  2.354580000000000e-02,  2.869485129328210e-03,  4.522034363482977e-03
PdAg_1_9_100,  2.658907762370700e-01,  2.674163846061667e-01,  4.444444444444444e-02,  1.225650133629911e+03,  2.354580000000000e-02,  2.288306100046645e-03,  4.061878247219254e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.692928402952601e-01,  4.183006535947713e-02,  1.302253266981780e+03,  2.354580000000000e-02,  2.043474338284590e-03,  3.849669294795283e-03
PdAg_1_9_100,  2.637375021423530e-01,  2.711803302388385e-01,  3.950617283950617e-02,  1.378856400333649e+03,  2.354580000000000e-02,  1.824837757126344e-03,  3.648546996561331e-03
PdAg_1_9_100,  2.642144249687690e-01,  2.730629417698935e-01,  3.742690058479532e-02,  1.455459533685519e+03,  2.354580000000000e-02,  1.629593666749601e-03,  3.457932140850196e-03
PdAg_1_9_100,  2.621887653386570e-01,  2.749280276232838e-01,  3.555555555555556e-02,  1.532062667037388e+03,  2.354580000000000e-02,  1.455239244332749e-03,  3.277275776355431e-03
PdAg_1_9_100,  2.597681369110620e-01,  2.785675930513005e-01,  3.232323232323232e-02,  1.685268933741127e+03,  2.354580000000000e-02,  1.160498378541350e-03,  2.943784614644897e-03
PdAg_1_9_100,  2.562832756759230e-01,  2.837056339853128e-01,  2.844444444444445e-02,  1.915078333796735e+03,  2.354580000000000e-02,  8.264369910588517e-04,  2.506083839831899e-03
PdAg_1_9_100,  2.518192543109310e-01,  2.868731701217314e-01,  2.633744855967078e-02,  2.068284600500474e+03,  2.354580000000000e-02,  6.590523117249641e-04,  2.251068129186100e-03
