# c0 + a0 * ((av_BE_H_subsurf^3) / (ln(1.0*time+1.729027e+01)))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.196181789500167; Max AE: 0.812889756473503
# Coefficients
# Task   a0                      c0
# 2   , -1.009095297332249e+00, -2.778746795011929e-01, 
# 3   , -1.079976116260779e+00, -5.358041979395366e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^3;                                             19|cb|0|log:1.0000000000000e+00,1.7290271210703e+01|div; ((av_BE_H_subsurf^3) / (ln(1.0*time+1.729027e+01))); $\left(\frac{ \left(av_{BE, H, subsurf}^3\right) }{ \left(\ln{ \left(1.0time+1.729e+01 \right)}\right) } \right)$; ((av_BE_H_subsurf).^3 ./ log(1.0*time+1.729027e+01)); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.038149841220558e-01, -7.746440457009421e-01
PdAg_1_9_100,  3.628741788873400e-01,  4.525500192224537e-01, -7.238411482589150e-01
PdAg_1_9_100,  2.919675286925200e-01,  3.894859476809326e-01, -6.613454932813883e-01
PdAg_1_9_100,  2.856868471553150e-01,  3.679950364633779e-01, -6.400482864919300e-01
PdAg_1_9_100,  2.773647395214370e-01,  3.355442488835518e-01, -6.078899881967973e-01
PdAg_1_9_100,  2.742250823045090e-01,  3.228193207110427e-01, -5.952797538550557e-01
PdAg_1_9_100,  2.725813187048580e-01,  3.019261673884483e-01, -5.745749171782525e-01
PdAg_1_9_100,  2.710137208355010e-01,  2.931791566263844e-01, -5.659067460102881e-01
PdAg_1_9_100,  2.699577938430830e-01,  2.853000592535875e-01, -5.580986654517651e-01
PdAg_1_9_100,  2.691444146104700e-01,  2.781478003039265e-01, -5.510108720901574e-01
PdAg_1_9_100,  2.658907762370700e-01,  2.656043715062626e-01, -5.385805012115843e-01
PdAg_1_9_100,  2.650229112638520e-01,  2.600541468583660e-01, -5.330803025062987e-01
PdAg_1_9_100,  2.637375021423530e-01,  2.549030572303648e-01, -5.279756412898416e-01
PdAg_1_9_100,  2.642144249687690e-01,  2.501029615725952e-01, -5.232188104231636e-01
PdAg_1_9_100,  2.621887653386570e-01,  2.456136096657703e-01, -5.187699224750250e-01
PdAg_1_9_100,  2.609797547787540e-01,  2.414010408284721e-01, -5.145953228624462e-01
PdAg_1_9_100,  2.597681369110620e-01,  2.374363643125121e-01, -5.106663812387547e-01
PdAg_1_9_100,  2.537741737812260e-01,  2.236088772824718e-01, -4.969635257536523e-01
PdAg_1_9_100,  2.496764650829220e-01,  2.176754846044298e-01, -4.910836126337239e-01
PdAg_1_9_100,  2.453013105463630e-01,  2.122596834810880e-01, -4.857166258509497e-01
PdAg_1_5_100,  3.293542674131830e-01,  6.447160997201069e-01, -9.142751746642345e-01
PdAg_1_5_100,  2.565338589410230e-01,  5.842105230002490e-01, -8.543149539796104e-01
PdAg_1_5_100,  2.261682956735730e-01,  4.844143365326515e-01, -7.554182623277623e-01
PdAg_1_5_100,  2.236877838869310e-01,  4.636142488049196e-01, -7.348056524159718e-01
PdAg_1_5_100,  2.164592134781930e-01,  4.310956082221862e-01, -7.025801126986596e-01
PdAg_1_5_100,  2.141497061269980e-01,  4.180011930712318e-01, -6.896037216822986e-01
PdAg_1_5_100,  2.099035907134980e-01,  3.961127456468256e-01, -6.679125618064445e-01
PdAg_1_5_100,  2.074551680388040e-01,  3.868134253116488e-01, -6.586970592074715e-01
PdAg_1_5_100,  2.038357874315140e-01,  3.706579439729738e-01, -6.426871923679517e-01
PdAg_1_5_100,  2.013479605126910e-01,  3.570168870270054e-01, -6.291690866131916e-01
PdAg_1_5_100,  2.000269286823050e-01,  3.509373032549640e-01, -6.231443000661588e-01
PdAg_1_5_100,  1.969854579108610e-01,  3.399734143026275e-01, -6.122792321371715e-01
PdAg_1_5_100,  1.963439311488950e-01,  3.350015215592696e-01, -6.073521526467586e-01
PdAg_1_5_100,  1.940684048443220e-01,  3.303222042208957e-01, -6.027150114860133e-01
PdAg_1_5_100,  1.905512205622570e-01,  3.217283990756239e-01, -5.941986650438177e-01
PdAg_1_5_100,  1.877437449997070e-01,  3.140022851694064e-01, -5.865421890631615e-01
PdAg_1_5_100,  1.848761965650050e-01,  3.069993866676052e-01, -5.796024099161228e-01
PdAg_1_5_100,  1.846523109974680e-01,  3.037330452555408e-01, -5.763655090796015e-01
PdAg_1_5_100,  1.849359671980280e-01,  3.006073766270328e-01, -5.732680130980313e-01
PdAg_1_1_100,  1.535896786579120e+00,  1.806119852050180e+00, -2.065210825043819e+00
PdAg_1_1_100,  1.542341149952750e+00,  1.606247237255217e+00, -1.867139725789500e+00
PdAg_1_1_100,  1.476543275391880e+00,  1.482682287603226e+00, -1.744688506386674e+00
PdAg_1_1_100,  1.443594468047830e+00,  1.396056761304442e+00, -1.658843763548414e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.330677719958665e+00, -1.594054004326843e+00
PdAg_1_1_100,  1.289499794158380e+00,  1.278877755445412e+00, -1.542720929393091e+00
PdAg_1_1_100,  1.124408621718650e+00,  1.200660986130901e+00, -1.465209152734045e+00
PdAg_1_1_100,  9.217389182624810e-01,  1.079556431117741e+00, -1.345196151649484e+00
PdAg_1_1_100,  8.995066396137220e-01,  1.062317201192515e+00, -1.328112304394620e+00
PdAg_1_1_100,  8.704807885278290e-01,  1.046563584070604e+00, -1.312500679641677e+00
PdAg_1_1_100,  8.640896201761730e-01,  1.032083528919803e+00, -1.298151137840142e+00
PdAg_1_1_100,  8.305147648333780e-01,  9.947201767407916e-01, -1.261124553455308e+00
PdAg_1_1_100,  8.196082741920870e-01,  9.838994038518748e-01, -1.250401311639076e+00
PdAg_1_1_100,  8.088625391977590e-01,  9.737457666201765e-01, -1.240339192373887e+00
