# c0 + a0 * ((surface_area / av_delta_M1_M2_subsurf) / sqrt(std_dev)) + a1 * (exp(2.921397e-03*((time+6.289411e+02) / (av_mu_C_critical_surf+4.051783e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.146532803229279; Max AE: 0.693579069337272
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  8.643162277362364e-04,  4.485395758275920e+00, -1.817735891798120e-01, 
# 3   ,  8.921197192592221e-04,  4.620700068608235e+00, -3.958494953674224e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; g^-1 * m^2 * nm^-0.5;                             4|15|div|3|sqrt|div; ((surface_area / av_delta_M1_M2_subsurf) / sqrt(std_dev)); $\left(\frac{ \left(\frac{ surface_{area} }{ av_{delta, M1, M2, subsurf} } \right) }{ \left(\sqrt{ std_{dev} }\right) } \right)$; ((surface_area ./ av_delta_M1_M2_subsurf) ./ sqrt(std_dev)); surface_area,av_delta_M1_M2_subsurf,std_dev
# 1;  2; Unitless;                                         0|11|div|exp:2.9213974797628e-03,0.0000000000000e+00,6.2894110184100e+02,4.0517831497946e+00; (exp(2.921397e-03*((time+6.289411e+02) / (av_mu_C_critical_surf+4.051783e+00)))); $\left(\exp{ \left(2.921e-03\left(\frac{ time +6.289e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.921397e-03.*((time+6.289411e+02) ./ (av_mu_C_critical_surf+4.051783e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.062451827416920e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  3.219316665259249e-01,  5.827788945083336e+02,  0.000000000000000e+00
PdAg_1_5_100,  3.293542674131830e-01,  2.958321526189953e-01,  5.518867924528275e+02,  1.339973640941701e-04
PdAg_1_5_100,  2.565338589410230e-01,  2.957313728436556e-01,  5.518867924528275e+02,  1.115289397296819e-04
PdAg_1_5_100,  2.261682956735730e-01,  2.955195659329548e-01,  5.518867924528275e+02,  6.430748545555598e-05
PdAg_1_5_100,  2.236877838869310e-01,  2.954712001014276e-01,  5.518867924528275e+02,  5.352452802354899e-05
PdAg_1_5_100,  2.164592134781930e-01,  2.953974382604217e-01,  5.518867924528275e+02,  3.707963776612455e-05
PdAg_1_5_100,  2.141497061269980e-01,  2.953695505658465e-01,  5.518867924528275e+02,  3.086219429443590e-05
PdAg_1_5_100,  2.099035907134980e-01,  2.953270195552481e-01,  5.518867924528275e+02,  2.138008549280359e-05
PdAg_1_5_100,  2.074551680388040e-01,  2.953109395358591e-01,  5.518867924528275e+02,  1.779511322824658e-05
PdAg_1_5_100,  2.038357874315140e-01,  2.952864161937374e-01,  5.518867924528275e+02,  1.232773789654435e-05
PdAg_1_5_100,  2.013479605126910e-01,  2.952694274097861e-01,  5.518867924528275e+02,  8.540160419134900e-06
PdAg_1_5_100,  2.000269286823050e-01,  2.952630043323306e-01,  5.518867924528275e+02,  7.108162485928719e-06
PdAg_1_5_100,  1.969854579108610e-01,  2.952532086149185e-01,  5.518867924528275e+02,  4.924248749004032e-06
PdAg_1_5_100,  1.963439311488950e-01,  2.952495050742855e-01,  5.518867924528275e+02,  4.098560039999524e-06
PdAg_1_5_100,  1.940684048443220e-01,  2.952464225363353e-01,  5.518867924528275e+02,  3.411321250754944e-06
PdAg_1_5_100,  1.905512205622570e-01,  2.952417214143449e-01,  5.518867924528275e+02,  2.363226000353047e-06
PdAg_1_5_100,  1.877437449997070e-01,  2.952384646663280e-01,  5.518867924528275e+02,  1.637147814064330e-06
PdAg_1_5_100,  1.848761965650050e-01,  2.952362085224399e-01,  5.518867924528275e+02,  1.134150083273969e-06
PdAg_1_5_100,  1.846523109974680e-01,  2.952353555251338e-01,  5.518867924528275e+02,  9.439779441704675e-07
PdAg_1_5_100,  1.849359671980280e-01,  2.952346455568013e-01,  5.518867924528275e+02,  7.856935093704434e-07
PdAg_1_1_100,  1.535896786579120e+00,  1.340980948282529e+00,  5.528846153846154e+02,  2.329532216620591e-01
PdAg_1_1_100,  1.542341149952750e+00,  1.309476352489379e+00,  5.528846153846154e+02,  2.259294053722654e-01
PdAg_1_1_100,  1.476543275391880e+00,  1.278921657674444e+00,  5.528846153846154e+02,  2.191173654851365e-01
PdAg_1_1_100,  1.443594468047830e+00,  1.249288223195124e+00,  5.528846153846154e+02,  2.125107166906251e-01
PdAg_1_1_100,  1.385113175840640e+00,  1.220548271958205e+00,  5.528846153846154e+02,  2.061032662033651e-01
PdAg_1_1_100,  1.289499794158380e+00,  1.192674864382822e+00,  5.528846153846154e+02,  1.998890079578236e-01
PdAg_1_1_100,  1.124408621718650e+00,  1.139423958704377e+00,  5.528846153846154e+02,  1.880169439197300e-01
PdAg_1_1_100,  9.217389182624810e-01,  1.019725864552338e+00,  5.528846153846154e+02,  1.613307604472491e-01
PdAg_1_1_100,  8.995066396137220e-01,  9.979074910581721e-01,  5.528846153846154e+02,  1.564664464223585e-01
PdAg_1_1_100,  8.704807885278290e-01,  9.767469674364899e-01,  5.528846153846154e+02,  1.517487972422077e-01
PdAg_1_1_100,  8.640896201761730e-01,  9.562244587323697e-01,  5.528846153846154e+02,  1.471733907875478e-01
PdAg_1_1_100,  8.305147648333780e-01,  8.982955356405037e-01,  5.528846153846154e+02,  1.342583825667052e-01
PdAg_1_1_100,  8.196082741920870e-01,  8.801384307744367e-01,  5.528846153846154e+02,  1.302103328862359e-01
