# c0 + a0 * ((total_metal_loading / time) / (av_PE * time)) + a1 * ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)) + a2 * (exp(1.069848e-03*((time+3.156036e+02) / (av_BE_H_subsurf+1.405390e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.126753359075342; Max AE: 0.397441091456901
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  6.566484361810984e+03, -2.137643631112677e+01,  2.603085193010958e+00,  8.121599925946740e-01, 
# 3   ,  1.690039060914937e+04, -2.748717697614940e+01,  2.605614724554300e+00,  7.653973095437707e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-2;                                           1|0|div|7|0|mult|div; ((total_metal_loading / time) / (av_PE * time)); $\left(\frac{ \left(\frac{ total_{metal, loading} }{ time } \right) }{ \left(av_{PE} time\right) } \right)$; ((total_metal_loading ./ time) ./ (av_PE .* time)); total_metal_loading,time,av_PE,time
# 1;  2; eV * nm;                                          3|2|add|14|1|mult|mult; ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(std_{dev} + particle_{diameter}\right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; ((std_dev + particle_diameter) .* (av_E_def_subsurf .* total_metal_loading)); std_dev,particle_diameter,av_E_def_subsurf,total_metal_loading
# 2;  2; Unitless;                                         0|19|div|exp:1.0698476528608e-03,0.0000000000000e+00,3.1560364967315e+02,1.4053901937402e+00; (exp(1.069848e-03*((time+3.156036e+02) / (av_BE_H_subsurf+1.405390e+00)))); $\left(\exp{ \left(1.070e-03\left(\frac{ time +3.156e+02 }{ av_{BE, H, subsurf}+1.405e+00 } \right) \right)}\right)$; exp(1.069848e-03.*((time+3.156036e+02) ./ (av_BE_H_subsurf+1.405390e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.062451827416920e-01,  3.672919554554794e-01,  8.901954434610238e-06,  2.354580000000000e-02,  1.041983151117978e-06
PdAg_1_9_100,  3.628741788873400e-01,  3.348160723539724e-01,  3.956424193160106e-06,  2.354580000000000e-02,  6.055355986757008e-07
PdAg_1_9_100,  2.919675286925200e-01,  3.181879579698875e-01,  1.424312709537638e-06,  2.354580000000000e-02,  2.045020409293360e-07
PdAg_1_9_100,  2.856868471553150e-01,  3.153299572590217e-01,  9.891060482900265e-07,  2.354580000000000e-02,  1.188438274185945e-07
PdAg_1_9_100,  2.773647395214370e-01,  3.124882120142213e-01,  5.563721521631399e-07,  2.354580000000000e-02,  4.013604701706795e-08
PdAg_1_9_100,  2.742250823045090e-01,  3.117214033929873e-01,  4.396026881289006e-07,  2.354580000000000e-02,  2.332456646048450e-08
PdAg_1_9_100,  2.725813187048580e-01,  3.107671006443070e-01,  2.942794854416608e-07,  2.354580000000000e-02,  7.877194099558759e-09
PdAg_1_9_100,  2.710137208355010e-01,  3.104584477659435e-01,  2.472765120725066e-07,  2.354580000000000e-02,  4.577733756868536e-09
PdAg_1_9_100,  2.699577938430830e-01,  3.102182449419063e-01,  2.106971463813074e-07,  2.354580000000000e-02,  2.660293257207861e-09
PdAg_1_9_100,  2.691444146104700e-01,  3.100276524139838e-01,  1.816725394818416e-07,  2.354580000000000e-02,  1.545996466860235e-09
PdAg_1_9_100,  2.658907762370700e-01,  3.097480521183876e-01,  1.390930380407850e-07,  2.354580000000000e-02,  5.221153528114584e-10
PdAg_1_9_100,  2.650229112638520e-01,  3.096437587305904e-01,  1.232104420015258e-07,  2.354580000000000e-02,  3.034208685651419e-10
PdAg_1_9_100,  2.637375021423530e-01,  3.095563600033974e-01,  1.099006720322251e-07,  2.354580000000000e-02,  1.763292785494304e-10
PdAg_1_9_100,  2.642144249687690e-01,  3.094823945517564e-01,  9.863661423390844e-08,  2.354580000000000e-02,  1.024715756064986e-10
PdAg_1_9_100,  2.621887653386570e-01,  3.094192441010034e-01,  8.901954434610239e-08,  2.354580000000000e-02,  5.955008659741533e-11
PdAg_1_9_100,  2.609797547787540e-01,  3.093648985411088e-01,  8.074335088081848e-08,  2.354580000000000e-02,  3.460679503336126e-11
PdAg_1_9_100,  2.597681369110620e-01,  3.093177939622853e-01,  7.356987136041519e-08,  2.354580000000000e-02,  2.011131017453564e-11
PdAg_1_9_100,  2.537741737812260e-01,  3.091805833853139e-01,  5.267428659532685e-08,  2.354580000000000e-02,  2.293803957367175e-12
PdAg_1_9_100,  2.496764650829220e-01,  3.091329359745312e-01,  4.541813487046040e-08,  2.354580000000000e-02,  7.746655882812886e-13
PdAg_1_9_100,  2.453013105463630e-01,  3.090944964767570e-01,  3.956424193160105e-08,  2.354580000000000e-02,  2.616207770240308e-13
PdAg_1_5_100,  3.293542674131830e-01,  3.703117073768727e-01,  9.445920369502179e-06,  2.765333333333329e-02,  3.351981925815585e-02
PdAg_1_5_100,  2.565338589410230e-01,  3.249250671698118e-01,  4.198186830889857e-06,  2.765333333333329e-02,  2.932192361488170e-02
PdAg_1_5_100,  2.261682956735730e-01,  2.790141418331353e-01,  1.049546707722464e-06,  2.765333333333329e-02,  1.962749283916909e-02
PdAg_1_5_100,  2.236877838869310e-01,  2.707871228573189e-01,  7.710955403675247e-07,  2.765333333333329e-02,  1.716941971999811e-02
PdAg_1_5_100,  2.164592134781930e-01,  2.582932687569400e-01,  4.664652034322063e-07,  2.765333333333329e-02,  1.313824018544658e-02
PdAg_1_5_100,  2.141497061269980e-01,  2.534282181154903e-01,  3.778368147800872e-07,  2.765333333333329e-02,  1.149285657493215e-02
PdAg_1_5_100,  2.099035907134980e-01,  2.456459809116171e-01,  2.623866769306161e-07,  2.765333333333329e-02,  8.794467871414120e-03
PdAg_1_5_100,  2.074551680388040e-01,  2.425241039781084e-01,  2.235720797515308e-07,  2.765333333333329e-02,  7.693081909932813e-03
PdAg_1_5_100,  2.038357874315140e-01,  2.374569025250173e-01,  1.679274732355943e-07,  2.765333333333329e-02,  5.886835987898055e-03
PdAg_1_5_100,  2.013479605126910e-01,  2.336148261250516e-01,  1.307393822768467e-07,  2.765333333333329e-02,  4.504675545397166e-03
PdAg_1_5_100,  2.000269286823050e-01,  2.320535603623333e-01,  1.166163008580516e-07,  2.765333333333329e-02,  3.940526982997464e-03
PdAg_1_5_100,  1.969854579108610e-01,  2.294997183017839e-01,  9.445920369502179e-08,  2.765333333333329e-02,  3.015337198586438e-03
PdAg_1_5_100,  1.963439311488950e-01,  2.284590503239725e-01,  8.567728226305831e-08,  2.765333333333329e-02,  2.637707749231083e-03
PdAg_1_5_100,  1.940684048443220e-01,  2.275491731818476e-01,  7.806545759919155e-08,  2.765333333333329e-02,  2.307371186749963e-03
PdAg_1_5_100,  1.905512205622570e-01,  2.260570916889548e-01,  6.559666923265402e-08,  2.765333333333329e-02,  1.765627338773174e-03
PdAg_1_5_100,  1.877437449997070e-01,  2.249142672192297e-01,  5.589301993788271e-08,  2.765333333333329e-02,  1.351078628928489e-03
PdAg_1_5_100,  1.848761965650050e-01,  2.240379640581519e-01,  4.819347127297029e-08,  2.765333333333329e-02,  1.033861122027966e-03
PdAg_1_5_100,  1.846523109974680e-01,  2.236794760980307e-01,  4.492708855886886e-08,  2.765333333333329e-02,  9.043842574158246e-04
PdAg_1_5_100,  1.849359671980280e-01,  2.233653065771252e-01,  4.198186830889857e-08,  2.765333333333329e-02,  7.911225866170515e-04
PdAg_1_1_100,  1.535896786579120e+00,  1.619882508750106e+00,  3.799692437482771e-05,  3.532100000000001e-02,  5.044988219834232e-01
PdAg_1_1_100,  1.542341149952750e+00,  1.396407738198319e+00,  9.499231093706927e-06,  3.532100000000001e-02,  4.905365001311823e-01
PdAg_1_1_100,  1.476543275391880e+00,  1.326414858531842e+00,  4.221880486091967e-06,  3.532100000000001e-02,  4.769605943080991e-01
PdAg_1_1_100,  1.443594468047830e+00,  1.279924880672488e+00,  2.374807773426732e-06,  3.532100000000001e-02,  4.637604102077990e-01
PdAg_1_1_100,  1.385113175840640e+00,  1.240900755079742e+00,  1.519876974993108e-06,  3.532100000000001e-02,  4.509255494955547e-01
PdAg_1_1_100,  1.289499794158380e+00,  1.205365648132479e+00,  1.055470121522992e-06,  3.532100000000001e-02,  4.384459016170857e-01
PdAg_1_1_100,  1.124408621718650e+00,  1.140034576431410e+00,  5.937019433566829e-07,  3.532100000000001e-02,  4.145131934799777e-01
PdAg_1_1_100,  9.217389182624810e-01,  9.963395923562387e-01,  2.248338720404006e-07,  3.532100000000001e-02,  3.602418933962902e-01
PdAg_1_1_100,  8.995066396137220e-01,  9.701836621065552e-01,  1.938618590552434e-07,  3.532100000000001e-02,  3.502719726728183e-01
PdAg_1_1_100,  8.704807885278290e-01,  9.447852879269201e-01,  1.688752194436787e-07,  3.532100000000001e-02,  3.405779757690200e-01
PdAg_1_1_100,  8.640896201761730e-01,  9.201150803702063e-01,  1.484254858391707e-07,  3.532100000000001e-02,  3.311522663198352e-01
PdAg_1_1_100,  8.305147648333780e-01,  8.502234562428634e-01,  1.052546381574175e-07,  3.532100000000001e-02,  3.044116342352434e-01
PdAg_1_1_100,  8.196082741920870e-01,  8.282256403628815e-01,  9.499231093706926e-08,  3.532100000000001e-02,  2.959868510096867e-01
PdAg_1_1_100,  8.088625391977590e-01,  8.068441584737692e-01,  8.616082624677483e-08,  3.532100000000001e-02,  2.877952289528084e-01
PdAg_1_1_100,  7.987791951287240e-01,  7.860605443549873e-01,  7.850604209675146e-08,  3.532100000000001e-02,  2.798303151827809e-01
PdAg_1_1_100,  7.811341630508190e-01,  7.462170528401626e-01,  6.596688259518699e-08,  3.532100000000001e-02,  2.645556889712368e-01
PdAg_1_1_100,  7.616541677031310e-01,  7.085621961662375e-01,  5.620846801010015e-08,  3.532100000000001e-02,  2.501148330599191e-01
PdAg_1_1_100,  7.431020909817240e-01,  6.729724781700817e-01,  4.846546476381085e-08,  3.532100000000001e-02,  2.364622358334263e-01
PdAg_1_1_100,  7.336770425315350e-01,  6.559156917895067e-01,  4.518064729468217e-08,  3.532100000000001e-02,  2.299179948981813e-01
PdAg_1_1_100,  7.318398412815810e-01,  6.393324865434735e-01,  4.221880486091967e-08,  3.532100000000001e-02,  2.235548699422706e-01
PdAu_1_9_100,  8.319575347159480e-01,  7.017890185020820e-01,  4.543279941583273e-06,  2.076660000000000e-02,  1.166736887189688e-01
PdAu_1_9_100,  7.195733252458120e-01,  6.605624673750006e-01,  2.019235529592566e-06,  2.076660000000000e-02,  1.072032138250170e-01
PdAu_1_9_100,  6.293690562214960e-01,  6.086123605381704e-01,  7.269247906533237e-07,  2.076660000000000e-02,  9.050603898967832e-02
PdAu_1_9_100,  6.029841566832330e-01,  5.880304548941025e-01,  5.048088823981414e-07,  2.076660000000000e-02,  8.315960827840337e-02
PdAu_1_9_100,  5.621689151329150e-01,  5.528642243288060e-01,  2.839549963489546e-07,  2.076660000000000e-02,  7.020728652311328e-02
PdAu_1_9_100,  5.466387208639329e-01,  5.376385115026515e-01,  2.243595032880629e-07,  2.076660000000000e-02,  6.450851800306455e-02
PdAu_1_9_100,  5.301672649293200e-01,  5.237283291693007e-01,  1.817311976633309e-07,  2.076660000000000e-02,  5.927232202004738e-02
PdAu_1_9_100,  5.147793772808130e-01,  5.109973341091760e-01,  1.501910724490338e-07,  2.076660000000000e-02,  5.446115127743747e-02
