# FEAT_ID     Score                   Feature Expression
0             0.761694288248694673    ((av_BE_H_subsurf^6) / cbrt(std_dev))
1             0.761763357047285594    (exp(2.398717e+00*(av_BE_H_subsurf * (av_E_coh-2.919764e+00))))
2             0.762219814426094322    (exp(3.142766e+00*(av_E_def_subsurf * (av_mu_C_critical_surf+5.244133e+00))))
3             0.762464051931229458    (cbrt(total_metal_loading) / (|av_BE_H_subsurf - av_W_change_H|))
4             0.763451635698607856    ((av_E_coh * av_IP) * (av_E_b_C_subsurf - av_EA))
5             0.764732339273385131    (exp(6.288718e-02*((particle_diameter+1.060544e+02) / (av_BE_H_surf+8.610885e-01))))
6             0.765398985105666285    ((av_mu_C_critical_surf + av_IP) / (exp(7.783527e-01*av_mu_C_critical_subsurf)))
7             0.765658983639144974    ((av_BE_H_surf^6) / cbrt(std_dev))
8             0.765840169035939988    (exp(8.364433e-02*((particle_diameter+7.011520e+01) / (av_BE_H_subsurf-1.734946e-01))))
9             0.766390521058739727    (exp(2.374188e-01*((av_IP+2.881657e+00) / (av_mu_C_critical_surf+4.052000e+00))))
10            0.767184050284281271    (exp(4.427439e-01*((av_mu_C_critical_subsurf+1.008877e+01) / (av_mu_C_critical_surf+4.051997e+00))))
11            0.767393132983627657    (exp(5.160359e-01*(av_mu_C_critical_subsurf * (av_E_coh-2.994457e+00))))
12            0.767474210393278899    (exp(3.142321e-01*((av_mu_C_critical_surf+5.832621e+00) / (av_BE_H_surf+2.156365e+00))))
13            0.767797656158452968    (exp(8.055435e-01*((std_dev+2.619356e+01) / (av_mu_C_critical_surf+8.141780e-01))))
14            0.768233561145752919    ((av_d_band_center_surf - av_mu_C_critical_surf) / (|av_W_change_H|))
15            0.769329086534321083    ((av_BE_H_subsurf^3) / cbrt(std_dev))
16            0.771685579302650471    (exp(7.518795e-01*((av_BE_H_surf+2.461272e+00) / (particle_diameter-2.743903e+00))))
17            0.771796484348658884    (ln(1.0*|av_d_band_center_surf - (3.671556e+00*av_BE_H_surf+7.170968e+00)|-2.165168e-01))
18            0.772002011788508691    ((av_mu_C_critical_surf^6) / cbrt(std_dev))
19            0.772298062472846603    (exp(3.322550e+00*((av_BE_H_surf+2.194917e+00) / (std_dev+4.302558e+00))))
20            0.773305044279070097    (exp(1.431354e+00*((av_BE_H_subsurf+1.858969e+00) / (particle_diameter-2.661050e+00))))
21            0.77574693835183639     ((av_d_band_center_surf - av_mu_C_critical_subsurf) / cbrt(time))
22            0.777295850405565369    (exp(6.889478e-01*(av_E_b_C_subsurf * (av_mu_C_critical_surf+4.838936e+00))))
23            0.778065456737373595    ((exp(8.674279e-01*av_E_b_C_subsurf)) / cbrt(time))
24            0.779793553334479528    ((av_E_b_C_subsurf^3) / (ln(1.0*time-2.826084e+00)))
25            0.786853433405345526    ((av_E_b_C_subsurf^6) / cbrt(time))
26            0.788884307410741004    (exp(9.148217e+00*((av_mu_C_critical_surf+3.819123e+00) / (time+5.229123e+02))))
27            0.788913917209015048    (exp(3.211852e-01*((std_dev+2.632754e+01) / (av_BE_H_subsurf-1.945999e-01))))
28            0.788997117369386602    ((av_mu_C_critical_subsurf^3) / (ln(1.0*time-2.826084e+00)))
29            0.78976022612428165     ((av_mu_C_critical_subsurf^6) / cbrt(time))
30            0.790497758828662023    (exp(1.773535e-01*((std_dev+3.443834e+01) / (av_BE_H_surf+9.970056e-01))))
31            0.79068744663924273     ((av_d_band_center_surf - av_mu_C_critical_surf) / (ln(1.0*time-2.826084e+00)))
32            0.793675667163083576    ((exp(8.674279e-01*av_E_b_C_subsurf)) / (ln(1.0*time-2.826084e+00)))
33            0.794955747026474868    ((av_d_band_center_surf + av_E_b_C_subsurf) / (ln(1.0*time-2.826084e+00)))
34            0.7950425788681168      ((av_E_b_C_subsurf^6) / (ln(1.0*time-2.826084e+00)))
35            0.796611959415436499    ((av_mu_C_critical_subsurf^6) / (ln(1.0*time-2.826084e+00)))
36            0.800467121955838357    ((av_BE_H_subsurf^6) / cbrt(time))
37            0.800973611779040029    ((av_mu_C_critical_surf^6) / cbrt(time))
38            0.80173480781066897     ((av_BE_H_subsurf^3) / (ln(1.0*time-2.826084e+00)))
39            0.80450813967950674     ((av_BE_H_surf^6) / (ln(1.0*time-2.826084e+00)))
40            0.811259774083616714    ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time-2.826084e+00)))
41            0.811768416988152941    ((av_BE_H_subsurf^6) / (ln(1.0*time-2.826084e+00)))
42            0.819067021430838982    (exp(1.171912e+01*((av_E_b_C_subsurf-4.232904e+00) / (time+4.799431e+02))))
43            0.822612407228700437    (exp(2.762367e+01*((av_mu_C_critical_subsurf+4.043333e+00) / (time+4.437848e+02))))
44            0.82384607323079484     ((av_mu_C_critical_surf^6) / (ln(1.0*time-2.826084e+00)))
45            0.826523931137766454    (exp(4.503127e-03*((time+4.625418e+02) / (av_mu_C_critical_subsurf+3.904858e+00))))
46            0.829577972434494604    (exp(3.884397e-03*((time+1.882654e+03) / (av_BE_H_subsurf-1.334939e-02))))
47            0.840010968829907001    (exp(3.801215e-03*((time+1.033681e+03) / (av_mu_C_critical_surf+3.529370e+00))))
48            0.84368695187715026     (exp(4.140095e+01*((av_BE_H_subsurf+1.323687e+00) / (time+4.860071e+02))))
49            0.844837610617166446    (exp(1.088700e+02*((av_BE_H_surf+2.117504e+00) / (time+4.403473e+02))))
#-----------------------------------------------------------------------
50            0.430254855204893094    ((av_E_b_C_subsurf / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
51            0.431252800286021087    ((av_mu_C_critical_subsurf / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
52            0.432665984593823161    ((av_BE_H_surf / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
53            0.433450302300505685    ((av_E_def_subsurf * std_dev) / (av_PE * av_IP))
54            0.433647925803832268    ((av_W_change_H / av_E_def_subsurf) / (av_d_band_center_surf - av_BE_H_surf))
55            0.434120340281067385    ((av_W_change_H * particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
56            0.434293894005781556    ((av_E_coh / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
57            0.434295892954033202    ((av_d_band_center_surf / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
58            0.434775697096322133    ((av_BE_H_subsurf / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
59            0.43506334736114638     ((av_mu_C_critical_surf / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
60            0.435130769765027237    ((av_bulk_int_dist / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
61            0.435208141964377848    (exp(av_PE) / (av_E_def_subsurf * particle_diameter))
62            0.43577110012919068     ((av_IP / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
63            0.436420207883059907    ((std_dev / av_bulk_int_dist) * (av_W_change_H + av_E_def_subsurf))
64            0.43679955017969635     ((av_EA / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
65            0.436839184201658126    ((std_dev / av_mu_C_critical_surf) / (av_bulk_int_dist^6))
66            0.437354228254324962    ((total_metal_loading^3) * (av_E_def_subsurf * std_dev))
67            0.437517220524643258    ((av_E_def_subsurf * std_dev) / (av_PE^6))
68            0.438591768283226047    ((av_PE / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
69            0.439224903434272784    ((av_B_0 / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
70            0.439378641195386332    ((av_delta_M1_M2_subsurf * std_dev) / (exp(1.799729e+00*av_PE)))
71            0.439784436725154604    ((av_delta_M1_M2_subsurf * std_dev) / (av_PE^3))
72            0.44007810528533714     ((particle_diameter / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
73            0.440560280746584598    ((std_dev / av_B_0) * (av_E_def_subsurf * total_metal_loading))
74            0.443549694547691054    ((av_PE^2) / (av_E_def_subsurf * particle_diameter))
75            0.445280480025017467    ((std_dev * total_metal_loading) * (av_E_b_C_subsurf + av_mu_C_critical_subsurf))
76            0.445480362178542699    ((total_metal_loading / av_BE_H_surf) * (av_E_def_subsurf * std_dev))
77            0.446660146218468557    ((|av_mu_C_critical_subsurf - av_mu_C_critical_surf|) * (av_delta_M1_M2_subsurf * std_dev))
78            0.446804496993777611    ((av_E_def_subsurf * std_dev) / (av_PE^2))
79            0.447100618667709837    ((av_EA * std_dev) * (|av_mu_C_critical_subsurf - av_mu_C_critical_surf|))
80            0.449036320228677233    ((av_E_def_subsurf * std_dev) / (av_IP^3))
81            0.451809525110388355    ((av_E_def_subsurf * std_dev) / exp(av_PE))
82            0.451942512676807517    ((ln(-1.0*av_IP+9.137100e+00)) / (av_d_band_center_surf - av_BE_H_surf))
83            0.452602346130539623    ((av_E_def_subsurf * std_dev) / (av_IP^6))
84            0.454356118927290387    ((std_dev / av_B_0) / (av_bulk_int_dist^6))
