# c0 + a0 * ((av_E_def_subsurf / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)) + a1 * ((av_E_b_C_subsurf / surface_area) * (av_delta_M1_M2_subsurf * std_dev)) + a2 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a3 * (exp(6.889478e-01*(av_E_b_C_subsurf * (av_mu_C_critical_surf+4.838936e+00)))) + a4 * ((av_d_band_center_surf - av_mu_C_critical_subsurf) / cbrt(time))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0902940917182755; Max AE: 0.410604918613896
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  4.864173243577402e+00, -1.369007808190460e+01, -7.346164673602869e-07, -7.893007345092979e-01,  1.036209421470391e+00,  1.210814230091378e+00, 
# 3   ,  9.975158029126174e-01, -1.500295916002968e+01, -1.363280039906581e-06, -6.343610018038597e-01,  1.092949846272056e+00,  9.060448556162559e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           14|0|div|12|11|sub|div; ((av_E_def_subsurf / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); $\left(\frac{ \left(\frac{ av_{E, def, subsurf} }{ time } \right) }{ \left(av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right) } \right)$; ((av_E_def_subsurf ./ time) ./ (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); av_E_def_subsurf,time,av_mu_C_critical_subsurf,av_mu_C_critical_surf
# 1;  2; eV * g * m^-2 * nm;                               13|4|div|15|3|mult|mult; ((av_E_b_C_subsurf / surface_area) * (av_delta_M1_M2_subsurf * std_dev)); $\left(\left(\frac{ av_{E, b, C, subsurf} }{ surface_{area} } \right) \left(av_{delta, M1, M2, subsurf} std_{dev}\right)\right)$; ((av_E_b_C_subsurf ./ surface_area) .* (av_delta_M1_M2_subsurf .* std_dev)); av_E_b_C_subsurf,surface_area,av_delta_M1_M2_subsurf,std_dev
# 2;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         13|11|mult|exp:6.8894777616662e-01,0.0000000000000e+00,-4.5833596427959e+00,4.8389363031221e+00; (exp(6.889478e-01*(av_E_b_C_subsurf * (av_mu_C_critical_surf+4.838936e+00)))); $\left(\exp{ \left(6.889e-01\left(av_{E, b, C, subsurf} * \left(av_{mu, C, critical, surf}+4.839e+00\right)\right) \right)}\right)$; exp(6.889478e-01.*(av_E_b_C_subsurf .* (av_mu_C_critical_surf+4.838936e+00))); av_E_b_C_subsurf,av_mu_C_critical_surf
# 4;  2; eV * min^-0.333333;                               18|12|sub|0|cbrt|div; ((av_d_band_center_surf - av_mu_C_critical_subsurf) / cbrt(time)); $\left(\frac{ \left(av_{d, band, center, surf} - av_{mu, C, critical, subsurf}\right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((av_d_band_center_surf - av_mu_C_critical_subsurf) ./ nthroot(time, 3)); av_d_band_center_surf,av_mu_C_critical_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 172                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  2.740189018300908e-01, -3.641827985503399e-02,  1.390030027397260e-02,  7.660313335186942e+01,  1.052078646215557e+00,  2.519842099789746e-01
PdAg_1_9_100,  6.062451827416920e-01,  3.086685109829555e-01, -1.820913992751699e-02,  1.390030027397260e-02,  1.532062667037388e+02,  1.052078646215557e+00,  2.000000000000000e-01
PdAg_1_9_100,  3.628741788873400e-01,  3.119369514347744e-01, -1.213942661834466e-02,  1.390030027397260e-02,  2.298094000556082e+02,  1.052078646215557e+00,  1.747160929472598e-01
PdAg_1_9_100,  2.856868471553150e-01,  3.039433021383228e-01, -6.069713309172332e-03,  1.390030027397260e-02,  4.596188001112164e+02,  1.052078646215557e+00,  1.386722548701270e-01
PdAg_1_9_100,  2.813651505179750e-01,  3.009077657448078e-01, -5.202611407861998e-03,  1.390030027397260e-02,  5.362219334630859e+02,  1.052078646215557e+00,  1.317267512016699e-01
PdAg_1_9_100,  2.773647395214370e-01,  2.980724977885896e-01, -4.552284981879248e-03,  1.390030027397260e-02,  6.128250668149553e+02,  1.052078646215557e+00,  1.259921049894873e-01
PdAg_1_9_100,  2.742250823045090e-01,  2.954501942833079e-01, -4.046475539448221e-03,  1.390030027397260e-02,  6.894282001668247e+02,  1.052078646215557e+00,  1.211413728554760e-01
PdAg_1_9_100,  2.725813187048580e-01,  2.907944105728613e-01, -3.310752714093999e-03,  1.390030027397260e-02,  8.426344668705635e+02,  1.052078646215557e+00,  1.133032669885410e-01
PdAg_1_9_100,  2.699577938430830e-01,  2.868003933653004e-01, -2.801406142694922e-03,  1.390030027397260e-02,  9.958407335743022e+02,  1.052078646215557e+00,  1.071664579674249e-01
PdAg_1_9_100,  2.691444146104700e-01,  2.850078935956445e-01, -2.601305703930999e-03,  1.390030027397260e-02,  1.072443866926172e+03,  1.052078646215557e+00,  1.045515917149421e-01
PdAg_1_9_100,  2.658907762370700e-01,  2.817605937319398e-01, -2.276142490939624e-03,  1.390030027397260e-02,  1.225650133629911e+03,  1.052078646215557e+00,  1.000000000000000e-01
PdAg_1_9_100,  2.650229112638520e-01,  2.802826101846410e-01, -2.142251756178470e-03,  1.390030027397260e-02,  1.302253266981780e+03,  1.052078646215557e+00,  9.799946100592893e-02
PdAg_1_9_100,  2.642144249687690e-01,  2.775709598834573e-01, -1.916751571317578e-03,  1.390030027397260e-02,  1.455459533685519e+03,  1.052078646215557e+00,  9.443263914173669e-02
PdAg_1_9_100,  2.621887653386570e-01,  2.763220277722802e-01, -1.820913992751699e-03,  1.390030027397260e-02,  1.532062667037388e+03,  1.052078646215557e+00,  9.283177667225559e-02
PdAg_1_9_100,  2.609797547787540e-01,  2.751357532746765e-01, -1.734203802620666e-03,  1.390030027397260e-02,  1.608665800389258e+03,  1.052078646215557e+00,  9.133422807925885e-02
PdAg_1_9_100,  2.597681369110620e-01,  2.740066567575521e-01, -1.655376357046999e-03,  1.390030027397260e-02,  1.685268933741127e+03,  1.052078646215557e+00,  8.992886260452185e-02
PdAg_1_9_100,  2.562832756759230e-01,  2.709167657312221e-01, -1.456731194201360e-03,  1.390030027397260e-02,  1.915078333796735e+03,  1.052078646215557e+00,  8.617738760127537e-02
PdAg_1_9_100,  2.537741737812260e-01,  2.699731790635101e-01, -1.400703071347461e-03,  1.390030027397260e-02,  1.991681467148604e+03,  1.052078646215557e+00,  8.505807405659804e-02
PdAg_1_9_100,  2.518192543109310e-01,  2.690674079633081e-01, -1.348825179816074e-03,  1.390030027397260e-02,  2.068284600500474e+03,  1.052078646215557e+00,  8.399473665965822e-02
