# c0 + a0 * ((|av_mu_C_critical_subsurf - av_mu_C_critical_surf|) / (time^2)) + a1 * ((ln(1.0*std_dev-2.485047e-01)) * (av_E_def_subsurf / surface_area)) + a2 * (exp(3.194535e-03*((time+5.893510e+02) / (av_mu_C_critical_surf+4.051992e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.12738568751333; Max AE: 0.510842624143518
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  6.400811728464740e+01, -7.167779598943147e+01,  4.766938895829345e+00,  5.247360758900051e-01, 
# 3   ,  2.389196918156580e+02, -8.006159163287454e+01,  4.678422931817179e+00,  3.417071422291083e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-2;                                      12|11|abd|0|sq|div; ((|av_mu_C_critical_subsurf - av_mu_C_critical_surf|) / (time^2)); $\left(\frac{ \left(\left|av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right|\right) }{ \left(time^2\right) } \right)$; (abs(av_mu_C_critical_subsurf - av_mu_C_critical_surf) ./ (time).^2); av_mu_C_critical_subsurf,av_mu_C_critical_surf,time
# 1;  2; eV * g * m^-2;                                    3|log:1.0000000000000e+00,-2.4850467542744e-01|14|4|div|mult; ((ln(1.0*std_dev-2.485047e-01)) * (av_E_def_subsurf / surface_area)); $\left(\left(\ln{ \left(1.0std_{dev}-2.485e-01 \right)}\right) \left(\frac{ av_{E, def, subsurf} }{ surface_{area} } \right)\right)$; (log(1.0*std_dev-2.485047e-01) .* (av_E_def_subsurf ./ surface_area)); std_dev,av_E_def_subsurf,surface_area
# 2;  2; Unitless;                                         0|11|div|exp:3.1945347274172e-03,0.0000000000000e+00,5.8935096286359e+02,4.0519915570609e+00; (exp(3.194535e-03*((time+5.893510e+02) / (av_mu_C_critical_surf+4.051992e+00)))); $\left(\exp{ \left(3.195e-03\left(\frac{ time +5.894e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(3.194535e-03.*((time+5.893510e+02) ./ (av_mu_C_critical_surf+4.051992e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.671679771120281e-01,  2.299039780521264e-03,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.568000711767717e-01,  5.747599451303161e-04,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.363615700776501e-01,  2.554488645023627e-04,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.258970575148999e-01,  9.196159122085059e-05,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.230139775231218e-01,  4.691917919431153e-05,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.223101005720040e-01,  3.592249657064476e-05,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.218275248516081e-01,  2.838320716692919e-05,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.210326942533090e-01,  1.596555403139767e-05,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.208815219079013e-01,  1.360378568355778e-05,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  3.205856020417657e-01,  8.980624142661189e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  3.204649581116668e-01,  7.095801791732298e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  3.203444590122161e-01,  5.213242132701280e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  3.202462207310148e-01,  3.678463648834024e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  3.202284573757400e-01,  3.400946420889445e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  3.202126309376035e-01,  3.153689685214355e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  3.201984697186510e-01,  2.932448699644470e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  3.201742772071459e-01,  2.554488645023627e-06,  2.856188640647348e-03,  0.000000000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  4.322413033323706e-01,  2.405121170553250e-03,  3.446642108417288e-03,  1.270541500023788e-04
PdAg_1_5_100,  3.293542674131830e-01,  3.166706159944583e-01,  6.012802926383126e-04,  3.446642108417288e-03,  1.039305346382322e-04
PdAg_1_5_100,  2.565338589410230e-01,  2.951988821930735e-01,  2.672356856170278e-04,  3.446642108417288e-03,  8.501537360240922e-05
PdAg_1_5_100,  2.398208440226360e-01,  2.876415768412198e-01,  1.503200731595782e-04,  3.446642108417288e-03,  6.954273615463967e-05
PdAg_1_5_100,  2.303037511075600e-01,  2.841174296257125e-01,  9.620484682213003e-05,  3.446642108417288e-03,  5.688608950295522e-05
PdAg_1_5_100,  2.261682956735730e-01,  2.821864988986638e-01,  6.680892140425696e-05,  3.446642108417288e-03,  4.653292864034563e-05
PdAg_1_5_100,  2.236877838869310e-01,  2.810115960514880e-01,  4.908410552149491e-05,  3.446642108417288e-03,  3.806402350323285e-05
PdAg_1_5_100,  2.164592134781930e-01,  2.797103620299805e-01,  2.969285395744754e-05,  3.446642108417288e-03,  2.546966926210317e-05
PdAg_1_5_100,  2.121100061106850e-01,  2.790418978448636e-01,  1.987703446738224e-05,  3.446642108417288e-03,  1.704244566436404e-05
PdAg_1_5_100,  2.099035907134980e-01,  2.788238990299738e-01,  1.670223035106424e-05,  3.446642108417288e-03,  1.394075273737390e-05
PdAg_1_5_100,  2.074551680388040e-01,  2.786536567167160e-01,  1.423148621629142e-05,  3.446642108417288e-03,  1.140356206568256e-05
PdAg_1_5_100,  2.050856479851930e-01,  2.785182779410551e-01,  1.227102638037373e-05,  3.446642108417288e-03,  9.328135304863806e-06
PdAg_1_5_100,  2.038357874315140e-01,  2.784089499230913e-01,  1.068942742468111e-05,  3.446642108417288e-03,  7.630432295160079e-06
PdAg_1_5_100,  2.024470208367670e-01,  2.783194763896227e-01,  9.395004572473634e-06,  3.446642108417288e-03,  6.241708027183466e-06
