# c0 + a0 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf^2)) + a1 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((total_metal_loading / av_IP) / (time^2)) + a3 * ((av_d_band_center_surf + av_E_b_C_subsurf) / (ln(1.0*time+3.180769e+01)))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.105418113569899; Max AE: 0.494404755058786
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -4.768465679612087e+00,  1.154595688455070e-06,  6.331625883389745e+03,  1.903014754125436e+00, -1.184300270511962e-01, 
# 3   , -2.359552738910013e+02,  6.468552138975279e-07,  6.193587746619012e+04,  2.005370439911766e+00,  5.354413883405712e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * nm;                                        2|1|mult|14|sq|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf^2)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(av_{E, def, subsurf}^2\right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf).^2); particle_diameter,total_metal_loading,av_E_def_subsurf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV^-1 * min^-2;                                   1|5|div|0|sq|div; ((total_metal_loading / av_IP) / (time^2)); $\left(\frac{ \left(\frac{ total_{metal, loading} }{ av_{IP} } \right) }{ \left(time^2\right) } \right)$; ((total_metal_loading ./ av_IP) ./ (time).^2); total_metal_loading,av_IP,time
# 3;  2; eV;                                               18|13|add|0|log:1.0000000000000e+00,3.1807688547032e+01|div; ((av_d_band_center_surf + av_E_b_C_subsurf) / (ln(1.0*time+3.180769e+01))); $\left(\frac{ \left(av_{d, band, center, surf} + av_{E, b, C, subsurf}\right) }{ \left(\ln{ \left(1.0time+3.181e+01 \right)}\right) } \right)$; ((av_d_band_center_surf + av_E_b_C_subsurf) ./ log(1.0*time+3.180769e+01)); av_d_band_center_surf,av_E_b_C_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.259345878104349e-01,  3.233623199999999e-03, -7.660313335186942e+01,  9.106585030792716e-06,  2.113556878090028e-01
PdAg_1_9_100,  6.062451827416920e-01,  2.568557064099405e-01,  3.233623199999999e-03, -1.532062667037388e+02,  2.276646257698179e-06,  1.978267235277230e-01
PdAg_1_9_100,  3.628741788873400e-01,  2.305854022481100e-01,  3.233623199999999e-03, -2.298094000556082e+02,  1.011842781199191e-06,  1.882768259004237e-01
PdAg_1_9_100,  2.919675286925200e-01,  2.015848437933211e-01,  3.233623199999999e-03, -3.830156667593470e+02,  3.642634012317087e-07,  1.752851048733216e-01
PdAg_1_9_100,  2.813651505179750e-01,  1.836989320296742e-01,  3.233623199999999e-03, -5.362219334630859e+02,  1.858486740978105e-07,  1.665729468995455e-01
PdAg_1_9_100,  2.773647395214370e-01,  1.768189643884418e-01,  3.233623199999999e-03, -6.128250668149553e+02,  1.422903911061362e-07,  1.631490495137838e-01
PdAg_1_9_100,  2.742250823045090e-01,  1.708544767183929e-01,  3.233623199999999e-03, -6.894282001668247e+02,  1.124269756887990e-07,  1.601606554216164e-01
PdAg_1_9_100,  2.710137208355010e-01,  1.567120980679926e-01,  3.233623199999999e-03, -9.192376002224329e+02,  6.324017382494942e-08,  1.530321719189429e-01
PdAg_1_9_100,  2.699577938430830e-01,  1.528880956908448e-01,  3.233623199999999e-03, -9.958407335743022e+02,  5.388511852540069e-08,  1.511003298187108e-01
PdAg_1_9_100,  2.658907762370700e-01,  1.431987167639024e-01,  3.233623199999999e-03, -1.225650133629911e+03,  3.557259777653405e-08,  1.462090939867607e-01
PdAg_1_9_100,  2.637375021423530e-01,  1.378508706316169e-01,  3.233623199999999e-03, -1.378856400333649e+03,  2.810674392219974e-08,  1.435166903505345e-01
PdAg_1_9_100,  2.609797547787540e-01,  1.310124241263005e-01,  3.233623199999999e-03, -1.608665800389258e+03,  2.064985267753450e-08,  1.400874498241096e-01
PdAg_1_9_100,  2.562832756759230e-01,  1.234913841261586e-01,  3.233623199999999e-03, -1.915078333796735e+03,  1.457053604926835e-08,  1.363414118933946e-01
PdAg_1_9_100,  2.537741737812260e-01,  1.218297357563137e-01,  3.233623199999999e-03, -1.991681467148604e+03,  1.347127963135017e-08,  1.355183795766083e-01
PdAg_1_9_100,  2.518192543109310e-01,  1.202409687289156e-01,  3.233623199999999e-03, -2.068284600500474e+03,  1.249188618764433e-08,  1.347332462907046e-01
