# c0 + a0 * (std_dev * time) + a1 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.206906796488424; Max AE: 0.602577432177513
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.315457534070311e-04, -2.418377616499630e-01,  1.698289871233149e+00, 
# 3   ,  4.399512751265211e-04, -2.214887018033614e-01,  1.730449862883353e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.125125684316436e-01,  4.050000000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  3.299901714446282e-01,  8.100000000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  3.474677744576131e-01,  1.215000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.824229804835825e-01,  2.025000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  3.999005834965674e-01,  2.430000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.173781865095520e-01,  2.835000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.348557895225368e-01,  3.240000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.523333925355217e-01,  3.645000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.872885985614911e-01,  4.455000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.047662015744758e-01,  4.860000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.222438045874607e-01,  5.265000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.397214076004455e-01,  5.670000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.746766136264150e-01,  6.480000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.921542166393996e-01,  6.885000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  6.096318196523844e-01,  7.290000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  6.271094226653693e-01,  7.695000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  6.445870256783541e-01,  8.100000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  6.620646286913385e-01,  8.505000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.370904880212340e-01,  6.795422317043234e-01,  8.910000000000000e+02,  5.802464000000000e+00
PdAg_1_9_100,  5.397703104721880e-01,  7.319750407432779e-01,  1.012500000000000e+03,  5.802464000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  7.494526437562627e-01,  1.053000000000000e+03,  5.802464000000000e+00
