# c0 + a0 * (std_dev / av_EA) + a1 * (av_E_def_subsurf * time) + a2 * (time / av_E_b_C_subsurf) + a3 * (av_W_change_H + av_mu_C_critical_subsurf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.143973428978898; Max AE: 0.800063335197403
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.737515265909981e-01,  1.003366370409096e-02, -7.532648349255164e-03,  8.904437760944582e-01,  3.922690008008233e+00, 
# 3   ,  2.576099303107685e-01,  2.008418894375123e-02, -2.113964013527894e-02,  9.861564499078073e-01,  4.433274510861397e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|6|div; (std_dev / av_EA); $\left(\frac{ std_{dev} }{ av_{EA} } \right)$; (std_dev ./ av_EA); std_dev,av_EA
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV^-1 * min;                                      0|13|div; (time / av_E_b_C_subsurf); $\left(\frac{ time }{ av_{E, b, C, subsurf} } \right)$; (time ./ av_E_b_C_subsurf); time,av_E_b_C_subsurf
# 3;  1; eV;                                               17|12|add; (av_W_change_H + av_mu_C_critical_subsurf); $\left(av_{W, change, H} + av_{mu, C, critical, subsurf}\right)$; (av_W_change_H + av_mu_C_critical_subsurf); av_W_change_H,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.632456122312567e-01,  2.439421044072207e+00,  2.781000000000000e+00,  2.886465683130212e+00, -4.368000000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  4.694065000291208e-01,  2.439421044072207e+00,  5.561999999999999e+00,  5.772931366260424e+00, -4.368000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.755673878269857e-01,  2.439421044072207e+00,  8.343000000000000e+00,  8.659397049390636e+00, -4.368000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.878891634227138e-01,  2.439421044072207e+00,  1.390500000000000e+01,  1.443232841565106e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.940500512205788e-01,  2.439421044072207e+00,  1.668600000000000e+01,  1.731879409878127e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.002109390184428e-01,  2.439421044072207e+00,  1.946700000000000e+01,  2.020525978191148e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.063718268163078e-01,  2.439421044072207e+00,  2.224800000000000e+01,  2.309172546504169e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.125327146141727e-01,  2.439421044072207e+00,  2.502900000000000e+01,  2.597819114817191e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.248544902099008e-01,  2.439421044072207e+00,  3.059100000000000e+01,  3.175112251443233e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.310153780077658e-01,  2.439421044072207e+00,  3.337200000000000e+01,  3.463758819756254e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.371762658056298e-01,  2.439421044072207e+00,  3.615300000000000e+01,  3.752405388069275e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.433371536034948e-01,  2.439421044072207e+00,  3.893400000000000e+01,  4.041051956382297e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.556589291992238e-01,  2.439421044072207e+00,  4.449600000000000e+01,  4.618345093008339e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.618198169970878e-01,  2.439421044072207e+00,  4.727699999999999e+01,  4.906991661321360e+01, -4.368000000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.679807047949519e-01,  2.439421044072207e+00,  5.005800000000000e+01,  5.195638229634381e+01, -4.368000000000000e+00
