# c0 + a0 * cbrt(std_dev) + a1 * (total_metal_loading * time) + a2 * (particle_diameter * time) + a3 * (time / av_E_def_subsurf) + a4 * (exp(9.689070e-01*av_BE_H_subsurf))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.114483933251083; Max AE: 0.594547895828745
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  8.052301805936272e-01,  2.963008392059784e-01,  3.935932256157512e-04, -1.123444031272637e-03,  1.380104023415659e+01, -4.185397300059234e+00, 
# 3   ,  9.474442558454917e-01,  5.996409876484468e-01,  7.035206304968377e-04, -2.376703777036280e-03,  1.361099505821535e+01, -4.176576373445541e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; nm^0.333333;                                      3|cbrt; cbrt(std_dev); $\left(\sqrt[3]{ std_{dev} }\right)$; nthroot(std_dev, 3); std_dev
# 1;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 2;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 3;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 4;  1; Unitless;                                         19|exp:9.6890702675221e-01,0.0000000000000e+00; (exp(9.689070e-01*av_BE_H_subsurf)); $\left(\exp{ \left(9.689e-01av_{BE, H, subsurf} \right)}\right)$; exp(9.689070e-01.*av_BE_H_subsurf); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.311930783292187e-01,  1.442249570307408e+00,  1.714500000000000e-01,  8.100000000000000e+01,  6.553398058252428e+01,  2.497050488320364e-01
PdAg_1_9_100,  4.212956441336370e-01,  4.402511491549857e-01,  1.442249570307408e+00,  3.429000000000000e-01,  1.620000000000000e+02,  1.310679611650486e+02,  2.497050488320364e-01
PdAg_1_9_100,  4.889175556194310e-01,  4.493092199807527e-01,  1.442249570307408e+00,  5.143500000000000e-01,  2.430000000000000e+02,  1.966019417475728e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.190263630918930e-01,  4.674253616322868e-01,  1.442249570307408e+00,  8.572500000000000e-01,  4.050000000000000e+02,  3.276699029126214e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.343009987338970e-01,  4.764834324580539e-01,  1.442249570307408e+00,  1.028700000000000e+00,  4.860000000000000e+02,  3.932038834951456e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.224295719363120e-01,  4.855415032838213e-01,  1.442249570307408e+00,  1.200150000000000e+00,  5.670000000000000e+02,  4.587378640776699e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.245052994310410e-01,  4.945995741095879e-01,  1.442249570307408e+00,  1.371600000000000e+00,  6.480000000000000e+02,  5.242718446601942e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.036576449353549e-01,  1.442249570307408e+00,  1.543050000000000e+00,  7.290000000000000e+02,  5.898058252427185e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.217737865868894e-01,  1.442249570307408e+00,  1.885950000000000e+00,  8.910000000000000e+02,  7.208737864077671e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.308318574126560e-01,  1.442249570307408e+00,  2.057400000000000e+00,  9.720000000000000e+02,  7.864077669902913e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.398899282384235e-01,  1.442249570307408e+00,  2.228850000000000e+00,  1.053000000000000e+03,  8.519417475728155e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.489479990641906e-01,  1.442249570307408e+00,  2.400300000000000e+00,  1.134000000000000e+03,  9.174757281553399e+02,  2.497050488320364e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.670641407157242e-01,  1.442249570307408e+00,  2.743200000000000e+00,  1.296000000000000e+03,  1.048543689320388e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.761222115414912e-01,  1.442249570307408e+00,  2.914650000000000e+00,  1.377000000000000e+03,  1.114077669902913e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.851802823672583e-01,  1.442249570307408e+00,  3.086100000000000e+00,  1.458000000000000e+03,  1.179611650485437e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.368098128623250e-01,  5.942383531930253e-01,  1.442249570307408e+00,  3.257550000000000e+00,  1.539000000000000e+03,  1.245145631067961e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.372121836650180e-01,  6.032964240187928e-01,  1.442249570307408e+00,  3.429000000000000e+00,  1.620000000000000e+03,  1.310679611650485e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.374193757726820e-01,  6.123544948445594e-01,  1.442249570307408e+00,  3.600450000000000e+00,  1.701000000000000e+03,  1.376213592233010e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.370904880212340e-01,  6.214125656703269e-01,  1.442249570307408e+00,  3.771900000000000e+00,  1.782000000000000e+03,  1.441747572815534e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.397703104721880e-01,  6.485867781476280e-01,  1.442249570307408e+00,  4.286250000000000e+00,  2.025000000000000e+03,  1.638349514563107e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.406782826954460e-01,  6.576448489733950e-01,  1.442249570307408e+00,  4.457700000000000e+00,  2.106000000000000e+03,  1.703883495145631e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.449528999218350e-01,  6.667029197991621e-01,  1.442249570307408e+00,  4.629150000000000e+00,  2.187000000000000e+03,  1.769417475728156e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.492079417796780e-01,  6.757609906249291e-01,  1.442249570307408e+00,  4.800600000000000e+00,  2.268000000000000e+03,  1.834951456310680e+03,  2.497050488320364e-01
PdAg_1_9_100,  5.513618316460450e-01,  6.938771322764632e-01,  1.442249570307408e+00,  5.143500000000000e+00,  2.430000000000000e+03,  1.966019417475728e+03,  2.497050488320364e-01
PdAg_1_5_100,  2.374958845661730e-01,  2.895579318914085e-01,  1.587401051968200e+00,  1.836000000000000e-01,  8.100000000000000e+01,  6.639344262295093e+01,  2.307825623023932e-01
PdAg_1_5_100,  4.808701435604430e-01,  3.012505004141055e-01,  1.587401051968200e+00,  3.672000000000000e-01,  1.620000000000000e+02,  1.327868852459019e+02,  2.307825623023932e-01
PdAg_1_5_100,  5.154914790070170e-01,  3.129430689368029e-01,  1.587401051968200e+00,  5.508000000000000e-01,  2.430000000000000e+02,  1.991803278688528e+02,  2.307825623023932e-01
PdAg_1_5_100,  5.367991849441260e-01,  3.246356374594994e-01,  1.587401051968200e+00,  7.343999999999999e-01,  3.240000000000000e+02,  2.655737704918037e+02,  2.307825623023932e-01
PdAg_1_5_100,  5.423108450430540e-01,  3.363282059821964e-01,  1.587401051968200e+00,  9.179999999999999e-01,  4.050000000000000e+02,  3.319672131147547e+02,  2.307825623023932e-01
PdAg_1_5_100,  5.500936576470050e-01,  3.480207745048933e-01,  1.587401051968200e+00,  1.101600000000000e+00,  4.860000000000000e+02,  3.983606557377055e+02,  2.307825623023932e-01
PdAg_1_5_100,  5.645630120222940e-01,  3.597133430275903e-01,  1.587401051968200e+00,  1.285200000000000e+00,  5.670000000000000e+02,  4.647540983606565e+02,  2.307825623023932e-01
