# c0 + a0 * (av_E_def_subsurf * time) + a1 * (std_dev / av_bulk_int_dist) + a2 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.168208432314832; Max AE: 0.623551232054408
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  4.494877564049980e-03,  5.942717656512700e-01, -2.425929461718875e-01,  1.103085835916568e+00, 
# 3   ,  6.013940893056884e-03,  5.976490053221089e-01, -2.229474534304381e-01,  1.060207306486151e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; A^-1 * nm;                                        3|8|div; (std_dev / av_bulk_int_dist); $\left(\frac{ std_{dev} }{ av_{bulk, int, dist} } \right)$; (std_dev ./ av_bulk_int_dist); std_dev,av_bulk_int_dist
# 2;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.279726579857219e-01,  2.781000000000000e+00,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  3.529731669969678e-01,  8.343000000000000e+00,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.779736760082138e-01,  1.390500000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  3.904739305138368e-01,  1.668600000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.029741850194600e-01,  1.946700000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.279746940307059e-01,  2.502900000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.529752030419519e-01,  3.059100000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.654754575475749e-01,  3.337200000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.904759665588208e-01,  3.893400000000000e+01,  1.043333101481533e+00,  5.802464000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.279767300756897e-01,  4.727699999999999e+01,  1.043333101481533e+00,  5.802464000000000e+00
