# c0 + a0 * (std_dev * total_metal_loading) + a1 * (av_E_def_subsurf * time) + a2 * (ln(-1.0*av_BE_H_subsurf+1.081501e-03))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.163804969283496; Max AE: 0.572630074072548
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.276227100000729e+01,  4.432968926484222e-03, -4.113522579099051e+00,  1.371163097607794e+00, 
# 3   ,  1.564021126719973e+01,  6.191621659351425e-03, -3.649084178391785e+00,  1.138500901327834e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               3|1|mult; (std_dev * total_metal_loading); $\left(std_{dev} total_{metal, loading}\right)$; (std_dev .* total_metal_loading); std_dev,total_metal_loading
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; Unitless;                                         19|log:-1.0000000000000e+00,1.0815012569082e-03; (ln(-1.0*av_BE_H_subsurf+1.081501e-03)); $\left(\ln{ \left(-1.0av_{BE, H, subsurf}+1.082e-03 \right)}\right)$; log(-1.0*av_BE_H_subsurf+1.081501e-03); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.895771305590089e-01,  3.809999999999999e-02,  2.781000000000000e+00,  3.598270217974107e-01
PdAg_1_9_100,  4.212956441336370e-01,  4.019052171435616e-01,  3.809999999999999e-02,  5.561999999999999e+00,  3.598270217974107e-01
PdAg_1_9_100,  5.190263630918930e-01,  4.388894768972195e-01,  3.809999999999999e-02,  1.390500000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.343009987338970e-01,  4.512175634817720e-01,  3.809999999999999e-02,  1.668600000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.224295719363120e-01,  4.635456500663248e-01,  3.809999999999999e-02,  1.946700000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.245052994310410e-01,  4.758737366508773e-01,  3.809999999999999e-02,  2.224800000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.128579964045351e-01,  3.809999999999999e-02,  3.059100000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.251860829890876e-01,  3.809999999999999e-02,  3.337200000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.375141695736406e-01,  3.809999999999999e-02,  3.615300000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.498422561581932e-01,  3.809999999999999e-02,  3.893400000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.744984293272982e-01,  3.809999999999999e-02,  4.449600000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.868265159118508e-01,  3.809999999999999e-02,  4.727699999999999e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.991546024964037e-01,  3.809999999999999e-02,  5.005800000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.368098128623250e-01,  6.114826890809563e-01,  3.809999999999999e-02,  5.283900000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.372121836650180e-01,  6.238107756655088e-01,  3.809999999999999e-02,  5.562000000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.370904880212340e-01,  6.484669488346139e-01,  3.809999999999999e-02,  6.118200000000000e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.397703104721880e-01,  6.854512085882719e-01,  3.809999999999999e-02,  6.952499999999999e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.449528999218350e-01,  7.101073817573770e-01,  3.809999999999999e-02,  7.508699999999999e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.492079417796780e-01,  7.224354683419295e-01,  3.809999999999999e-02,  7.786799999999999e+01,  3.598270217974107e-01
PdAg_1_9_100,  5.513618316460450e-01,  7.470916415110350e-01,  3.809999999999999e-02,  8.342999999999999e+01,  3.598270217974107e-01
PdAg_1_5_100,  2.374958845661730e-01,  3.703674977861988e-01,  5.440000000000000e-02,  2.744999999999996e+00,  4.150291165532173e-01
PdAg_1_5_100,  4.808701435604430e-01,  3.825359974893980e-01,  5.440000000000000e-02,  5.489999999999991e+00,  4.150291165532173e-01
PdAg_1_5_100,  5.154914790070170e-01,  3.947044971925972e-01,  5.440000000000000e-02,  8.234999999999987e+00,  4.150291165532173e-01
PdAg_1_5_100,  5.367991849441260e-01,  4.068729968957964e-01,  5.440000000000000e-02,  1.097999999999998e+01,  4.150291165532173e-01
PdAg_1_5_100,  5.423108450430540e-01,  4.190414965989952e-01,  5.440000000000000e-02,  1.372499999999998e+01,  4.150291165532173e-01
PdAg_1_5_100,  5.500936576470050e-01,  4.312099963021944e-01,  5.440000000000000e-02,  1.646999999999997e+01,  4.150291165532173e-01
PdAg_1_5_100,  5.582907011266131e-01,  4.677154954117921e-01,  5.440000000000000e-02,  2.470499999999996e+01,  4.150291165532173e-01
PdAg_1_5_100,  5.565493546496050e-01,  4.798839951149913e-01,  5.440000000000000e-02,  2.744999999999996e+01,  4.150291165532173e-01
