# c0 + a0 * (std_dev / surface_area) + a1 * (av_E_def_subsurf * time) + a2 * (av_mu_C_critical_surf^3)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.174979227313766; Max AE: 0.64747537066753
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.188080044399506e+01,  4.713786105929238e-03,  1.142861167303361e-02,  5.727642187013187e-01, 
# 3   ,  1.204966144048423e+01,  6.185588820116866e-03,  1.111708140332465e-02,  6.483152306292786e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV^3;                                             11|cb; (av_mu_C_critical_surf^3); $\left(av_{mu, C, critical, surf}^3\right)$; (av_mu_C_critical_surf).^3; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.269049657075509e-01,  4.109589041095890e-02,  5.561999999999999e+00, -6.652858860799999e+01
PdAg_1_9_100,  4.889175556194310e-01,  3.400140048681399e-01,  4.109589041095890e-02,  8.343000000000000e+00, -6.652858860799999e+01
PdAg_1_9_100,  5.190263630918930e-01,  3.662320831893184e-01,  4.109589041095890e-02,  1.390500000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.343009987338970e-01,  3.793411223499077e-01,  4.109589041095890e-02,  1.668600000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.245052994310410e-01,  4.055592006710860e-01,  4.109589041095890e-02,  2.224800000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.250038067660980e-01,  4.186682398316752e-01,  4.109589041095890e-02,  2.502900000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.309811253181910e-01,  4.448863181528537e-01,  4.109589041095890e-02,  3.059100000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.301609565427799e-01,  4.579953573134430e-01,  4.109589041095890e-02,  3.337200000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.311850747278510e-01,  4.711043964740320e-01,  4.109589041095890e-02,  3.615300000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.331594707700800e-01,  4.842134356346213e-01,  4.109589041095890e-02,  3.893400000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.337303696543760e-01,  5.104315139557998e-01,  4.109589041095890e-02,  4.449600000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.357515610659280e-01,  5.235405531163890e-01,  4.109589041095890e-02,  4.727699999999999e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.338785022320920e-01,  5.366495922769783e-01,  4.109589041095890e-02,  5.005800000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.368098128623250e-01,  5.497586314375673e-01,  4.109589041095890e-02,  5.283900000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.372121836650180e-01,  5.628676705981566e-01,  4.109589041095890e-02,  5.562000000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.374193757726820e-01,  5.759767097587458e-01,  4.109589041095890e-02,  5.840100000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.370904880212340e-01,  5.890857489193351e-01,  4.109589041095890e-02,  6.118200000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.406782826954460e-01,  6.415219055616919e-01,  4.109589041095890e-02,  7.230600000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.492079417796780e-01,  6.677399838828701e-01,  4.109589041095890e-02,  7.786799999999999e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.513618316460450e-01,  6.939580622040487e-01,  4.109589041095890e-02,  8.342999999999999e+01, -6.652858860799999e+01
PdAg_1_5_100,  4.808701435604430e-01,  3.202282099404635e-01,  5.128205128205128e-02,  5.489999999999991e+00, -7.767229629629648e+01
PdAg_1_5_100,  5.154914790070170e-01,  3.331675528012393e-01,  5.128205128205128e-02,  8.234999999999987e+00, -7.767229629629648e+01
PdAg_1_5_100,  5.500936576470050e-01,  3.719855813835665e-01,  5.128205128205128e-02,  1.646999999999997e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.645630120222940e-01,  3.849249242443423e-01,  5.128205128205128e-02,  1.921499999999997e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.582907011266131e-01,  4.108036099658937e-01,  5.128205128205128e-02,  2.470499999999996e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.565493546496050e-01,  4.237429528266695e-01,  5.128205128205128e-02,  2.744999999999996e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.575686028510159e-01,  4.496216385482208e-01,  5.128205128205128e-02,  3.293999999999995e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.602593885180470e-01,  4.625609814089967e-01,  5.128205128205128e-02,  3.568499999999995e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.573180603724570e-01,  4.884396671305480e-01,  5.128205128205128e-02,  4.117499999999993e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.640054092902220e-01,  5.143183528520997e-01,  5.128205128205128e-02,  4.666499999999993e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.670953068021050e-01,  5.272576957128753e-01,  5.128205128205128e-02,  4.940999999999992e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.641858757894110e-01,  5.531363814344269e-01,  5.128205128205128e-02,  5.489999999999991e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.722223250453750e-01,  5.660757242952027e-01,  5.128205128205128e-02,  5.764499999999990e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.681292230354840e-01,  5.790150671559783e-01,  5.128205128205128e-02,  6.038999999999990e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.669074847793930e-01,  6.048937528775299e-01,  5.128205128205128e-02,  6.587999999999990e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.726284043483260e-01,  6.307724385990813e-01,  5.128205128205128e-02,  7.136999999999989e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.748142709268410e-01,  6.566511243206327e-01,  5.128205128205128e-02,  7.685999999999987e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.815291194929140e-01,  6.695904671814085e-01,  5.128205128205128e-02,  7.960499999999988e+01, -7.767229629629648e+01
PdAg_1_5_100,  5.845225345839020e-01,  6.825298100421843e-01,  5.128205128205128e-02,  8.234999999999987e+01, -7.767229629629648e+01
PdAg_1_1_100, -9.717271086694580e-01, -4.666753247984162e-01,  5.797101449275362e-02,  2.565000000000000e+00, -1.522733040000000e+02
PdAg_1_1_100, -9.805113751193140e-01, -4.545844634367079e-01,  5.797101449275362e-02,  5.130000000000000e+00, -1.522733040000000e+02
PdAg_1_1_100, -9.654552652811350e-01, -4.424936020749993e-01,  5.797101449275362e-02,  7.695000000000000e+00, -1.522733040000000e+02
PdAg_1_1_100, -9.271610956676301e-01, -4.304027407132908e-01,  5.797101449275362e-02,  1.026000000000000e+01, -1.522733040000000e+02
PdAg_1_1_100, -8.529977989918130e-01, -4.183118793515822e-01,  5.797101449275362e-02,  1.282500000000000e+01, -1.522733040000000e+02
