# c0 + a0 * (std_dev / surface_area) + a1 * (time / av_PE) + a2 * (time / av_E_coh) + a3 * cbrt(av_BE_H_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.14912675318553; Max AE: 0.732501065489244
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.129392514630564e+01,  1.331166051387752e-02, -1.795615784323411e-02,  2.060338286800266e+01,  2.655635070009958e+01, 
# 3   ,  1.791003579123570e+01,  3.741695106063964e-02, -5.716209037191939e-02,  2.338001343230436e+01,  3.014871395145925e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; min;                                              0|7|div; (time / av_PE); $\left(\frac{ time }{ av_{PE} } \right)$; (time ./ av_PE); time,av_PE
# 2;  1; atom * eV^-1 * min;                               0|9|div; (time / av_E_coh); $\left(\frac{ time }{ av_{E, coh} } \right)$; (time ./ av_E_coh); time,av_E_coh
# 3;  1; eV^0.333333;                                      16|cbrt; cbrt(av_BE_H_surf); $\left(\sqrt[3]{ av_{BE, H, surf} }\right)$; nthroot(av_BE_H_surf, 3); av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  4.212956441336370e-01,  4.112658111392477e-01,  4.109589041095890e-02,  1.379662749105774e+01,  8.893280632411066e+00, -1.292660814019130e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.232492464480686e-01,  4.109589041095890e-02,  2.069494123658661e+01,  1.333992094861660e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.472161170657102e-01,  4.109589041095890e-02,  3.449156872764435e+01,  2.223320158102767e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.591995523745311e-01,  4.109589041095890e-02,  4.138988247317322e+01,  2.667984189723320e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.831664229921728e-01,  4.109589041095890e-02,  5.518650996423096e+01,  3.557312252964427e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.951498583009901e-01,  4.109589041095890e-02,  6.208482370975983e+01,  4.001976284584980e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.191167289186318e-01,  4.109589041095890e-02,  7.588145120081758e+01,  4.891304347826087e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.311001642274527e-01,  4.109589041095890e-02,  8.277976494634645e+01,  5.335968379446641e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.430835995362699e-01,  4.109589041095890e-02,  8.967807869187531e+01,  5.780632411067194e+01, -1.292660814019130e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.550670348450908e-01,  4.109589041095890e-02,  9.657639243740418e+01,  6.225296442687747e+01, -1.292660814019130e+00
