# c0 + a0 * ((av_E_def_subsurf * time) / (av_W_change_H^3)) + a1 * ((surface_area^2) / (av_E_def_subsurf * std_dev)) + a2 * (exp(2.495688e-03*((time+6.551006e+02) / (av_mu_C_critical_surf+4.051988e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.131354702458872; Max AE: 0.505566633606916
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.608061362676141e-07, -3.149537031391751e-05, -4.809817838223121e+00,  7.312968980178285e-01, 
# 3   ,  8.807109417247978e-07, -3.798763455636689e-05, -4.823803723690848e+00,  9.587938066149260e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      14|0|mult|17|cb|div; ((av_E_def_subsurf * time) / (av_W_change_H^3)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(av_{W, change, H}^3\right) } \right)$; ((av_E_def_subsurf .* time) ./ (av_W_change_H).^3); av_E_def_subsurf,time,av_W_change_H
# 1;  2; eV^-1 * g^-2 * m^4 * nm^-1;                       4|sq|14|3|mult|div; ((surface_area^2) / (av_E_def_subsurf * std_dev)); $\left(\frac{ \left(surface_{area}^2\right) }{ \left(av_{E, def, subsurf} std_{dev}\right) } \right)$; ((surface_area).^2 ./ (av_E_def_subsurf .* std_dev)); surface_area,av_E_def_subsurf,std_dev
# 2;  2; Unitless;                                         0|11|div|exp:2.4956884865303e-03,0.0000000000000e+00,6.5510057021588e+02,4.0519880820795e+00; (exp(2.495688e-03*((time+6.551006e+02) / (av_mu_C_critical_surf+4.051988e+00)))); $\left(\exp{ \left(2.496e-03\left(\frac{ time +6.551e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.495688e-03.*((time+6.551006e+02) ./ (av_mu_C_critical_surf+4.051988e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.601222863450367e-01,  2.545008954661137e+03,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  4.605315394018022e-01,  5.090017909322274e+03,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.609407924585677e-01,  7.635026863983412e+03,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.617592985720988e-01,  1.272504477330569e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.621685516288643e-01,  1.527005372796682e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.625778046856299e-01,  1.781506268262796e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.629870577423954e-01,  2.036007163728910e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.633963107991609e-01,  2.290508059195024e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.642148169126920e-01,  2.799509850127251e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.646240699694575e-01,  3.054010745593365e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.650333230262231e-01,  3.308511641059478e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.654425760829886e-01,  3.563012536525592e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.662610821965197e-01,  4.072014327457819e+04,  8.622977346278318e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  4.666703352532852e-01,  4.326515222923933e+04,  8.622977346278318e+03,  0.000000000000000e+00
