# c0 + a0 * (|(av_IP / av_PE) - (av_BE_H_subsurf - av_mu_C_critical_subsurf)|) + a1 * (|(|av_d_band_center_surf|) - (av_d_band_center_surf + av_E_b_C_subsurf)|) + a2 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a3 * (exp(2.495688e-03*((time+6.551006e+02) / (av_mu_C_critical_surf+4.051988e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.112376470140611; Max AE: 0.546615311429306
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.238668841371282e+00, -2.481460552849393e-01, -1.177357211952866e-06, -3.770411760367572e+00,  2.331327206395430e-01, 
# 3   ,  7.883805102274980e-01, -2.196835131812144e-01, -1.563114112057150e-06, -4.076918621164453e+00,  6.381840962359726e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               5|7|div|19|12|sub|abd; (|(av_IP / av_PE) - (av_BE_H_subsurf - av_mu_C_critical_subsurf)|); $\left(\left|\left(\frac{ av_{IP} }{ av_{PE} } \right) - \left(av_{BE, H, subsurf} - av_{mu, C, critical, subsurf}\right)\right|\right)$; abs((av_IP ./ av_PE) - (av_BE_H_subsurf - av_mu_C_critical_subsurf)); av_IP,av_PE,av_BE_H_subsurf,av_mu_C_critical_subsurf
# 1;  2; eV;                                               18|abs|18|13|add|abd; (|(|av_d_band_center_surf|) - (av_d_band_center_surf + av_E_b_C_subsurf)|); $\left(\left|\left(\left|av_{d, band, center, surf}\right|\right) - \left(av_{d, band, center, surf} + av_{E, b, C, subsurf}\right)\right|\right)$; abs(abs(av_d_band_center_surf) - (av_d_band_center_surf + av_E_b_C_subsurf)); av_d_band_center_surf,av_d_band_center_surf,av_E_b_C_subsurf
# 2;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         0|11|div|exp:2.4956884865303e-03,0.0000000000000e+00,6.5510057021588e+02,4.0519880820795e+00; (exp(2.495688e-03*((time+6.551006e+02) / (av_mu_C_critical_surf+4.051988e+00)))); $\left(\exp{ \left(2.496e-03\left(\frac{ time +6.551e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.495688e-03.*((time+6.551006e+02) ./ (av_mu_C_critical_surf+4.051988e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.516813880954528e-01,  8.711175268267755e-01,  3.065000000000000e+00, -7.660313335186942e+01,  0.000000000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  5.517715773469627e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.532062667037388e+02,  0.000000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  5.518617665984727e-01,  8.711175268267755e-01,  3.065000000000000e+00, -2.298094000556082e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  5.520421451014927e-01,  8.711175268267755e-01,  3.065000000000000e+00, -3.830156667593470e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  5.521323343530028e-01,  8.711175268267755e-01,  3.065000000000000e+00, -4.596188001112164e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.522225236045127e-01,  8.711175268267755e-01,  3.065000000000000e+00, -5.362219334630859e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.523127128560228e-01,  8.711175268267755e-01,  3.065000000000000e+00, -6.128250668149553e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.524029021075328e-01,  8.711175268267755e-01,  3.065000000000000e+00, -6.894282001668247e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.525832806105528e-01,  8.711175268267755e-01,  3.065000000000000e+00, -8.426344668705635e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.526734698620628e-01,  8.711175268267755e-01,  3.065000000000000e+00, -9.192376002224329e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.527636591135728e-01,  8.711175268267755e-01,  3.065000000000000e+00, -9.958407335743022e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.528538483650829e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.072443866926172e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.530342268681029e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.225650133629911e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.531244161196128e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.302253266981780e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.532146053711229e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.378856400333649e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.533047946226329e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.455459533685519e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.533949838741429e-01,  8.711175268267755e-01,  3.065000000000000e+00, -1.532062667037388e+03,  0.000000000000000e+00
