# c0 + a0 * ((av_PE^2) / (av_E_def_subsurf * particle_diameter)) + a1 * (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.145571990102958; Max AE: 0.554810365112374
# Coefficients
# Task   a0                      a1                      c0
# 2   , -2.705230228018474e-01, -2.836582214787745e+00,  1.416849921589622e+00, 
# 3   , -4.082007492399354e-01, -2.692147515918460e+00,  2.063115326857177e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * nm^-1;                                    7|sq|14|2|mult|div; ((av_PE^2) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(av_{PE}^2\right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_PE).^2 ./ (av_E_def_subsurf .* particle_diameter)); av_PE,av_E_def_subsurf,particle_diameter
# 1;  2; Unitless;                                         0|19|div|exp:9.6134557446333e-04,0.0000000000000e+00,3.0433683847078e+02,1.3869718719512e+00; (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00)))); $\left(\exp{ \left(9.613e-04\left(\frac{ time +3.043e+02 }{ av_{BE, H, subsurf}+1.387e+00 } \right) \right)}\right)$; exp(9.613456e-04.*((time+3.043368e+02) ./ (av_BE_H_subsurf+1.386972e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.754072354723039e-01,  3.098583333333333e+00,  1.129724484576859e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.768111797940866e-01,  3.098583333333333e+00,  6.347822564039219e-04
PdAg_1_9_100,  5.190263630918930e-01,  5.776000437663326e-01,  3.098583333333333e+00,  3.566785694621638e-04
PdAg_1_9_100,  5.343009987338970e-01,  5.778533915279269e-01,  3.098583333333333e+00,  2.673641260895413e-04
PdAg_1_9_100,  5.224295719363120e-01,  5.780432994973841e-01,  3.098583333333333e+00,  2.004145525967941e-04
PdAg_1_9_100,  5.250038067660980e-01,  5.782923609959727e-01,  3.098583333333333e+00,  1.126111752470568e-04
PdAg_1_9_100,  5.309811253181910e-01,  5.784323064625141e-01,  3.098583333333333e+00,  6.327522939931548e-05
PdAg_1_9_100,  5.301609565427799e-01,  5.784772506758905e-01,  3.098583333333333e+00,  4.743073416766583e-05
PdAg_1_9_100,  5.331594707700800e-01,  5.785361943482830e-01,  3.098583333333333e+00,  2.665091256220994e-05
PdAg_1_9_100,  5.357515610659280e-01,  5.785799509175785e-01,  3.098583333333333e+00,  1.122510573476075e-05
PdAg_1_9_100,  5.338785022320920e-01,  5.785879240778832e-01,  3.098583333333333e+00,  8.414272238341959e-06
PdAg_1_9_100,  5.368098128623250e-01,  5.785939007112432e-01,  3.098583333333333e+00,  6.307288231743424e-06
PdAg_1_9_100,  5.372121836650180e-01,  5.785983807599258e-01,  3.098583333333333e+00,  4.727905600321804e-06
PdAg_1_9_100,  5.374193757726820e-01,  5.786017389776698e-01,  3.098583333333333e+00,  3.544009809644530e-06
PdAg_1_9_100,  5.370904880212340e-01,  5.786042562776401e-01,  3.098583333333333e+00,  2.656568593501902e-06
PdAg_1_9_100,  5.397703104721880e-01,  5.786086179417099e-01,  3.098583333333333e+00,  1.118920910647827e-06
PdAg_1_9_100,  5.406782826954460e-01,  5.786094127080132e-01,  3.098583333333333e+00,  8.387364340105241e-07
PdAg_1_9_100,  5.449528999218350e-01,  5.786100084600889e-01,  3.098583333333333e+00,  6.287118231881041e-07
PdAg_1_9_100,  5.492079417796780e-01,  5.786104550322879e-01,  3.098583333333333e+00,  4.712786288851628e-07
PdAg_1_9_100,  5.513618316460450e-01,  5.786110407051347e-01,  3.098583333333333e+00,  2.648073185301644e-07
PdAg_1_5_100,  2.374958845661730e-01,  2.992042207352064e-01,  3.197233606557383e+00,  8.909327559320220e-02
PdAg_1_5_100,  5.154914790070170e-01,  3.461317063940520e-01,  3.197233606557383e+00,  7.254960362973785e-02
PdAg_1_5_100,  5.367991849441260e-01,  3.662188172599839e-01,  3.197233606557383e+00,  6.546815513118448e-02
PdAg_1_5_100,  5.423108450430540e-01,  3.843452579917578e-01,  3.197233606557383e+00,  5.907791527235835e-02
PdAg_1_5_100,  5.500936576470050e-01,  4.007024064037660e-01,  3.197233606557383e+00,  5.331141630513833e-02
PdAg_1_5_100,  5.645630120222940e-01,  4.154629602340315e-01,  3.197233606557383e+00,  4.810777589827286e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.408024367378835e-01,  3.197233606557383e+00,  3.917467451599966e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.516488920011777e-01,  3.197233606557383e+00,  3.535089842139214e-02
PdAg_1_5_100,  5.598480318312991e-01,  4.614366424542999e-01,  3.197233606557383e+00,  3.190035487567842e-02
PdAg_1_5_100,  5.602593885180470e-01,  4.782392960325090e-01,  3.197233606557383e+00,  2.597679888261993e-02
PdAg_1_5_100,  5.581440247555720e-01,  4.854316005109764e-01,  3.197233606557383e+00,  2.344124590588182e-02
PdAg_1_5_100,  5.573180603724570e-01,  4.919218758782978e-01,  3.197233606557383e+00,  2.115318412029840e-02
PdAg_1_5_100,  5.579843483292020e-01,  4.977786460511640e-01,  3.197233606557383e+00,  1.908845631430236e-02
PdAg_1_5_100,  5.670953068021050e-01,  5.078329767958208e-01,  3.197233606557383e+00,  1.554393336966801e-02
PdAg_1_5_100,  5.619488591146869e-01,  5.121366903554797e-01,  3.197233606557383e+00,  1.402671538204098e-02
PdAg_1_5_100,  5.641858757894110e-01,  5.160203254529490e-01,  3.197233606557383e+00,  1.265759056795205e-02
PdAg_1_5_100,  5.669074847793930e-01,  5.281164166893386e-01,  3.197233606557383e+00,  8.393271637469455e-03
PdAg_1_5_100,  5.713037334532890e-01,  5.304402967586244e-01,  3.197233606557383e+00,  7.574018080434916e-03
PdAg_1_5_100,  5.726284043483260e-01,  5.325373466840619e-01,  3.197233606557383e+00,  6.834730527088075e-03
PdAg_1_5_100,  5.815291194929140e-01,  5.376783262426060e-01,  3.197233606557383e+00,  5.022345350397972e-03
PdAg_1_1_100, -8.529977989918130e-01, -7.083449130818349e-01,  2.493698830409357e+00,  5.113872185863053e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.734524164606339e-01,  2.493698830409357e+00,  4.990863247714536e-01
PdAg_1_1_100, -6.470710172478540e-01, -6.393992229746557e-01,  2.493698830409357e+00,  4.870813163114657e-01
PdAg_1_1_100, -5.593859615030060e-01, -6.061651440498231e-01,  2.493698830409357e+00,  4.753650759883135e-01
PdAg_1_1_100, -4.356272700356220e-01, -5.420759919832767e-01,  2.493698830409357e+00,  4.527712827492403e-01
PdAg_1_1_100, -3.942969479298420e-01, -5.111829233274385e-01,  2.493698830409357e+00,  4.418803350112246e-01
PdAg_1_1_100, -3.578780939481840e-01, -4.810329556787021e-01,  2.493698830409357e+00,  4.312513578246803e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.516082145062816e-01,  2.493698830409357e+00,  4.208780497573087e-01
PdAg_1_1_100, -3.034303343562620e-01, -4.228912552328535e-01,  2.493698830409357e+00,  4.107542609512871e-01
PdAg_1_1_100, -2.763484965311610e-01, -3.675129920372290e-01,  2.493698830409357e+00,  3.912313777762728e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.893414414658906e-01,  2.493698830409357e+00,  3.636730189302600e-01
PdAg_1_1_100, -1.990275787567010e-01, -2.403107141574873e-01,  2.493698830409357e+00,  3.463878766020049e-01
PdAg_1_1_100, -1.764119820223890e-01, -1.936103854650618e-01,  2.493698830409357e+00,  3.299242858592560e-01
PdAg_1_1_100, -1.649059173329500e-01, -1.710992987362616e-01,  2.493698830409357e+00,  3.219882963393878e-01
PdAg_1_1_100, -1.281630446115000e-01, -1.067631390607786e-01,  2.493698830409357e+00,  2.993074237949278e-01
PdAg_1_1_100, -1.177762941936660e-01, -8.634107356149717e-02,  2.493698830409357e+00,  2.921078914165547e-01
PdAg_1_1_100, -1.127993153452220e-01, -6.641023985303160e-02,  2.493698830409357e+00,  2.850815363881118e-01
PdAg_1_1_100, -1.052140905390360e-01, -4.695882185966190e-02,  2.493698830409357e+00,  2.782241931064805e-01
PdAu_1_9_100, -9.100467303064901e-02, -1.276534616476809e-01,  3.765009592326138e+00,  1.854279437772768e-01
PdAu_1_9_100, -7.191156478202700e-02, -9.275277493793943e-02,  3.765009592326138e+00,  1.731241626537133e-01
PdAu_1_9_100, -3.733330199173200e-02, -6.016786869575493e-02,  3.765009592326138e+00,  1.616367796784157e-01
PdAu_1_9_100, -1.007560701613500e-02, -2.974508293103890e-02,  3.765009592326138e+00,  1.509116240294396e-01
PdAu_1_9_100,  9.299946229292000e-03, -1.340953521956778e-03,  3.765009592326138e+00,  1.408981193049846e-01
PdAu_1_9_100,  5.806571622389000e-02,  4.993822767054539e-02,  3.765009592326138e+00,  1.228203139358428e-01
PdAu_1_9_100,  7.894321375694401e-02,  7.305509566221992e-02,  3.765009592326138e+00,  1.146707641462541e-01
PdAu_1_9_100,  9.683182273926901e-02,  9.463808004262225e-02,  3.765009592326138e+00,  1.070619649836966e-01
PdAu_1_9_100,  1.191551569766660e-01,  1.336027584095539e-01,  3.765009592326138e+00,  9.332547669726517e-02
PdAu_1_9_100,  1.313415091122350e-01,  1.511681973498723e-01,  3.765009592326138e+00,  8.713301069055267e-02
PdAu_1_9_100,  1.429267254119260e-01,  1.675681090688966e-01,  3.765009592326138e+00,  8.135143607814486e-02
PdAu_1_9_100,  1.597320334915230e-01,  1.828798303020305e-01,  3.765009592326138e+00,  7.595348880437630e-02
PdAu_1_9_100,  1.699090731693030e-01,  1.971755662265867e-01,  3.765009592326138e+00,  7.091371387734288e-02
PdAu_1_9_100,  2.019303936948270e-01,  2.229842654547025e-01,  3.765009592326138e+00,  6.181519415400499e-02
PdAu_1_9_100,  2.229614152668760e-01,  2.454816029430161e-01,  3.765009592326138e+00,  5.388405174923706e-02
PdAu_1_9_100,  2.228328257008080e-01,  2.556234961789702e-01,  3.765009592326138e+00,  5.030865979229603e-02
PdAu_1_9_100,  2.700130477468170e-01,  2.821871263165461e-01,  3.765009592326138e+00,  4.094399903996748e-02
PdAu_1_9_100,  2.971222466409820e-01,  2.970884944531317e-01,  3.765009592326138e+00,  3.569071638914165e-02
PdAu_1_9_100,  3.282848750136670e-01,  3.100779560700566e-01,  3.765009592326138e+00,  3.111145140284658e-02
