# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_E_coh)) + a2 * (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00)))) + a3 * (exp(3.432282e+01*((av_BE_H_subsurf+1.379429e+00) / (time+4.318394e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.102019011580679; Max AE: 0.525863800723573
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -5.523380913037128e-07,  1.218492257567774e+02, -5.223534800111378e+00, -3.837709268822074e+01,  3.812830185851416e+01, 
# 3   , -1.158049310092574e-06,  1.357129519641682e+02, -2.011697873144490e+00,  8.014860415447973e+00, -7.976331746438742e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; atom * nm;                                        2|1|mult|14|9|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_E_coh)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{E, coh} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ av_E_coh)); particle_diameter,total_metal_loading,av_E_def_subsurf,av_E_coh
# 2;  2; Unitless;                                         0|19|div|exp:9.6134557446333e-04,0.0000000000000e+00,3.0433683847078e+02,1.3869718719512e+00; (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00)))); $\left(\exp{ \left(9.613e-04\left(\frac{ time +3.043e+02 }{ av_{BE, H, subsurf}+1.387e+00 } \right) \right)}\right)$; exp(9.613456e-04.*((time+3.043368e+02) ./ (av_BE_H_subsurf+1.386972e+00))); time,av_BE_H_subsurf
# 3;  2; Unitless;                                         19|0|div|exp:3.4322822052147e+01,0.0000000000000e+00,1.3794285526547e+00,4.3183938511559e+02; (exp(3.432282e+01*((av_BE_H_subsurf+1.379429e+00) / (time+4.318394e+02)))); $\left(\exp{ \left(3.432e+01\left(\frac{ av_{BE, H, subsurf} +1.379e+00 }{ time+4.318e+02 } \right) \right)}\right)$; exp(3.432282e+01.*((av_BE_H_subsurf+1.379429e+00) ./ (time+4.318394e+02))); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.305336731850001e-01, -7.660313335186942e+01,  5.170355731225295e-03,  1.129724484576859e-03,  9.959564549157847e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.243501602162014e-01, -2.298094000556082e+02,  5.170355731225295e-03,  6.347822564039219e-04,  9.961871519790189e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.179896946208111e-01, -3.830156667593470e+02,  5.170355731225295e-03,  3.566785694621638e-04,  9.963929458780839e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.148609599061038e-01, -4.596188001112164e+02,  5.170355731225295e-03,  2.673641260895413e-04,  9.964877311364628e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.118016812736725e-01, -5.362219334630859e+02,  5.170355731225295e-03,  2.004145525967941e-04,  9.965776624638806e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.059467326769370e-01, -6.894282001668247e+02,  5.170355731225295e-03,  1.126111752470568e-04,  9.967443820823466e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.004852699525356e-01, -8.426344668705635e+02,  5.170355731225295e-03,  6.327522939931548e-05,  9.968956127255459e-01
PdAg_1_9_100,  5.301609565427799e-01,  4.979060582282038e-01, -9.192376002224329e+02,  5.170355731225295e-03,  4.743073416766583e-05,  9.969660788978274e-01
PdAg_1_9_100,  5.331594707700800e-01,  4.930429619237746e-01, -1.072443866926172e+03,  5.170355731225295e-03,  2.665091256220994e-05,  9.970978309855566e-01
PdAg_1_9_100,  5.357515610659280e-01,  4.864391280236592e-01, -1.302253266981780e+03,  5.170355731225295e-03,  1.122510573476075e-05,  9.972753156032587e-01
PdAg_1_9_100,  5.338785022320920e-01,  4.844071096237249e-01, -1.378856400333649e+03,  5.170355731225295e-03,  8.414272238341959e-06,  9.973297494222025e-01
PdAg_1_9_100,  5.368098128623250e-01,  4.824532483825819e-01, -1.455459533685519e+03,  5.170355731225295e-03,  6.307288231743424e-06,  9.973820508820915e-01
PdAg_1_9_100,  5.372121836650180e-01,  4.805737487538676e-01, -1.532062667037388e+03,  5.170355731225295e-03,  4.727905600321804e-06,  9.974323428735408e-01
PdAg_1_9_100,  5.374193757726820e-01,  4.787649402268586e-01, -1.608665800389258e+03,  5.170355731225295e-03,  3.544009809644530e-06,  9.974807390220303e-01
PdAg_1_9_100,  5.370904880212340e-01,  4.770233021639227e-01, -1.685268933741127e+03,  5.170355731225295e-03,  2.656568593501902e-06,  9.975273445449135e-01
PdAg_1_9_100,  5.397703104721880e-01,  4.721686942153077e-01, -1.915078333796735e+03,  5.170355731225295e-03,  1.118920910647827e-06,  9.976573588852575e-01
PdAg_1_9_100,  5.406782826954460e-01,  4.706638719240027e-01, -1.991681467148604e+03,  5.170355731225295e-03,  8.387364340105241e-07,  9.976977109954531e-01
PdAg_1_9_100,  5.449528999218350e-01,  4.692111290540883e-01, -2.068284600500474e+03,  5.170355731225295e-03,  6.287118231881041e-07,  9.977366965116671e-01
PdAg_1_9_100,  5.492079417796780e-01,  4.678079374828467e-01, -2.144887733852343e+03,  5.170355731225295e-03,  4.712786288851628e-07,  9.977743837009814e-01
PdAg_1_9_100,  5.513618316460450e-01,  4.651408309783449e-01, -2.298094000556082e+03,  5.170355731225295e-03,  2.648073185301644e-07,  9.978461141651378e-01
PdAg_1_5_100,  2.374958845661730e-01,  3.320686765916188e-01, -9.122135255363506e+01,  5.352258064516120e-03,  8.909327559320220e-02,  9.897328740147989e-01
PdAg_1_5_100,  5.154914790070170e-01,  3.961720798789057e-01, -2.736640576609052e+02,  5.352258064516120e-03,  7.254960362973785e-02,  9.903169154682019e-01
PdAg_1_5_100,  5.367991849441260e-01,  4.229355490630428e-01, -3.648854102145402e+02,  5.352258064516120e-03,  6.546815513118448e-02,  9.905847082526762e-01
PdAg_1_5_100,  5.423108450430540e-01,  4.466416062329658e-01, -4.561067627681754e+02,  5.352258064516120e-03,  5.907791527235835e-02,  9.908380877418539e-01
PdAg_1_5_100,  5.500936576470050e-01,  4.675991849476064e-01, -5.473281153218104e+02,  5.352258064516120e-03,  5.331141630513833e-02,  9.910781870744964e-01
PdAg_1_5_100,  5.645630120222940e-01,  4.860872615898500e-01, -6.385494678754454e+02,  5.352258064516120e-03,  4.810777589827286e-02,  9.913060236438027e-01
PdAg_1_5_100,  5.582907011266131e-01,  5.166376088441267e-01, -8.209921729827156e+02,  5.352258064516120e-03,  3.917467451599966e-02,  9.917284837002790e-01
PdAg_1_5_100,  5.565493546496050e-01,  5.291320708400566e-01, -9.122135255363507e+02,  5.352258064516120e-03,  3.535089842139214e-02,  9.919246827868282e-01
PdAg_1_5_100,  5.598480318312991e-01,  5.400258609405415e-01, -1.003434878089986e+03,  5.352258064516120e-03,  3.190035487567842e-02,  9.921117899571379e-01
PdAg_1_5_100,  5.602593885180470e-01,  5.576613197706725e-01, -1.185877583197256e+03,  5.352258064516120e-03,  2.597679888261993e-02,  9.924611445110239e-01
PdAg_1_5_100,  5.581440247555720e-01,  5.646883339271577e-01, -1.277098935750891e+03,  5.352258064516120e-03,  2.344124590588182e-02,  9.926244690268675e-01
PdAg_1_5_100,  5.573180603724570e-01,  5.706883902135990e-01, -1.368320288304526e+03,  5.352258064516120e-03,  2.115318412029840e-02,  9.927808669893675e-01
PdAg_1_5_100,  5.579843483292020e-01,  5.757711157608411e-01, -1.459541640858161e+03,  5.352258064516120e-03,  1.908845631430236e-02,  9.929307698773905e-01
PdAg_1_5_100,  5.670953068021050e-01,  5.835693038381384e-01, -1.641984345965431e+03,  5.352258064516120e-03,  1.554393336966801e-02,  9.932126443022509e-01
PdAg_1_5_100,  5.619488591146869e-01,  5.864533434597502e-01, -1.733205698519066e+03,  5.352258064516120e-03,  1.402671538204098e-02,  9.933453168422276e-01
PdAg_1_5_100,  5.641858757894110e-01,  5.887590469110247e-01, -1.824427051072701e+03,  5.352258064516120e-03,  1.265759056795205e-02,  9.934729021371417e-01
PdAg_1_5_100,  5.669074847793930e-01,  5.933937449087505e-01, -2.189312461287242e+03,  5.352258064516120e-03,  8.393271637469455e-03,  9.939378060471484e-01
PdAg_1_5_100,  5.713037334532890e-01,  5.936532913854559e-01, -2.280533813840877e+03,  5.352258064516120e-03,  7.574018080434916e-03,  9.940438650977753e-01
PdAg_1_5_100,  5.726284043483260e-01,  5.936351023833453e-01, -2.371755166394512e+03,  5.352258064516120e-03,  6.834730527088075e-03,  9.941462769277697e-01
PdAg_1_5_100,  5.815291194929140e-01,  5.922336693645966e-01, -2.645419224055417e+03,  5.352258064516120e-03,  5.022345350397972e-03,  9.944334181459226e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.479622335530349e-01, -1.894736842105263e+03,  7.150000000000001e-03,  5.113872185863053e-01,  9.635248808279561e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.196847384683352e-01, -2.273684210526315e+03,  7.150000000000001e-03,  4.990863247714536e-01,  9.644677859924981e-01
PdAg_1_1_100, -6.470710172478540e-01, -5.911292871744414e-01, -2.652631578947368e+03,  7.150000000000001e-03,  4.870813163114657e-01,  9.653631752164247e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.623931407617005e-01, -3.031578947368420e+03,  7.150000000000001e-03,  4.753650759883135e-01,  9.662145515823556e-01
PdAg_1_1_100, -4.356272700356220e-01, -5.047092823386481e-01, -3.789473684210526e+03,  7.150000000000001e-03,  4.527712827492403e-01,  9.677976371342938e-01
PdAg_1_1_100, -3.942969479298420e-01, -4.759018270616095e-01, -4.168421052631578e+03,  7.150000000000001e-03,  4.418803350112246e-01,  9.685348241988456e-01
PdAg_1_1_100, -3.578780939481840e-01, -4.471965794679204e-01, -4.547368421052631e+03,  7.150000000000001e-03,  4.312513578246803e-01,  9.692390175027924e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.186437624234376e-01, -4.926315789473683e+03,  7.150000000000001e-03,  4.208780497573087e-01,  9.699123834066098e-01
PdAg_1_1_100, -3.034303343562620e-01, -3.902872685185737e-01, -5.305263157894736e+03,  7.150000000000001e-03,  4.107542609512871e-01,  9.705569026905351e-01
PdAg_1_1_100, -2.763484965311610e-01, -3.343114428293344e-01, -6.063157894736841e+03,  7.150000000000001e-03,  3.912313777762728e-01,  9.717665109452156e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.526271975705752e-01, -7.199999999999999e+03,  7.150000000000001e-03,  3.636730189302600e-01,  9.734053980520858e-01
PdAg_1_1_100, -1.990275787567010e-01, -1.999442719912416e-01, -7.957894736842104e+03,  7.150000000000001e-03,  3.463878766020049e-01,  9.743962295186188e-01
PdAg_1_1_100, -1.764119820223890e-01, -1.488212641516511e-01, -8.715789473684208e+03,  7.150000000000001e-03,  3.299242858592560e-01,  9.753158860897675e-01
PdAg_1_1_100, -1.649059173329500e-01, -1.238709525316111e-01, -9.094736842105262e+03,  7.150000000000001e-03,  3.219882963393878e-01,  9.757513779862556e-01
PdAg_1_1_100, -1.281630446115000e-01, -5.154714770025457e-02, -1.023157894736842e+04,  7.150000000000001e-03,  2.993074237949278e-01,  9.769702937540572e-01
PdAg_1_1_100, -1.177762941936660e-01, -2.829583447306424e-02, -1.061052631578947e+04,  7.150000000000001e-03,  2.921078914165547e-01,  9.773498170775219e-01
PdAg_1_1_100, -1.127993153452220e-01, -5.476867722250303e-03, -1.098947368421052e+04,  7.150000000000001e-03,  2.850815363881118e-01,  9.777170348456541e-01
PdAg_1_1_100, -1.052140905390360e-01,  1.690891087235486e-02, -1.136842105263158e+04,  7.150000000000001e-03,  2.782241931064805e-01,  9.780725359736400e-01
PdAu_1_9_100, -9.100467303064901e-02, -2.156017806617082e-01,  2.162075592568866e+02,  3.625137470542027e-03,  1.854279437772768e-01,  9.854033343157937e-01
PdAu_1_9_100, -7.191156478202700e-02, -1.672886953772451e-01,  3.243113388853299e+02,  3.625137470542027e-03,  1.731241626537133e-01,  9.858175510434980e-01
PdAu_1_9_100, -3.733330199173200e-02, -1.223628024145840e-01,  4.324151185137732e+02,  3.625137470542027e-03,  1.616367796784157e-01,  9.862089079932735e-01
PdAu_1_9_100, -1.007560701613500e-02, -8.061181126270779e-02,  5.405188981422166e+02,  3.625137470542027e-03,  1.509116240294396e-01,  9.865792466975970e-01
PdAu_1_9_100,  9.299946229292000e-03, -4.183481463006750e-02,  6.486226777706598e+02,  3.625137470542027e-03,  1.408981193049846e-01,  9.869302160646813e-01
PdAu_1_9_100,  5.806571622389000e-02,  2.754578942463286e-02,  8.648302370275464e+02,  3.625137470542027e-03,  1.228203139358428e-01,  9.875798229000032e-01
PdAu_1_9_100,  7.894321375694401e-02,  5.849730109947002e-02,  9.729340166559898e+02,  3.625137470542027e-03,  1.146707641462541e-01,  9.878809982786313e-01
PdAu_1_9_100,  9.683182273926901e-02,  8.717145420072053e-02,  1.081037796284433e+03,  3.625137470542027e-03,  1.070619649836966e-01,  9.881679132975875e-01
PdAu_1_9_100,  1.191551569766660e-01,  1.382764979558592e-01,  1.297245355541320e+03,  3.625137470542027e-03,  9.332547669726517e-02,  9.887028303465815e-01
PdAu_1_9_100,  1.313415091122350e-01,  1.609797330512067e-01,  1.405349135169763e+03,  3.625137470542027e-03,  8.713301069055267e-02,  9.889525526700460e-01
PdAu_1_9_100,  1.429267254119260e-01,  1.819511844717041e-01,  1.513452914798206e+03,  3.625137470542027e-03,  8.135143607814486e-02,  9.891914737109400e-01
PdAu_1_9_100,  1.597320334915230e-01,  2.013069424511929e-01,  1.621556694426650e+03,  3.625137470542027e-03,  7.595348880437630e-02,  9.894202794125663e-01
PdAu_1_9_100,  1.699090731693030e-01,  2.191558302986202e-01,  1.729660474055093e+03,  3.625137470542027e-03,  7.091371387734288e-02,  9.896395988410007e-01
PdAu_1_9_100,  2.019303936948270e-01,  2.507343713321160e-01,  1.945868033311980e+03,  3.625137470542027e-03,  6.181519415400499e-02,  9.900520447192971e-01
PdAu_1_9_100,  2.229614152668760e-01,  2.774270749962821e-01,  2.162075592568866e+03,  3.625137470542027e-03,  5.388405174923706e-02,  9.904329092923360e-01
PdAu_1_9_100,  2.228328257008080e-01,  2.891471271542110e-01,  2.270179372197309e+03,  3.625137470542027e-03,  5.030865979229603e-02,  9.906126108235050e-01
PdAu_1_9_100,  2.700130477468170e-01,  3.186668824257910e-01,  2.594490711082639e+03,  3.625137470542027e-03,  4.094399903996748e-02,  9.911133716995220e-01
PdAu_1_9_100,  2.971222466409820e-01,  3.342762699715344e-01,  2.810698270339526e+03,  3.625137470542027e-03,  3.569071638914165e-02,  9.914185510840108e-01
PdAu_1_9_100,  3.282848750136670e-01,  3.471425972402845e-01,  3.026905829596412e+03,  3.625137470542027e-03,  3.111145140284658e-02,  9.917034659201689e-01
PdAu_1_9_100,  3.423906872889970e-01,  3.526668230731979e-01,  3.135009609224856e+03,  3.625137470542027e-03,  2.904709971615156e-02,  9.918389445831604e-01
PdAu_1_5_100, -8.038512742030930e-01, -5.610427381970288e-01,  1.427396616541343e+02,  4.235294117647058e-03,  3.083322187300258e-01,  9.796143052351052e-01
