# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_bulk_int_dist)) + a2 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_E_coh)) + a3 * (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00)))) + a4 * (exp(7.877701e+00*((av_mu_C_critical_surf+4.076282e+00) / (time+4.902497e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0883544021722037; Max AE: 0.537374217925857
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.071817830693033e-06, -4.654302547284560e+02,  6.648981536394260e+02, -4.500174673921594e+00, -7.562631481132551e+01,  7.527459103055384e+01, 
# 3   ,  1.099916006162384e-06,  8.216746570191575e+01,  8.681802137921179e+01, -3.125230579022091e+00, -1.226354623444184e+01,  1.201162424594288e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A^-1 * eV * nm;                                   2|1|mult|14|8|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_bulk_int_dist)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{bulk, int, dist} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ av_bulk_int_dist)); particle_diameter,total_metal_loading,av_E_def_subsurf,av_bulk_int_dist
# 2;  2; atom * nm;                                        2|1|mult|14|9|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_E_coh)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{E, coh} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ av_E_coh)); particle_diameter,total_metal_loading,av_E_def_subsurf,av_E_coh
# 3;  2; Unitless;                                         0|19|div|exp:9.6134557446333e-04,0.0000000000000e+00,3.0433683847078e+02,1.3869718719512e+00; (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00)))); $\left(\exp{ \left(9.613e-04\left(\frac{ time +3.043e+02 }{ av_{BE, H, subsurf}+1.387e+00 } \right) \right)}\right)$; exp(9.613456e-04.*((time+3.043368e+02) ./ (av_BE_H_subsurf+1.386972e+00))); time,av_BE_H_subsurf
# 4;  2; Unitless;                                         11|0|div|exp:7.8777006299656e+00,0.0000000000000e+00,4.0762815011169e+00,4.9024965580848e+02; (exp(7.877701e+00*((av_mu_C_critical_surf+4.076282e+00) / (time+4.902497e+02)))); $\left(\exp{ \left(7.878e+00\left(\frac{ av_{mu, C, critical, surf} +4.076e+00 }{ time+4.902e+02 } \right) \right)}\right)$; exp(7.877701e+00.*((av_mu_C_critical_surf+4.076282e+00) ./ (time+4.902497e+02))); av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.114651671846431e-01,  7.660313335186942e+01,  5.459136120191973e-03,  5.170355731225295e-03,  1.129724484576859e-03,  1.000379789277555e+00
PdAg_1_9_100,  4.889175556194310e-01,  5.153180989525210e-01,  2.298094000556082e+02,  5.459136120191973e-03,  5.170355731225295e-03,  6.347822564039219e-04,  1.000360465367844e+00
PdAg_1_9_100,  5.190263630918930e-01,  5.180537062416024e-01,  3.830156667593470e+02,  5.459136120191973e-03,  5.170355731225295e-03,  3.566785694621638e-04,  1.000343012674093e+00
PdAg_1_9_100,  5.343009987338970e-01,  5.191508870643120e-01,  4.596188001112164e+02,  5.459136120191973e-03,  5.170355731225295e-03,  2.673641260895413e-04,  1.000334905104341e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.201191062913180e-01,  5.362219334630859e+02,  5.459136120191973e-03,  5.170355731225295e-03,  2.004145525967941e-04,  1.000327171951546e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.217706579978330e-01,  6.894282001668247e+02,  5.459136120191973e-03,  5.170355731225295e-03,  1.126111752470568e-04,  1.000312729730399e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.231567499404360e-01,  8.426344668705635e+02,  5.459136120191973e-03,  5.170355731225295e-03,  6.327522939931548e-05,  1.000299508639795e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.237790420480505e-01,  9.192376002224329e+02,  5.459136120191973e-03,  5.170355731225295e-03,  4.743073416766583e-05,  1.000293308621873e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.249186111074123e-01,  1.072443866926172e+03,  5.459136120191973e-03,  5.170355731225295e-03,  2.665091256220994e-05,  1.000281648037509e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.264330449261400e-01,  1.302253266981780e+03,  5.459136120191973e-03,  5.170355731225295e-03,  1.122510573476075e-05,  1.000265797718954e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.268979359711833e-01,  1.378856400333649e+03,  5.459136120191973e-03,  5.170355731225295e-03,  8.414272238341959e-06,  1.000260903427859e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.273462749184840e-01,  1.455459533685519e+03,  5.459136120191973e-03,  5.170355731225295e-03,  6.307288231743424e-06,  1.000256186120822e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.277795680319004e-01,  1.532062667037388e+03,  5.459136120191973e-03,  5.170355731225295e-03,  4.727905600321804e-06,  1.000251636368367e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.281990731918931e-01,  1.608665800389258e+03,  5.459136120191973e-03,  5.170355731225295e-03,  3.544009809644530e-06,  1.000247245399182e+00
PdAg_1_9_100,  5.370904880212340e-01,  5.286058538966111e-01,  1.685268933741127e+03,  5.459136120191973e-03,  5.170355731225295e-03,  2.656568593501902e-06,  1.000243005043681e+00
PdAg_1_9_100,  5.397703104721880e-01,  5.297583663246761e-01,  1.915078333796735e+03,  5.459136120191973e-03,  5.170355731225295e-03,  1.118920910647827e-06,  1.000231113958753e+00
PdAg_1_9_100,  5.406782826954460e-01,  5.301222476271630e-01,  1.991681467148604e+03,  5.459136120191973e-03,  5.170355731225295e-03,  8.387364340105241e-07,  1.000227404723153e+00
PdAg_1_9_100,  5.449528999218350e-01,  5.304769512177315e-01,  2.068284600500474e+03,  5.459136120191973e-03,  5.170355731225295e-03,  6.287118231881041e-07,  1.000223812668726e+00
PdAg_1_9_100,  5.492079417796780e-01,  5.308229695751049e-01,  2.144887733852343e+03,  5.459136120191973e-03,  5.170355731225295e-03,  4.712786288851628e-07,  1.000220332328887e+00
