# c0 + a0 * (|(ln(1.0*time+1.091653e+02)) - (av_EA / av_E_def_subsurf)|) + a1 * ((av_E_coh / total_metal_loading) / (av_E_def_subsurf * particle_diameter)) + a2 * (exp(8.005077e-04*((time+3.710258e+02) / (av_BE_H_subsurf+1.391822e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.109316423562745; Max AE: 0.39307274482332
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  2.149514272312931e-02, -2.942943397313832e-03, -2.669956620065236e+00,  1.123039823869361e+00, 
# 3   ,  1.916055379034425e-01, -5.794090932349999e-03, -2.617466882283770e+00,  1.744440726983000e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|log:1.0000000000000e+00,1.0916530555446e+02|6|14|div|abd; (|(ln(1.0*time+1.091653e+02)) - (av_EA / av_E_def_subsurf)|); $\left(\left|\left(\ln{ \left(1.0time+1.092e+02 \right)}\right) - \left(\frac{ av_{EA} }{ av_{E, def, subsurf} } \right)\right|\right)$; abs(log(1.0*time+1.091653e+02) - (av_EA ./ av_E_def_subsurf)); time,av_EA,av_E_def_subsurf
# 1;  2; atom^-1 * nm^-1;                                  9|1|div|14|2|mult|div; ((av_E_coh / total_metal_loading) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\frac{ av_{E, coh} }{ total_{metal, loading} } \right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_E_coh ./ total_metal_loading) ./ (av_E_def_subsurf .* particle_diameter)); av_E_coh,total_metal_loading,av_E_def_subsurf,particle_diameter
# 2;  2; Unitless;                                         0|19|div|exp:8.0050771770146e-04,0.0000000000000e+00,3.7102576686496e+02,1.3918222513732e+00; (exp(8.005077e-04*((time+3.710258e+02) / (av_BE_H_subsurf+1.391822e+00)))); $\left(\exp{ \left(8.005e-04\left(\frac{ time +3.710e+02 }{ av_{BE, H, subsurf}+1.392e+00 } \right) \right)}\right)$; exp(8.005077e-04.*((time+3.710258e+02) ./ (av_BE_H_subsurf+1.391822e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.775315132179814e-01,  1.160443359205534e+00,  1.934102897332008e+02,  4.706709941605041e-04
PdAg_1_9_100,  4.212956441336370e-01,  5.755835751410040e-01,  1.056033282967459e+00,  1.934102897332008e+02,  3.596686612890133e-04
PdAg_1_9_100,  5.190263630918930e-01,  5.705182995716964e-01,  7.956458991817046e-01,  1.934102897332008e+02,  1.604937366954859e-04
PdAg_1_9_100,  5.343009987338970e-01,  5.690365274451341e-01,  7.220091894829341e-01,  1.934102897332008e+02,  1.226431374329648e-04
PdAg_1_9_100,  5.224295719363120e-01,  5.676395246442291e-01,  6.534249251788697e-01,  1.934102897332008e+02,  9.371916605032315e-05
PdAg_1_9_100,  5.245052994310410e-01,  5.663189609977706e-01,  5.892440723368795e-01,  1.934102897332008e+02,  7.161658017733669e-05
PdAg_1_9_100,  5.309811253181910e-01,  5.627491236620407e-01,  4.182414351695876e-01,  1.934102897332008e+02,  3.195722563322400e-05
PdAg_1_9_100,  5.301609565427799e-01,  5.616715509549449e-01,  3.671742941102440e-01,  1.934102897332008e+02,  2.442048204502919e-05
PdAg_1_9_100,  5.311850747278510e-01,  5.606425756398827e-01,  3.185887889369479e-01,  1.934102897332008e+02,  1.866119262529453e-05
PdAg_1_9_100,  5.331594707700800e-01,  5.596583718472432e-01,  2.722548632886479e-01,  1.934102897332008e+02,  1.426016528077633e-05
PdAg_1_9_100,  5.337303696543760e-01,  5.578108926961935e-01,  1.855692271260159e-01,  1.934102897332008e+02,  8.327121203426483e-06
PdAg_1_9_100,  5.357515610659280e-01,  5.569417430418168e-01,  1.448905921912278e-01,  1.934102897332008e+02,  6.363265577836806e-06
PdAg_1_9_100,  5.338785022320920e-01,  5.561055399122853e-01,  1.058022292068692e-01,  1.934102897332008e+02,  4.862562682217390e-06
PdAg_1_9_100,  5.368098128623250e-01,  5.553000025163856e-01,  6.818446329703143e-02,  1.934102897332008e+02,  3.715783279712040e-06
PdAg_1_9_100,  5.372121836650180e-01,  5.545230611639317e-01,  3.193064021728897e-02,  1.934102897332008e+02,  2.839458590894987e-06
PdAg_1_9_100,  5.370904880212340e-01,  5.546321150887021e-01,  3.685732065271807e-02,  1.934102897332008e+02,  1.658081471914466e-06
PdAg_1_9_100,  5.397703104721880e-01,  5.566776654258445e-01,  1.319066443847081e-01,  1.934102897332008e+02,  7.398801169370409e-07
PdAg_1_9_100,  5.449528999218350e-01,  5.579400675350039e-01,  1.905980532379692e-01,  1.934102897332008e+02,  4.320476858739948e-07
PdAg_1_9_100,  5.492079417796780e-01,  5.585444076101689e-01,  2.187005893225038e-01,  1.934102897332008e+02,  3.301542154057722e-07
PdAg_1_9_100,  5.513618316460450e-01,  5.597042506913850e-01,  2.726419072667170e-01,  1.934102897332008e+02,  1.927911853316455e-07
PdAg_1_5_100,  2.374958845661730e-01,  3.825868503761902e-01,  9.954584793710524e-01,  1.868370298939251e+02,  7.940192379491431e-02
PdAg_1_5_100,  4.808701435604430e-01,  3.983830708838836e-01,  8.910484031329773e-01,  1.868370298939251e+02,  7.264506120674129e-02
PdAg_1_5_100,  5.154914790070170e-01,  4.128564304175596e-01,  7.965165280450082e-01,  1.868370298939251e+02,  6.646318710566555e-02
PdAg_1_5_100,  5.367991849441260e-01,  4.261008416171659e-01,  7.101542013713589e-01,  1.868370298939251e+02,  6.080737171755301e-02
PdAg_1_5_100,  5.423108450430540e-01,  4.382078753934162e-01,  6.306610193472233e-01,  1.868370298939251e+02,  5.563284904345905e-02
PdAg_1_5_100,  5.500936576470050e-01,  4.492651164176514e-01,  5.570243096484528e-01,  1.868370298939251e+02,  5.089866253500444e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.769397321871434e-01,  3.639502666301953e-01,  1.868370298939251e+02,  3.897907940727427e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.845733872033669e-01,  3.070725551002909e-01,  1.868370298939251e+02,  3.566207812089855e-02
PdAg_1_5_100,  5.598480318312991e-01,  4.915192142093618e-01,  2.532565553351063e-01,  1.868370298939251e+02,  3.262734357096517e-02
PdAg_1_5_100,  5.575686028510159e-01,  4.978346208543606e-01,  2.021894142757628e-01,  1.868370298939251e+02,  2.985085571538702e-02
