# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * ((particle_diameter * total_metal_loading) * av_E_def_subsurf) + a2 * (exp(8.005077e-04*((time+3.710258e+02) / (av_BE_H_subsurf+1.391822e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.110766865198669; Max AE: 0.554514284440579
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -5.488286538644996e-07,  3.210307872735871e+01, -2.803255864713622e+00,  1.695061694544080e-03, 
# 3   , -1.214483563260506e-06,  4.851243645045605e+01, -2.599169393591805e+00, -1.010438649397350e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV * nm;                                          2|1|mult|14|mult; ((particle_diameter * total_metal_loading) * av_E_def_subsurf); $\left(\left(particle_{diameter} total_{metal, loading}\right) av_{E, def, subsurf}\right)$; ((particle_diameter .* total_metal_loading) .* av_E_def_subsurf); particle_diameter,total_metal_loading,av_E_def_subsurf
# 2;  2; Unitless;                                         0|19|div|exp:8.0050771770146e-04,0.0000000000000e+00,3.7102576686496e+02,1.3918222513732e+00; (exp(8.005077e-04*((time+3.710258e+02) / (av_BE_H_subsurf+1.391822e+00)))); $\left(\exp{ \left(8.005e-04\left(\frac{ time +3.710e+02 }{ av_{BE, H, subsurf}+1.392e+00 } \right) \right)}\right)$; exp(8.005077e-04.*((time+3.710258e+02) ./ (av_BE_H_subsurf+1.391822e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.043461398634674e-01, -7.660313335186942e+01,  1.569720000000000e-02,  4.706709941605041e-04
PdAg_1_9_100,  4.212956441336370e-01,  5.046993497986456e-01, -1.532062667037388e+02,  1.569720000000000e-02,  3.596686612890133e-04
PdAg_1_9_100,  5.190263630918930e-01,  5.053838140577943e-01, -3.830156667593470e+02,  1.569720000000000e-02,  1.604937366954859e-04
PdAg_1_9_100,  5.343009987338970e-01,  5.055319609667192e-01, -4.596188001112164e+02,  1.569720000000000e-02,  1.226431374329648e-04
PdAg_1_9_100,  5.224295719363120e-01,  5.056550842536875e-01, -5.362219334630859e+02,  1.569720000000000e-02,  9.371916605032315e-05
PdAg_1_9_100,  5.245052994310410e-01,  5.057590854517208e-01, -6.128250668149553e+02,  1.569720000000000e-02,  7.161658017733669e-05
PdAg_1_9_100,  5.309811253181910e-01,  5.059963867536151e-01, -8.426344668705635e+02,  1.569720000000000e-02,  3.195722563322400e-05
PdAg_1_9_100,  5.301609565427799e-01,  5.060595561688390e-01, -9.192376002224329e+02,  1.569720000000000e-02,  2.442048204502919e-05
PdAg_1_9_100,  5.311850747278510e-01,  5.061177429252407e-01, -9.958407335743022e+02,  1.569720000000000e-02,  1.866119262529453e-05
PdAg_1_9_100,  5.331594707700800e-01,  5.061721221255142e-01, -1.072443866926172e+03,  1.569720000000000e-02,  1.426016528077633e-05
PdAg_1_9_100,  5.337303696543760e-01,  5.062728379552384e-01, -1.225650133629911e+03,  1.569720000000000e-02,  8.327121203426483e-06
PdAg_1_9_100,  5.357515610659280e-01,  5.063203851395975e-01, -1.302253266981780e+03,  1.569720000000000e-02,  6.363265577836806e-06
PdAg_1_9_100,  5.338785022320920e-01,  5.063666339883501e-01, -1.378856400333649e+03,  1.569720000000000e-02,  4.862562682217390e-06
PdAg_1_9_100,  5.368098128623250e-01,  5.064118906989952e-01, -1.455459533685519e+03,  1.569720000000000e-02,  3.715783279712040e-06
PdAg_1_9_100,  5.372121836650180e-01,  5.064563892558778e-01, -1.532062667037388e+03,  1.569720000000000e-02,  2.839458590894987e-06
PdAg_1_9_100,  5.370904880212340e-01,  5.065437849473337e-01, -1.685268933741127e+03,  1.569720000000000e-02,  1.658081471914466e-06
PdAg_1_9_100,  5.397703104721880e-01,  5.066724848843448e-01, -1.915078333796735e+03,  1.569720000000000e-02,  7.398801169370409e-07
PdAg_1_9_100,  5.449528999218350e-01,  5.067574318065312e-01, -2.068284600500474e+03,  1.569720000000000e-02,  4.320476858739948e-07
PdAg_1_9_100,  5.492079417796780e-01,  5.067997594345592e-01, -2.144887733852343e+03,  1.569720000000000e-02,  3.301542154057722e-07
PdAg_1_9_100,  5.513618316460450e-01,  5.068842284873974e-01, -2.298094000556082e+03,  1.569720000000000e-02,  1.927911853316455e-07
PdAg_1_5_100,  2.374958845661730e-01,  3.118155002833670e-01, -9.122135255363506e+01,  1.659199999999997e-02,  7.940192379491431e-02
PdAg_1_5_100,  4.808701435604430e-01,  3.308067798528527e-01, -1.824427051072701e+02,  1.659199999999997e-02,  7.264506120674129e-02
PdAg_1_5_100,  5.154914790070170e-01,  3.481862195737402e-01, -2.736640576609052e+02,  1.659199999999997e-02,  6.646318710566555e-02
PdAg_1_5_100,  5.367991849441260e-01,  3.640909821223300e-01, -3.648854102145402e+02,  1.659199999999997e-02,  6.080737171755301e-02
PdAg_1_5_100,  5.423108450430540e-01,  3.786465580477031e-01, -4.561067627681754e+02,  1.659199999999997e-02,  5.563284904345905e-02
PdAg_1_5_100,  5.500936576470050e-01,  3.919677590343024e-01, -5.473281153218104e+02,  1.659199999999997e-02,  5.089866253500444e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.255315950184307e-01, -8.209921729827156e+02,  1.659199999999997e-02,  3.897907940727427e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.348800632198517e-01, -9.122135255363507e+02,  1.659199999999997e-02,  3.566207812089855e-02
PdAg_1_5_100,  5.598480318312991e-01,  4.434372655369273e-01, -1.003434878089986e+03,  1.659199999999997e-02,  3.262734357096517e-02
PdAg_1_5_100,  5.575686028510159e-01,  4.512705362935086e-01, -1.094656230643621e+03,  1.659199999999997e-02,  2.985085571538702e-02
PdAg_1_5_100,  5.581440247555720e-01,  4.650064582892406e-01, -1.277098935750891e+03,  1.659199999999997e-02,  2.498658614116687e-02
PdAg_1_5_100,  5.579843483292020e-01,  4.765203947644537e-01, -1.459541640858161e+03,  1.659199999999997e-02,  2.091496113018071e-02
PdAg_1_5_100,  5.640054092902220e-01,  4.815596935416250e-01, -1.550762993411796e+03,  1.659199999999997e-02,  1.913516145229606e-02
