# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_bulk_int_dist / av_E_def_subsurf) / (particle_diameter * total_metal_loading)) + a2 * ((av_E_coh / total_metal_loading) / (av_E_def_subsurf * particle_diameter)) + a3 * (exp(5.600969e-04*((time+4.264358e+02) / (av_BE_H_surf+2.140086e+00)))) + a4 * (exp(9.399715e+00*((av_mu_C_critical_surf+4.016183e+00) / (time+5.277746e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0847215983407265; Max AE: 0.500058788088301
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  7.622570528130627e-07,  1.146001303188708e-02, -1.053483404224046e-02, -5.086242908223149e+00, -6.485924945475401e+01,  6.527044063497772e+01, 
# 3   ,  9.639482777505734e-07, -7.455345790958906e-03,  9.226373000127410e-04, -3.361187470866088e+00, -5.622420087308303e+00,  7.430130088351968e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A * eV^-1 * nm^-1;                                8|14|div|2|1|mult|div; ((av_bulk_int_dist / av_E_def_subsurf) / (particle_diameter * total_metal_loading)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ av_{E, def, subsurf} } \right) }{ \left(particle_{diameter} total_{metal, loading}\right) } \right)$; ((av_bulk_int_dist ./ av_E_def_subsurf) ./ (particle_diameter .* total_metal_loading)); av_bulk_int_dist,av_E_def_subsurf,particle_diameter,total_metal_loading
# 2;  2; atom^-1 * nm^-1;                                  9|1|div|14|2|mult|div; ((av_E_coh / total_metal_loading) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\frac{ av_{E, coh} }{ total_{metal, loading} } \right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_E_coh ./ total_metal_loading) ./ (av_E_def_subsurf .* particle_diameter)); av_E_coh,total_metal_loading,av_E_def_subsurf,particle_diameter
# 3;  2; Unitless;                                         0|16|div|exp:5.6009693728582e-04,0.0000000000000e+00,4.2643583737956e+02,2.1400857697023e+00; (exp(5.600969e-04*((time+4.264358e+02) / (av_BE_H_surf+2.140086e+00)))); $\left(\exp{ \left(5.601e-04\left(\frac{ time +4.264e+02 }{ av_{BE, H, surf}+2.140e+00 } \right) \right)}\right)$; exp(5.600969e-04.*((time+4.264358e+02) ./ (av_BE_H_surf+2.140086e+00))); time,av_BE_H_surf
# 4;  2; Unitless;                                         11|0|div|exp:9.3997145944861e+00,0.0000000000000e+00,4.0161833531247e+00,5.2777458965311e+02; (exp(9.399715e+00*((av_mu_C_critical_surf+4.016183e+00) / (time+5.277746e+02)))); $\left(\exp{ \left(9.400e+00\left(\frac{ av_{mu, C, critical, surf} +4.016e+00 }{ time+5.278e+02 } \right) \right)}\right)$; exp(9.399715e+00.*((av_mu_C_critical_surf+4.016183e+00) ./ (time+5.277746e+02))); av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.132475069652561e-01,  7.660313335186942e+01,  1.831791657110823e+02,  1.934102897332008e+02,  4.229617929827877e-06,  9.993782054703406e-01
PdAg_1_9_100,  4.212956441336370e-01,  5.123316151962145e-01,  1.532062667037388e+02,  1.831791657110823e+02,  1.934102897332008e+02,  2.893358451687209e-06,  9.993933317568184e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.098404744542103e-01,  3.830156667593470e+02,  1.831791657110823e+02,  1.934102897332008e+02,  9.262016444262803e-07,  9.994345952626077e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.090873578301570e-01,  4.596188001112164e+02,  1.831791657110823e+02,  1.934102897332008e+02,  6.335875722884572e-07,  9.994471300393097e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.083690367238552e-01,  5.362219334630859e+02,  1.831791657110823e+02,  1.934102897332008e+02,  4.334188069888824e-07,  9.994591210891361e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.076834137894007e-01,  6.128250668149553e+02,  1.831791657110823e+02,  1.934102897332008e+02,  2.964891839231689e-07,  9.994706030393083e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.058038301930395e-01,  8.426344668705635e+02,  1.831791657110823e+02,  1.934102897332008e+02,  9.491004114755026e-08,  9.995022991000878e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.052307466251899e-01,  9.192376002224329e+02,  1.831791657110823e+02,  1.934102897332008e+02,  6.492519519734032e-08,  9.995120375315689e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.046818584021223e-01,  9.958407335743022e+02,  1.831791657110823e+02,  1.934102897332008e+02,  4.441343529563461e-08,  9.995214021763134e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.041558112328970e-01,  1.072443866926172e+03,  1.831791657110823e+02,  1.934102897332008e+02,  3.038193768634721e-08,  9.995304141494769e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.031672974046402e-01,  1.225650133629911e+03,  1.831791657110823e+02,  1.934102897332008e+02,  1.421731786514369e-08,  9.995474568783407e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.027025741778817e-01,  1.302253266981780e+03,  1.831791657110823e+02,  1.934102897332008e+02,  9.725653117588109e-09,  9.995555226107616e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.022561650739978e-01,  1.378856400333649e+03,  1.831791657110823e+02,  1.934102897332008e+02,  6.653036069169669e-09,  9.995633058647289e-01
PdAg_1_9_100,  5.368098128623250e-01,  5.018271264608988e-01,  1.455459533685519e+03,  1.831791657110823e+02,  1.934102897332008e+02,  4.551148226500766e-09,  9.995708212243201e-01
PdAg_1_9_100,  5.372121836650180e-01,  5.014145779997945e-01,  1.532062667037388e+03,  1.831791657110823e+02,  1.934102897332008e+02,  3.113307964098561e-09,  9.995780822866502e-01
PdAg_1_9_100,  5.370904880212340e-01,  5.006357165113039e-01,  1.685268933741127e+03,  1.831791657110823e+02,  1.934102897332008e+02,  1.456881697100021e-09,  9.995918914577143e-01
PdAg_1_9_100,  5.397703104721880e-01,  4.995722009539285e-01,  1.915078333796735e+03,  1.831791657110823e+02,  1.934102897332008e+02,  4.663667658605274e-10,  9.996109896502123e-01
PdAg_1_9_100,  5.449528999218350e-01,  4.989256476592304e-01,  2.068284600500474e+03,  1.831791657110823e+02,  1.934102897332008e+02,  2.182377115123146e-10,  9.996227587829188e-01
PdAg_1_9_100,  5.492079417796780e-01,  4.986194331486300e-01,  2.144887733852343e+03,  1.831791657110823e+02,  1.934102897332008e+02,  1.492900629695238e-10,  9.996283802809011e-01
