# c0 + a0 * ((av_delta_M1_M2_subsurf * time) / (av_W_change_H^3)) + a1 * ((av_delta_M1_M2_subsurf * std_dev) / sqrt(surface_area)) + a2 * (exp(2.540552e-03*((time+6.209429e+02) / (av_mu_C_critical_surf+4.051999e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.133577827759575; Max AE: 0.515183114890995
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  6.640226205351703e-07,  1.690212898953498e+01, -4.345300348521392e+00, -2.495685276326289e-02, 
# 3   ,  3.167795771867306e-06,  2.095428451095476e+01, -4.305391955926583e+00,  2.196200722351250e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-3 * min;                                      15|0|mult|17|cb|div; ((av_delta_M1_M2_subsurf * time) / (av_W_change_H^3)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf} time\right) }{ \left(av_{W, change, H}^3\right) } \right)$; ((av_delta_M1_M2_subsurf .* time) ./ (av_W_change_H).^3); av_delta_M1_M2_subsurf,time,av_W_change_H
# 1;  2; g^0.5 * m^-1 * nm;                                15|3|mult|4|sqrt|div; ((av_delta_M1_M2_subsurf * std_dev) / sqrt(surface_area)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf} std_{dev}\right) }{ \left(\sqrt{ surface_{area} }\right) } \right)$; ((av_delta_M1_M2_subsurf .* std_dev) ./ sqrt(surface_area)); av_delta_M1_M2_subsurf,std_dev,surface_area
# 2;  2; Unitless;                                         0|11|div|exp:2.5405523880415e-03,0.0000000000000e+00,6.2094285447594e+02,4.0519990317459e+00; (exp(2.540552e-03*((time+6.209429e+02) / (av_mu_C_critical_surf+4.051999e+00)))); $\left(\exp{ \left(2.541e-03\left(\frac{ time +6.209e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.540552e-03.*((time+6.209429e+02) ./ (av_mu_C_critical_surf+4.051999e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  4.212956441336370e-01,  4.054296585401964e-01,  1.786942209719354e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.060229435646178e-01,  2.680413314579031e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.072095136134606e-01,  4.467355524298385e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.078027986378819e-01,  5.360826629158062e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.089893686867247e-01,  7.147768838877416e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.095826537111460e-01,  8.041239943737093e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.107692237599888e-01,  9.828182153456446e+03,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.113625087844102e-01,  1.072165325831612e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.119557938088316e-01,  1.161512436317580e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.125490788332530e-01,  1.250859546803548e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.137356488820957e-01,  1.429553767775483e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  4.143289339065171e-01,  1.518900878261451e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  4.149222189309384e-01,  1.608247988747419e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  4.155155039553599e-01,  1.697595099233386e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  4.161087889797812e-01,  1.786942209719354e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  4.167020740042026e-01,  1.876289320205322e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.370904880212340e-01,  4.172953590286240e-01,  1.965636430691289e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  4.196684991263095e-01,  2.323024872635160e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.492079417796780e-01,  4.208550691751523e-01,  2.501719093607095e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_9_100,  5.513618316460450e-01,  4.220416392239950e-01,  2.680413314579031e+04,  2.539324729567249e-02,  0.000000000000000e+00
PdAg_1_5_100,  4.808701435604430e-01,  5.153089760497613e-01,  2.006670594364595e+03,  3.200569749848739e-02,  4.674184084325798e-04
PdAg_1_5_100,  5.154914790070170e-01,  5.162751221485051e-01,  3.010005891546893e+03,  3.200569749848739e-02,  3.983992978121860e-04
PdAg_1_5_100,  5.500936576470050e-01,  5.189330435922772e-01,  6.020011783093785e+03,  3.200569749848739e-02,  2.466929965285320e-04
PdAg_1_5_100,  5.645630120222940e-01,  5.197575660737443e-01,  7.023347080276084e+03,  3.200569749848739e-02,  2.102662514335428e-04
PdAg_1_5_100,  5.582907011266131e-01,  5.213399449488013e-01,  9.030017674640680e+03,  3.200569749848739e-02,  1.527548739930658e-04
PdAg_1_5_100,  5.565493546496050e-01,  5.221041940951826e-01,  1.003335297182298e+04,  3.200569749848739e-02,  1.301990538633318e-04
PdAg_1_5_100,  5.575686028510159e-01,  5.235914120516706e-01,  1.204002356618757e+04,  3.200569749848739e-02,  9.458740968326855e-05
PdAg_1_5_100,  5.602593885180470e-01,  5.243183393209182e-01,  1.304335886336987e+04,  3.200569749848739e-02,  8.062061082714753e-05
PdAg_1_5_100,  5.573180603724570e-01,  5.257466326450507e-01,  1.505002945773446e+04,  3.200569749848739e-02,  5.856950967729265e-05
PdAg_1_5_100,  5.640054092902220e-01,  5.271487179451166e-01,  1.705670005209906e+04,  3.200569749848739e-02,  4.254975779324357e-05
PdAg_1_5_100,  5.670953068021050e-01,  5.278422563968661e-01,  1.806003534928136e+04,  3.200569749848739e-02,  3.626685068684437e-05
PdAg_1_5_100,  5.641858757894110e-01,  5.292178346930594e-01,  2.006670594364595e+04,  3.200569749848739e-02,  2.634725339432422e-05
PdAg_1_5_100,  5.722223250453750e-01,  5.299009771633851e-01,  2.107004124082825e+04,  3.200569749848739e-02,  2.245681184610972e-05
PdAg_1_5_100,  5.681292230354840e-01,  5.305816234172576e-01,  2.207337653801055e+04,  3.200569749848739e-02,  1.914083379940515e-05
PdAg_1_5_100,  5.669074847793930e-01,  5.319368472168793e-01,  2.408004713237514e+04,  3.200569749848739e-02,  1.390549189523395e-05
PdAg_1_5_100,  5.726284043483260e-01,  5.332858487437133e-01,  2.608671772673974e+04,  3.200569749848739e-02,  1.010210458305248e-05
PdAg_1_5_100,  5.748142709268410e-01,  5.346303298946471e-01,  2.809338832110434e+04,  3.200569749848739e-02,  7.339008053494913e-06
PdAg_1_5_100,  5.815291194929140e-01,  5.353012761414386e-01,  2.909672361828663e+04,  3.200569749848739e-02,  6.255328421820347e-06
PdAg_1_5_100,  5.845225345839020e-01,  5.359715270689733e-01,  3.010005891546893e+04,  3.200569749848739e-02,  5.331665175949729e-06
PdAg_1_1_100, -9.717271086694580e-01, -7.589284004629374e-01,  1.996800000000000e+03,  3.004830893020799e-02,  2.860971076365655e-01
PdAg_1_1_100, -9.805113751193140e-01, -7.249354584662328e-01,  3.993600000000000e+03,  3.004830893020799e-02,  2.785793254332856e-01
PdAg_1_1_100, -9.654552652811350e-01, -6.918009087680664e-01,  5.990400000000000e+03,  3.004830893020799e-02,  2.712590882164715e-01
PdAg_1_1_100, -9.271610956676301e-01, -6.595021953684891e-01,  7.987200000000000e+03,  3.004830893020799e-02,  2.641312050906406e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.280173549722323e-01,  9.984000000000000e+03,  3.004830893020799e-02,  2.571906215616253e-01
PdAg_1_1_100, -7.530017323218090e-01, -5.973250014141906e-01,  1.198080000000000e+04,  3.004830893020799e-02,  2.504324159523514e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.382350052100446e-01,  1.597440000000000e+04,  3.004830893020799e-02,  2.374440950216748e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.029860917857605e-01,  2.595840000000000e+04,  3.004830893020799e-02,  2.078444583418703e-01
PdAg_1_1_100, -3.034303343562620e-01, -3.779281614292538e-01,  2.795520000000000e+04,  3.004830893020799e-02,  2.023829233306259e-01
PdAg_1_1_100, -2.964391635700440e-01, -3.534938378047704e-01,  2.995200000000000e+04,  3.004830893020799e-02,  1.970649012372482e-01
PdAg_1_1_100, -2.763484965311610e-01, -3.296667343796724e-01,  3.194880000000000e+04,  3.004830893020799e-02,  1.918866209685275e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.616712712250435e-01,  3.793920000000000e+04,  3.004830893020799e-02,  1.771539910203218e-01
PdAg_1_1_100, -2.107963275440860e-01, -2.401176271161304e-01,  3.993600000000000e+04,  3.004830893020799e-02,  1.724989103313398e-01
PdAg_1_1_100, -1.990275787567010e-01, -2.190955075053268e-01,  4.193280000000000e+04,  3.004830893020799e-02,  1.679661513360217e-01
PdAg_1_1_100, -1.875776586949730e-01, -1.985909455075935e-01,  4.392960000000000e+04,  3.004830893020799e-02,  1.635524997835865e-01
PdAg_1_1_100, -1.649059173329500e-01, -1.590804522085593e-01,  4.792320000000000e+04,  3.004830893020799e-02,  1.550700820896734e-01
PdAg_1_1_100, -1.405274874960350e-01, -1.214815804810488e-01,  5.191680000000000e+04,  3.004830893020799e-02,  1.470275929204189e-01
PdAg_1_1_100, -1.177762941936660e-01, -8.569518679216646e-02,  5.591040000000000e+04,  3.004830893020799e-02,  1.394022160088348e-01
PdAg_1_1_100, -1.127993153452220e-01, -6.845210024527867e-02,  5.790720000000000e+04,  3.004830893020799e-02,  1.357391398342225e-01
PdAg_1_1_100, -1.052140905390360e-01, -5.162726954728650e-02,  5.990400000000000e+04,  3.004830893020799e-02,  1.321723184211569e-01
PdAu_1_9_100, -9.100467303064901e-02, -1.186970099711637e-01, -9.197120991253640e+02,  3.425753389195155e-02,  1.546854418253394e-01
PdAu_1_9_100, -7.191156478202700e-02, -9.336664672777231e-02, -1.379568148688046e+03,  3.425753389195155e-02,  1.487857994516623e-01
PdAu_1_9_100, -1.007560701613500e-02, -4.560183860283187e-02, -2.299280247813410e+03,  3.425753389195155e-02,  1.376529630806158e-01
PdAu_1_9_100,  9.299946229292000e-03, -2.309423500542012e-02, -2.759136297376092e+03,  3.425753389195155e-02,  1.324029327980661e-01
PdAu_1_9_100,  5.806571622389000e-02,  1.934392461050273e-02, -3.678848396501456e+03,  3.425753389195155e-02,  1.224959376996098e-01
PdAu_1_9_100,  7.894321375694401e-02,  3.933958380805155e-02, -4.138704446064139e+03,  3.425753389195155e-02,  1.178239904489309e-01
PdAu_1_9_100,  9.683182273926901e-02,  5.856097025499190e-02, -4.598560495626821e+03,  3.425753389195155e-02,  1.133302294428167e-01
PdAu_1_9_100,  1.082976085838650e-01,  7.703761441181359e-02, -5.058416545189503e+03,  3.425753389195155e-02,  1.090078587274501e-01
PdAu_1_9_100,  1.313415091122350e-01,  1.118692092517698e-01, -5.978128644314867e+03,  3.425753389195155e-02,  1.008513904432231e-01
PdAu_1_9_100,  1.597320334915230e-01,  1.440488482073454e-01, -6.897840743440232e+03,  3.425753389195155e-02,  9.330522655033301e-02
PdAu_1_9_100,  1.699090731693030e-01,  1.592067874990261e-01, -7.357696793002912e+03,  3.425753389195155e-02,  8.974660162903336e-02
PdAu_1_9_100,  2.085112147402500e-01,  2.012311369509775e-01, -8.737264941690961e+03,  3.425753389195155e-02,  7.986456575920867e-02
PdAu_1_9_100,  2.228328257008080e-01,  2.265872180533504e-01, -9.656977040816324e+03,  3.425753389195155e-02,  7.388873240872280e-02
