# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((std_dev^3) * (|av_mu_C_critical_subsurf - av_mu_C_critical_surf|)) + a2 * ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time+3.243627e+01)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.120909456127706; Max AE: 0.493610527325551
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.136409331347745e-06,  5.602820123049989e-03, -2.305354899851456e+00,  7.490748927381787e-01, 
# 3   ,  1.972905981239632e-06,  7.215774231942034e-03, -2.162038220001647e+00,  8.783103778911431e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV * nm^3;                                        3|cb|12|11|abd|mult; ((std_dev^3) * (|av_mu_C_critical_subsurf - av_mu_C_critical_surf|)); $\left(\left(std_{dev}^3\right) \left(\left|av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right|\right)\right)$; ((std_dev).^3 .* abs(av_mu_C_critical_subsurf - av_mu_C_critical_surf)); std_dev,av_mu_C_critical_subsurf,av_mu_C_critical_surf
# 2;  2; eV;                                               18|12|sub|0|log:1.0000000000000e+00,3.2436267651638e+01|div; ((av_d_band_center_surf - av_mu_C_critical_subsurf) / (ln(1.0*time+3.243627e+01))); $\left(\frac{ \left(av_{d, band, center, surf} - av_{mu, C, critical, subsurf}\right) }{ \left(\ln{ \left(1.0time+3.244e+01 \right)}\right) } \right)$; ((av_d_band_center_surf - av_mu_C_critical_subsurf) ./ log(1.0*time+3.243627e+01)); av_d_band_center_surf,av_mu_C_critical_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 172                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.511354138412465e-01,  7.660313335186942e+01,  1.131300000000001e+01,  1.567703243816541e-01
PdAg_1_9_100,  4.212956441336370e-01,  4.740179755973807e-01,  1.532062667037388e+02,  1.131300000000001e+01,  1.468822549819918e-01
PdAg_1_9_100,  4.889175556194310e-01,  4.902623783044978e-01,  2.298094000556082e+02,  1.131300000000001e+01,  1.398736377002853e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.206246016297967e-01,  4.596188001112164e+02,  1.131300000000001e+01,  1.268166173774778e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.274985975182400e-01,  5.362219334630859e+02,  1.131300000000001e+01,  1.238726266828871e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.334225857074768e-01,  6.128250668149553e+02,  1.131300000000001e+01,  1.213407233850212e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.386074455527975e-01,  6.894282001668247e+02,  1.131300000000001e+01,  1.191294337783330e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.473197535532813e-01,  8.426344668705635e+02,  1.131300000000001e+01,  1.154257944948844e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.544282832952401e-01,  9.958407335743022e+02,  1.131300000000001e+01,  1.124178304233644e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.575341825218396e-01,  1.072443866926172e+03,  1.131300000000001e+01,  1.111083371599877e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.630516746486512e-01,  1.225650133629911e+03,  1.131300000000001e+01,  1.087905217572257e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.655221413370708e-01,  1.302253266981780e+03,  1.131300000000001e+01,  1.077566617762651e-01
PdAg_1_9_100,  5.368098128623250e-01,  5.699973540967851e-01,  1.455459533685519e+03,  1.131300000000001e+01,  1.058909586999672e-01
PdAg_1_9_100,  5.372121836650180e-01,  5.720360316741809e-01,  1.532062667037388e+03,  1.131300000000001e+01,  1.050443970438985e-01
PdAg_1_9_100,  5.374193757726820e-01,  5.739604987493705e-01,  1.608665800389258e+03,  1.131300000000001e+01,  1.042473767847807e-01
PdAg_1_9_100,  5.370904880212340e-01,  5.757821043001976e-01,  1.685268933741127e+03,  1.131300000000001e+01,  1.034949750459477e-01
