# c0 + a0 * (exp(1.235598e+02*((av_BE_H_surf+2.127538e+00) / (time+4.774152e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.217388545450542; Max AE: 0.699028009906989
# Coefficients
# Task   a0                      c0
# 2   ,  2.001606533195934e+01, -1.929747319552134e+01, 
# 3   ,  1.929834555192252e+01, -1.839395577580249e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         16|0|div|exp:1.2355982157729e+02,0.0000000000000e+00,2.1275375139136e+00,4.7741523780325e+02; (exp(1.235598e+02*((av_BE_H_surf+2.127538e+00) / (time+4.774152e+02)))); $\left(\exp{ \left(1.236e+02\left(\frac{ av_{BE, H, surf} +2.128e+00 }{ time+4.774e+02 } \right) \right)}\right)$; exp(1.235598e+02.*((av_BE_H_surf+2.127538e+00) ./ (time+4.774152e+02))); av_BE_H_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.557157082721533e-01,  9.918627150009455e-01
PdAg_1_9_100,  4.212956441336370e-01,  5.600575687894395e-01,  9.920796337831975e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.641739556665093e-01,  9.922852879319426e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.717970933629900e-01,  9.926661388919117e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.787029820303530e-01,  9.930111561844130e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.819178643848074e-01,  9.931717712853900e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.849883003628076e-01,  9.933251698643354e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.934241337583613e-01,  9.937466229948907e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.960042280170336e-01,  9.938755241658193e-01
PdAg_1_9_100,  5.337303696543760e-01,  6.031434766825906e-01,  9.942322000932383e-01
PdAg_1_9_100,  5.338785022320920e-01,  6.074582715481779e-01,  9.944477666790796e-01
PdAg_1_9_100,  5.374193757726820e-01,  6.133578358513299e-01,  9.947425081382680e-01
PdAg_1_9_100,  5.397703104721880e-01,  6.203139921004464e-01,  9.950900367925640e-01
PdAg_1_9_100,  5.406782826954460e-01,  6.219116758051203e-01,  9.951698568610029e-01
PdAg_1_9_100,  5.449528999218350e-01,  6.234582442714061e-01,  9.952471232188328e-01
PdAg_1_9_100,  5.492079417796780e-01,  6.249561118933373e-01,  9.953219564888631e-01
PdAg_1_9_100,  5.513618316460450e-01,  6.278146651097504e-01,  9.954647694328161e-01
PdAg_1_5_100,  2.374958845661730e-01,  2.909948742171335e-01,  9.786372968348515e-01
PdAg_1_5_100,  4.808701435604430e-01,  3.023190977699895e-01,  9.792030535590152e-01
PdAg_1_5_100,  5.154914790070170e-01,  3.130590094759484e-01,  9.797396181399076e-01
PdAg_1_5_100,  5.367991849441260e-01,  3.232586947703540e-01,  9.802491930800993e-01
