# c0 + a0 * ((ln(1.0*particle_diameter-2.999504e+00)) + (av_E_def_subsurf / av_W_change_H)) + a1 * (exp(1.094432e-03*((time+1.118550e+03) / (av_BE_H_surf+1.850070e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.160287154538943; Max AE: 0.632041713453298
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.204895002606473e-02, -1.105249340293865e+01,  5.391443848540772e-01, 
# 3   ,  5.365007858257314e-02, -1.075039143579945e+01,  7.260236516921060e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|log:1.0000000000000e+00,-2.9995042188587e+00|14|17|div|add; ((ln(1.0*particle_diameter-2.999504e+00)) + (av_E_def_subsurf / av_W_change_H)); $\left(\left(\ln{ \left(1.0particle_{diameter}-3.000e+00 \right)}\right) + \left(\frac{ av_{E, def, subsurf} }{ av_{W, change, H} } \right)\right)$; (log(1.0*particle_diameter-2.999504e+00) + (av_E_def_subsurf ./ av_W_change_H)); particle_diameter,av_E_def_subsurf,av_W_change_H
# 1;  2; Unitless;                                         0|16|div|exp:1.0944324547410e-03,0.0000000000000e+00,1.1185495006710e+03,1.8500696831817e+00; (exp(1.094432e-03*((time+1.118550e+03) / (av_BE_H_surf+1.850070e+00)))); $\left(\exp{ \left(1.094e-03\left(\frac{ time +1.119e+03 }{ av_{BE, H, surf}+1.850e+00 } \right) \right)}\right)$; exp(1.094432e-03.*((time+1.118550e+03) ./ (av_BE_H_surf+1.850070e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.665079840848413e-01,  3.098777535394564e+00,  1.836117291352348e-02
PdAg_1_9_100,  4.212956441336370e-01,  4.759553067378674e-01,  3.098777535394564e+00,  1.750640446367177e-02
PdAg_1_9_100,  4.889175556194310e-01,  4.849628277846779e-01,  3.098777535394564e+00,  1.669142808518187e-02
PdAg_1_9_100,  5.190263630918930e-01,  5.017394083381029e-01,  3.098777535394564e+00,  1.517352801125244e-02
PdAg_1_9_100,  5.224295719363120e-01,  5.169903451459859e-01,  3.098777535394564e+00,  1.379366409712172e-02
PdAg_1_9_100,  5.245052994310410e-01,  5.240875603351633e-01,  3.098777535394564e+00,  1.315152707605004e-02
PdAg_1_9_100,  5.250038067660980e-01,  5.308543785690870e-01,  3.098777535394564e+00,  1.253928348655154e-02
PdAg_1_9_100,  5.301609565427799e-01,  5.493227145476326e-01,  3.098777535394564e+00,  1.086831791297017e-02
PdAg_1_9_100,  5.311850747278510e-01,  5.549147595930704e-01,  3.098777535394564e+00,  1.036236465504278e-02
PdAg_1_9_100,  5.337303696543760e-01,  5.701768463133192e-01,  3.098777535394564e+00,  8.981491926705217e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.792041579387442e-01,  3.098777535394564e+00,  8.164724949669532e-03
PdAg_1_9_100,  5.374193757726820e-01,  5.912294769057038e-01,  3.098777535394564e+00,  7.076706298261676e-03
PdAg_1_9_100,  5.397703104721880e-01,  6.048082631348860e-01,  3.098777535394564e+00,  5.848134089788617e-03
PdAg_1_9_100,  5.406782826954460e-01,  6.078172871185175e-01,  3.098777535394564e+00,  5.575885659146592e-03
PdAg_1_9_100,  5.449528999218350e-01,  6.106862318829089e-01,  3.098777535394564e+00,  5.316311221071951e-03
PdAg_1_9_100,  5.492079417796780e-01,  6.134216185418069e-01,  3.098777535394564e+00,  5.068820762659131e-03
PdAg_1_9_100,  5.513618316460450e-01,  6.185162982421687e-01,  3.098777535394564e+00,  4.607867789006395e-03
PdAg_1_5_100,  2.374958845661730e-01,  3.073316313137546e-01,  3.166574145564060e+00,  3.302095357450632e-02
PdAg_1_5_100,  4.808701435604430e-01,  3.218778019878714e-01,  3.166574145564060e+00,  3.170485501250679e-02
PdAg_1_5_100,  5.154914790070170e-01,  3.358442136836896e-01,  3.166574145564060e+00,  3.044121149003205e-02
PdAg_1_5_100,  5.367991849441260e-01,  3.492539735460685e-01,  3.166574145564060e+00,  2.922793233450562e-02
