# c0 + a0 * ((surface_area / std_dev) / (|av_mu_C_critical_subsurf - av_mu_C_critical_surf|)) + a1 * ((av_BE_H_subsurf * av_mu_C_critical_subsurf) / (ln(1.0*time+1.590682e+02)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.162696429575364; Max AE: 0.659686418512039
# Coefficients
# Task   a0                      a1                      c0
# 2   , -4.911296081748343e-03, -1.268929945755519e+00,  2.234162664580920e+00, 
# 3   , -6.018874753870387e-03, -1.187873255641893e+00,  2.410438795749012e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g^-1 * m^2 * nm^-1;                       4|3|div|12|11|abd|div; ((surface_area / std_dev) / (|av_mu_C_critical_subsurf - av_mu_C_critical_surf|)); $\left(\frac{ \left(\frac{ surface_{area} }{ std_{dev} } \right) }{ \left(\left|av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right|\right) } \right)$; ((surface_area ./ std_dev) ./ abs(av_mu_C_critical_subsurf - av_mu_C_critical_surf)); surface_area,std_dev,av_mu_C_critical_subsurf,av_mu_C_critical_surf
# 1;  2; eV^2;                                             19|12|mult|0|log:1.0000000000000e+00,1.5906824935595e+02|div; ((av_BE_H_subsurf * av_mu_C_critical_subsurf) / (ln(1.0*time+1.590682e+02))); $\left(\frac{ \left(av_{BE, H, subsurf} av_{mu, C, critical, subsurf}\right) }{ \left(\ln{ \left(1.0time+1.591e+02 \right)}\right) } \right)$; ((av_BE_H_subsurf .* av_mu_C_critical_subsurf) ./ log(1.0*time+1.590682e+02)); av_BE_H_subsurf,av_mu_C_critical_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.716512943458780e-01,  5.807478122513915e+01,  1.243007094309299e+00
PdAg_1_9_100,  4.212956441336370e-01,  3.943837809534266e-01,  5.807478122513915e+01,  1.225092404311173e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.149431052787597e-01,  5.807478122513915e+01,  1.208890308683985e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.508359957022149e-01,  5.807478122513915e+01,  1.180604357561534e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.813052755257823e-01,  5.807478122513915e+01,  1.156592567213702e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.949299675103832e-01,  5.807478122513915e+01,  1.145855416569433e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.076501372527096e-01,  5.807478122513915e+01,  1.135831088760893e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.413213895000480e-01,  5.807478122513915e+01,  1.109295934192301e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.512951437207586e-01,  5.807478122513915e+01,  1.101435961895113e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.782399657711957e-01,  5.807478122513915e+01,  1.080201675368448e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.941293518151248e-01,  5.807478122513915e+01,  1.067679797311210e+00
PdAg_1_9_100,  5.374193757726820e-01,  6.154708414082615e-01,  5.807478122513915e+01,  1.050861304167028e+00
PdAg_1_9_100,  5.397703104721880e-01,  6.402009035363129e-01,  5.807478122513915e+01,  1.031372393679280e+00
PdAg_1_9_100,  5.406782826954460e-01,  6.458316444816709e-01,  5.807478122513915e+01,  1.026935000611056e+00
PdAg_1_9_100,  5.449528999218350e-01,  6.512689106644983e-01,  5.807478122513915e+01,  1.022650078341694e+00
