# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_mu_C_critical_surf / av_bulk_int_dist) / (ln(1.0*time+1.590682e+02))) + a2 * (ln(1.0*|av_d_band_center_surf - (4.830769e+00*av_BE_H_surf+1.014163e+01)|-5.193312e-02))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.132703406168524; Max AE: 0.590578351451967
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  8.431842312508450e-07,  7.180752809774221e+00,  2.745141546397666e-01,  1.992004315723101e+00, 
# 3   ,  1.655431622535455e-06,  6.312118659346300e+00,  2.827123016816968e-01,  1.914450206394364e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A^-1 * eV;                                        11|8|div|0|log:1.0000000000000e+00,1.5906824935595e+02|div; ((av_mu_C_critical_surf / av_bulk_int_dist) / (ln(1.0*time+1.590682e+02))); $\left(\frac{ \left(\frac{ av_{mu, C, critical, surf} }{ av_{bulk, int, dist} } \right) }{ \left(\ln{ \left(1.0time+1.591e+02 \right)}\right) } \right)$; ((av_mu_C_critical_surf ./ av_bulk_int_dist) ./ log(1.0*time+1.590682e+02)); av_mu_C_critical_surf,av_bulk_int_dist,time
# 2;  2; Unitless;                                         18|16|abd|log:1.0000000000000e+00,-5.1933117522457e-02,4.8307693339834e+00,1.0141634721512e+01; (ln(1.0*|av_d_band_center_surf - (4.830769e+00*av_BE_H_surf+1.014163e+01)|-5.193312e-02)); $\left(\ln{ \left(1.0\left(\left|av_{d, band, center, surf} - \left(4.831e+00av_{BE, H, surf}+1.014e+01\right)\right|\right)-5.193e-02 \right)}\right)$; log(1.0*abs(av_d_band_center_surf - (4.830769e+00.*av_BE_H_surf+1.014163e+01))-5.193312e-02); av_d_band_center_surf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.734524617198474e-01,  7.660313335186942e+01, -2.735880271825361e-01,  1.260232102815241e+00
PdAg_1_9_100,  4.212956441336370e-01,  4.018311518235123e-01,  1.532062667037388e+02, -2.696449727006971e-01,  1.260232102815241e+00
PdAg_1_9_100,  4.889175556194310e-01,  4.275030930238010e-01,  2.298094000556082e+02, -2.660788632238013e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.723381125260254e-01,  3.830156667593470e+02, -2.598530760983681e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.104178371458913e-01,  5.362219334630859e+02, -2.545680392064150e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.274524535420438e-01,  6.128250668149553e+02, -2.522047736419818e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.433604561517372e-01,  6.894282001668247e+02, -2.499984016256633e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.854929388995768e-01,  9.192376002224329e+02, -2.441579678721947e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.979801858380603e-01,  9.958407335743022e+02, -2.424279742749402e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.337303696543760e-01,  6.317346667642701e-01,  1.225650133629911e+03, -2.377542708133466e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.338785022320920e-01,  6.516546286170667e-01,  1.378856400333649e+03, -2.349981836357398e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.374193757726820e-01,  6.784299648617353e-01,  1.608665800389258e+03, -2.312964039913874e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.397703104721880e-01,  7.094904761368529e-01,  1.915078333796735e+03, -2.270068608369755e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.406782826954460e-01,  7.165683495938383e-01,  1.991681467148604e+03, -2.260301828912687e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.449528999218350e-01,  7.234052435319007e-01,  2.068284600500474e+03, -2.250870640340456e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.492079417796780e-01,  7.300155648597118e-01,  2.144887733852343e+03, -2.241754979424243e-01,  1.260232102815241e+00
PdAg_1_9_100,  5.513618316460450e-01,  7.426082210170478e-01,  2.298094000556082e+03, -2.224398198903742e-01,  1.260232102815241e+00
