# c0 + a0 * ((total_metal_loading / av_E_b_C_subsurf) * (av_d_band_center_surf + av_IP)) + a1 * ((av_PE * total_metal_loading) + (av_delta_M1_M2_subsurf^2)) + a2 * ((time / std_dev) * (av_BE_H_subsurf^6)) + a3 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a4 * (exp(2.691072e-03*((time+6.084197e+02) / (av_mu_C_critical_surf+4.051876e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.101835189315712; Max AE: 0.57386748361968
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  9.260869517076156e+02, -4.462355510851781e+02, -2.858146615682099e-05,  1.204922696451627e-06, -4.568244479261307e+00,  4.528884033127574e+00, 
# 3   ,  9.533829209308716e+02, -3.973479099388931e+02, -7.196998137443002e-06,  1.744656663705359e-06, -4.453827902426301e+00,  2.849416534420076e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|13|div|18|5|add|mult; ((total_metal_loading / av_E_b_C_subsurf) * (av_d_band_center_surf + av_IP)); $\left(\left(\frac{ total_{metal, loading} }{ av_{E, b, C, subsurf} } \right) \left(av_{d, band, center, surf} + av_{IP}\right)\right)$; ((total_metal_loading ./ av_E_b_C_subsurf) .* (av_d_band_center_surf + av_IP)); total_metal_loading,av_E_b_C_subsurf,av_d_band_center_surf,av_IP
# 1;  2; Unitless;                                         7|1|mult|15|sq|add; ((av_PE * total_metal_loading) + (av_delta_M1_M2_subsurf^2)); $\left(\left(av_{PE} total_{metal, loading}\right) + \left(av_{delta, M1, M2, subsurf}^2\right)\right)$; ((av_PE .* total_metal_loading) + (av_delta_M1_M2_subsurf).^2); av_PE,total_metal_loading,av_delta_M1_M2_subsurf
# 2;  2; eV^6 * min * nm^-1;                               0|3|div|19|sp|mult; ((time / std_dev) * (av_BE_H_subsurf^6)); $\left(\left(\frac{ time }{ std_{dev} } \right) \left(av_{BE, H, subsurf}^6\right)\right)$; ((time ./ std_dev) .* (av_BE_H_subsurf).^6); time,std_dev,av_BE_H_subsurf
# 3;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 4;  2; Unitless;                                         0|11|div|exp:2.6910724354891e-03,0.0000000000000e+00,6.0841970132543e+02,4.0518757983835e+00; (exp(2.691072e-03*((time+6.084197e+02) / (av_mu_C_critical_surf+4.051876e+00)))); $\left(\exp{ \left(2.691e-03\left(\frac{ time +6.084e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.691072e-03.*((time+6.084197e+02) ./ (av_mu_C_critical_surf+4.051876e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  6.116547068998438e-01,  1.026725892666239e-02,  3.008408240000000e-02,  3.880347513707416e+01,  7.660313335186942e+01,  0.000000000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  6.106379475424414e-01,  1.026725892666239e-02,  3.008408240000000e-02,  7.760695027414832e+01,  1.532062667037388e+02,  0.000000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  6.096211881850391e-01,  1.026725892666239e-02,  3.008408240000000e-02,  1.164104254112225e+02,  2.298094000556082e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  6.075876694702343e-01,  1.026725892666239e-02,  3.008408240000000e-02,  1.940173756853708e+02,  3.830156667593470e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  6.055541507554297e-01,  1.026725892666239e-02,  3.008408240000000e-02,  2.716243259595191e+02,  5.362219334630859e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  6.045373913980273e-01,  1.026725892666239e-02,  3.008408240000000e-02,  3.104278010965933e+02,  6.128250668149553e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  6.035206320406250e-01,  1.026725892666239e-02,  3.008408240000000e-02,  3.492312762336674e+02,  6.894282001668247e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  6.004703539684179e-01,  1.026725892666239e-02,  3.008408240000000e-02,  4.656417016448899e+02,  9.192376002224329e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.994535946110155e-01,  1.026725892666239e-02,  3.008408240000000e-02,  5.044451767819641e+02,  9.958407335743022e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.964033165388084e-01,  1.026725892666239e-02,  3.008408240000000e-02,  6.208556021931865e+02,  1.225650133629911e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.943697978240038e-01,  1.026725892666239e-02,  3.008408240000000e-02,  6.984625524673348e+02,  1.378856400333649e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.913195197517968e-01,  1.026725892666239e-02,  3.008408240000000e-02,  8.148729778785573e+02,  1.608665800389258e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.397703104721880e-01,  5.872524823221873e-01,  1.026725892666239e-02,  3.008408240000000e-02,  9.700868784268540e+02,  1.915078333796735e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  5.862357229647850e-01,  1.026725892666239e-02,  3.008408240000000e-02,  1.008890353563928e+03,  1.991681467148604e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.449528999218350e-01,  5.852189636073826e-01,  1.026725892666239e-02,  3.008408240000000e-02,  1.047693828701002e+03,  2.068284600500474e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.492079417796780e-01,  5.842022042499803e-01,  1.026725892666239e-02,  3.008408240000000e-02,  1.086497303838077e+03,  2.144887733852343e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.513618316460450e-01,  5.821686855351756e-01,  1.026725892666239e-02,  3.008408240000000e-02,  1.164104254112225e+03,  2.298094000556082e+03,  0.000000000000000e+00
