# c0 + a0 * (time / std_dev) + a1 * (1.0 / particle_diameter) + a2 * (av_mu_C_critical_subsurf * av_EA) + a3 * (exp(-1.0 * av_delta_M1_M2_subsurf)) + a4 * (|av_BE_H_surf - av_EA|)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00766021560574476; Max AE: 0.0492604850927218
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  7.732678682983421e-05, -5.762199814833522e-01, -1.366139892279492e-01, -4.360447829013316e+00, -6.317913724466915e-01,  5.613122109659624e+00, 
# 3   ,  7.105411522233661e-05, -5.301309966466713e-01, -9.178694496609481e-02, -3.823380358208084e+00, -4.118248575265998e-01,  4.608014003383110e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm^-1;                                      0|3|div; (time / std_dev); $\left(\frac{ time }{ std_{dev} } \right)$; (time ./ std_dev); time,std_dev
# 1;  1; nm^-1;                                            2|inv; (1.0 / particle_diameter); $\left(\frac{1.0}{ particle_{diameter} }\right)$; (particle_diameter).^(-1); particle_diameter
# 2;  1; eV^2;                                             12|6|mult; (av_mu_C_critical_subsurf * av_EA); $\left(av_{mu, C, critical, subsurf} av_{EA}\right)$; (av_mu_C_critical_subsurf .* av_EA); av_mu_C_critical_subsurf,av_EA
# 3;  1; Unitless;                                         15|nexp; (exp(-1.0 * av_delta_M1_M2_subsurf)); $\left(\exp{ \left(-av_{delta, M1, M2, subsurf} \right) } \right)$; exp(-1.0 * (av_delta_M1_M2_subsurf)); av_delta_M1_M2_subsurf
# 4;  1; eV;                                               16|6|abd; (|av_BE_H_surf - av_EA|); $\left(\left|av_{BE, H, surf} - av_{EA}\right|\right)$; abs(av_BE_H_surf - av_EA); av_BE_H_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  7.071704931436729e-02,  4.500000000000000e+00,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.236301709318101e-02,  7.141299039583549e-02,  1.350000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.106406789827700e-02,  7.176096093657003e-02,  1.800000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.245690201803823e-02,  2.700000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.280487255877277e-02,  3.150000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.384878418097551e-02,  4.500000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.419675472170917e-02,  4.950000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.489269580317826e-02,  5.850000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.628457796611465e-02,  7.650000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.732848958831740e-02,  9.000000000000000e+01,  1.666666666666667e-01, -5.498435800000000e+00,  9.302331735626465e-01,  3.389800000000000e+00
