# c0 + a0 * ((ln(1.0*time-2.098546e+00)) / (av_BE_H_surf * surface_area)) + a1 * ((av_E_def_subsurf / av_B_0) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.0088366346450543; Max AE: 0.0634604526581817
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -6.003621435514023e-01, -2.036818728479722e-01, -5.264584174763023e-01,  1.822210927519084e+00, 
# 3   , -1.175195750288395e+00, -1.450785001504836e-01, -4.931067132203321e-01,  1.695163219835243e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-2.0985459605508e+00|16|4|mult|div; ((ln(1.0*time-2.098546e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-2.099e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-2.098546e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 1;  2; Gpa^-1;                                           14|10|div|18|16|sub|div; ((av_E_def_subsurf / av_B_0) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ av_{E, def, subsurf} }{ av_{B, 0} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_def_subsurf ./ av_B_0) ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_def_subsurf,av_B_0,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A;                                                8|6|div|14|6|add|mult; ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA)); $\left(\left(\frac{ av_{bulk, int, dist} }{ av_{EA} } \right) \left(av_{E, def, subsurf} + av_{EA}\right)\right)$; ((av_bulk_int_dist ./ av_EA) .* (av_E_def_subsurf + av_EA)); av_bulk_int_dist,av_EA,av_E_def_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.435786821678259e-02, -1.543468350194755e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.898148838780073e-02, -2.313606877528827e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.106406789827700e-02,  7.012849488933005e-02, -2.504659313770774e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.172326528018504e-02, -2.770294049069239e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.232462901081362e-02, -2.870460879554476e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.370851245547495e-02, -3.100968991953952e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.407686488824895e-02, -3.162324031862849e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.472130581354776e-02, -3.269666064038074e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.575354005549552e-02, -3.441601328950292e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.637759315855654e-02, -3.545547440437196e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.656478030182846e-02, -3.576726478836353e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.674319437095679e-02, -3.606444220210399e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.691362103234724e-02, -3.634831529973533e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.707674492049622e-02, -3.662002445045558e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.723316625109312e-02, -3.688056941032199e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.907950298867700e-02,  7.738341415382667e-02, -3.713083153018973e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.752795747269782e-02, -3.737159174537615e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.992160875437500e-02,  7.766721359001662e-02, -3.760354527345009e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  8.016373252178199e-02,  7.780155569277127e-02, -3.782731371754250e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_9_100,  8.064863733312801e-02,  7.793131880009598e-02, -3.804345510606698e-02, -1.116652090562436e-03,  3.357049373881932e+00
PdAg_1_5_100,  5.737490641647600e-02,  6.195788089899764e-02, -1.409720166002719e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.467448239704007e-02, -1.862213969488149e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.722845790158835e-02, -2.287619790288324e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.803245661521004e-02, -2.421538746081505e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  6.783442568252800e-02,  6.868503456533967e-02, -2.530236131008100e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.923428753710467e-02, -2.621723073958240e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.059051849144300e-02,  6.970850640253209e-02, -2.700711876053940e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.195603596803600e-02,  7.012574973212424e-02, -2.770210483531739e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.342513693604499e-02,  7.083468462441930e-02, -2.888295026321448e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.479978112520599e-02,  7.142328196629330e-02, -2.986335408813278e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.215323791229253e-02, -3.107921347207281e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.625246816708101e-02,  7.236606866271553e-02, -3.143371742057941e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.775128482761400e-02,  7.310701144562656e-02, -3.266787715378342e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.782656960335800e-02,  7.326996516678128e-02, -3.293930286392358e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  7.827570721293500e-02,  7.342562362350100e-02, -3.319857713428102e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  8.073321891950801e-02,  7.398672516378410e-02, -3.413318226605028e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  8.118700916977900e-02,  7.411391413840648e-02, -3.434503602130225e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_5_100,  8.232400549504200e-02,  7.423661491900377e-02, -3.454941396537368e-02, -1.186868564034965e-03,  3.360110044243619e+00
PdAg_1_1_100,  3.009804408552100e-02,  4.373658992799252e-02, -1.422242224513260e-02, -2.779708130646282e-03,  3.395480171489818e+00
