# c0 + a0 * ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time)) + a1 * ((ln(1.0*time-3.349771e-01)) / (av_mu_C_critical_surf * surface_area)) + a2 * ((ln(1.0*av_EA-8.307865e-01)) / (av_d_band_center_surf - av_BE_H_surf)) + a3 * ((std_dev + particle_diameter) * (av_E_def_subsurf / av_bulk_int_dist)) + a4 * (exp(1.745963e+00*((av_EA-9.133481e-01) / (av_d_band_center_surf+1.886091e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00624363775181104; Max AE: 0.0478899273106007
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -2.277434397736285e-02, -2.273142131138900e+00,  4.976246144032338e-04, -1.910439911378803e-02, -1.070333276024426e-01,  1.322149350277954e-01, 
# 3   , -6.891620606112009e-02, -3.215681132679461e+00,  2.624926356944253e-04,  5.052820775287622e-02, -1.041709378919884e-01,  6.605313817491876e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1;                                      11|log:1.0000000000000e+00,6.0100000001000e+00|6|0|div|mult; ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time)); $\left(\left(\ln{ \left(1.0av_{mu, C, critical, surf}+6.010e+00 \right)}\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; (log(1.0*av_mu_C_critical_surf+6.010000e+00) .* (av_EA ./ time)); av_mu_C_critical_surf,av_EA,time
# 1;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-3.3497709592374e-01|11|4|mult|div; ((ln(1.0*time-3.349771e-01)) / (av_mu_C_critical_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-3.350e-01 \right)}\right) }{ \left(av_{mu, C, critical, surf} surface_{area}\right) } \right)$; (log(1.0*time-3.349771e-01) ./ (av_mu_C_critical_surf .* surface_area)); time,av_mu_C_critical_surf,surface_area
# 2;  2; eV^-1;                                            6|log:1.0000000000000e+00,-8.3078651583384e-01|18|16|sub|div; ((ln(1.0*av_EA-8.307865e-01)) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\ln{ \left(1.0av_{EA}-8.308e-01 \right)}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; (log(1.0*av_EA-8.307865e-01) ./ (av_d_band_center_surf - av_BE_H_surf)); av_EA,av_d_band_center_surf,av_BE_H_surf
# 3;  2; A^-1 * eV * nm;                                   3|2|add|14|8|div|mult; ((std_dev + particle_diameter) * (av_E_def_subsurf / av_bulk_int_dist)); $\left(\left(std_{dev} + particle_{diameter}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{bulk, int, dist} } \right)\right)$; ((std_dev + particle_diameter) .* (av_E_def_subsurf ./ av_bulk_int_dist)); std_dev,particle_diameter,av_E_def_subsurf,av_bulk_int_dist
# 4;  2; Unitless;                                         6|18|div|exp:1.7459626039883e+00,0.0000000000000e+00,-9.1334809643161e-01,1.8860914224270e+00; (exp(1.745963e+00*((av_EA-9.133481e-01) / (av_d_band_center_surf+1.886091e+00)))); $\left(\exp{ \left(1.746e+00\left(\frac{ av_{EA} -9.133e-01 }{ av_{d, band, center, surf}+1.886e+00 } \right) \right)}\right)$; exp(1.745963e+00.*((av_EA-9.133481e-01) ./ (av_d_band_center_surf+1.886091e+00))); av_EA,av_d_band_center_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 175                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.755107392108229e-02,  6.120974626720144e-02, -8.713990495872423e-03,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.460314808079400e-02,  6.367194999206439e-02,  3.060487313360072e-02, -1.110005782028405e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.106406789827700e-02,  6.939529061209175e-02,  1.530243656680036e-02, -1.346455478346793e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.232835059269099e-02,  7.264336186502539e-02,  1.020162437786691e-02, -1.484234087025776e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.403354012486200e-02,  7.386573208460605e-02,  8.744249466743063e-03, -1.536548434015374e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.484064918597000e-02,  7.492020771116510e-02,  7.651218283400180e-03, -1.581841798838795e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.655976498278901e-02,  7.742151186814618e-02,  5.564522387927403e-03, -1.689788459686262e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.690934710656100e-02,  7.872746334903104e-02,  4.708442020553956e-03, -1.746382140939334e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.687620918890400e-02,  7.984342586791100e-02,  4.080649751146762e-03, -1.794846552675796e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.677065317745700e-02,  8.081771473363196e-02,  3.600573309835378e-03, -1.837226456092942e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.681367034897300e-02,  8.126214708932268e-02,  3.400541459288969e-03, -1.856577501304513e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.735004744771500e-02,  8.208063005475826e-02,  3.060487313360072e-03, -1.892243482953406e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.746072776044501e-02,  8.245934783513199e-02,  2.914749822247687e-03, -1.908758011432656e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.767667904030801e-02,  8.282027682747937e-02,  2.782261193963702e-03, -1.924503249966176e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.765536965325100e-02,  8.316501331691849e-02,  2.661293315965280e-03, -1.939547690905028e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.857665605556700e-02,  8.381129952603646e-02,  2.448389850688057e-03, -1.967765788822397e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.907950298867700e-02,  8.411514234018998e-02,  2.354221010276978e-03, -1.981038086073731e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  7.992160875437500e-02,  8.468900359117516e-02,  2.186062366685766e-03, -2.006114896730866e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
PdAg_1_9_100,  8.016373252178199e-02,  8.496062623823920e-02,  2.110680905765567e-03, -2.017988588219234e-02,  5.369725702867655e-01,  6.447798567155874e-01,  7.570265175996230e-01
