# c0 + a0 * ((total_metal_loading / av_B_0) * (av_E_b_C_subsurf * av_EA)) + a1 * ((av_d_band_center_surf / std_dev) / cbrt(time)) + a2 * (exp(5.158673e+01*|av_delta_M1_M2_subsurf - (1.545604e-01*av_PE-2.506981e-01)|))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00879816493485925; Max AE: 0.0588722490676987
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.453927259601833e+02,  9.408844062877110e-02,  1.217183521302064e-02, -3.695120015357664e-02, 
# 3   ,  7.956611744518601e+01,  1.080235640008538e-01,  1.143071312638686e-02,  9.961295902466057e-03, 
# Feature Rung, Units, and Expressions
# 0;  2; Gpa^-1 * eV^2;                                    1|10|div|13|6|mult|mult; ((total_metal_loading / av_B_0) * (av_E_b_C_subsurf * av_EA)); $\left(\left(\frac{ total_{metal, loading} }{ av_{B, 0} } \right) \left(av_{E, b, C, subsurf} av_{EA}\right)\right)$; ((total_metal_loading ./ av_B_0) .* (av_E_b_C_subsurf .* av_EA)); total_metal_loading,av_B_0,av_E_b_C_subsurf,av_EA
# 1;  2; eV * min^-0.333333 * nm^-1;                       18|3|div|0|cbrt|div; ((av_d_band_center_surf / std_dev) / cbrt(time)); $\left(\frac{ \left(\frac{ av_{d, band, center, surf} }{ std_{dev} } \right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((av_d_band_center_surf ./ std_dev) ./ nthroot(time, 3)); av_d_band_center_surf,std_dev,time
# 2;  2; Unitless;                                         15|7|abd|exp:5.1586727665197e+01,0.0000000000000e+00,1.5456040924781e-01,-2.5069809092498e-01; (exp(5.158673e+01*|av_delta_M1_M2_subsurf - (1.545604e-01*av_PE-2.506981e-01)|)); $\left(\exp{ \left(5.159e+01\left(\left|av_{delta, M1, M2, subsurf} - \left(1.546e-01av_{PE}-2.507e-01\right)\right|\right) \right)}\right)$; exp(5.158673e+01.*abs(av_delta_M1_M2_subsurf - (1.545604e-01.*av_PE-2.506981e-01))); av_delta_M1_M2_subsurf,av_PE
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  7.460314808079400e-02,  5.620738188534111e-02,  6.774952459654980e-04, -4.301111111111111e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.132338879277482e-02,  6.774952459654980e-04, -3.757366643326903e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.455600879544440e-02,  6.774952459654980e-04, -3.413794151204944e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.232835059269099e-02,  6.861658616881285e-02,  6.774952459654980e-04, -2.982223881123674e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.118231836523840e-02,  6.774952459654980e-04, -2.709530213412807e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.300975276711794e-02,  6.774952459654980e-04, -2.515305036582667e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.374980853694087e-02,  6.774952459654980e-04, -2.436649702848011e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.499154531742111e-02,  6.774952459654980e-04, -2.304674215510565e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.600161175634908e-02,  6.774952459654980e-04, -2.197321342811440e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.684641765489691e-02,  6.774952459654980e-04, -2.107532853077505e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.722064786447816e-02,  6.774952459654980e-04, -2.067758550614806e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.789205940209060e-02,  6.774952459654980e-04, -1.996398930546119e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.819507700652996e-02,  6.774952459654980e-04, -1.964193316082283e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.847944205585662e-02,  6.774952459654980e-04, -1.933970150789467e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.874707539705958e-02,  6.774952459654980e-04, -1.905525281322568e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.899962720983424e-02,  6.774952459654980e-04, -1.878683321663452e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.923852458173523e-02,  6.774952459654980e-04, -1.853292596691872e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.968016745245682e-02,  6.774952459654980e-04, -1.806353475608538e-01,  2.885693449654006e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.008021569358041e-02,  6.774952459654980e-04, -1.763835155775607e-01,  2.885693449654006e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.026669945551361e-02,  6.774952459654980e-04, -1.744015105545528e-01,  2.885693449654006e+00
PdAg_1_5_100,  5.737490641647600e-02,  5.489264748803423e-02,  6.921626744753532e-04, -3.904005364327027e-01,  2.295513108446287e+00
PdAg_1_5_100,  6.603272598831700e-02,  7.014371735377486e-02,  6.921626744753532e-04, -2.283076187074082e-01,  2.295513108446287e+00
PdAg_1_5_100,  6.783442568252800e-02,  7.141032877533962e-02,  6.921626744753532e-04, -2.148456948717034e-01,  2.295513108446287e+00
PdAg_1_5_100,  6.978509288779200e-02,  7.242278695651899e-02,  6.921626744753532e-04, -2.040849874520315e-01,  2.295513108446287e+00
PdAg_1_5_100,  7.059051849144300e-02,  7.325873633482859e-02,  6.921626744753532e-04, -1.952002682163513e-01,  2.295513108446287e+00
PdAg_1_5_100,  7.236155798974900e-02,  7.457525859993877e-02,  6.921626744753532e-04, -1.812078770542472e-01,  2.295513108446287e+00
PdAg_1_5_100,  7.342513693604499e-02,  7.510841037676484e-02,  6.921626744753532e-04, -1.755413810079407e-01,  2.295513108446287e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.704765080365156e-02,  6.921626744753532e-04, -1.549305555555554e-01,  2.295513108446287e+00
PdAg_1_5_100,  7.652448575173899e-02,  7.785921470421153e-02,  6.921626744753532e-04, -1.463050124480655e-01,  2.295513108446287e+00
