# c0 + a0 * ((ln(-1.0*av_E_b_C_subsurf+6.925000e+00)) * (av_delta_M1_M2_subsurf / time)) + a1 * (|(ln(1.0*av_B_0+2.047927e+01)) - (av_E_b_C_subsurf / av_EA)|) + a2 * ((exp(1.516512e+00*av_E_b_C_subsurf)) / (av_E_b_C_subsurf + av_mu_C_critical_surf)) + a3 * ((av_mu_C_critical_surf / std_dev) / sqrt(time)) + a4 * (exp(5.158673e+01*|av_delta_M1_M2_subsurf - (1.545604e-01*av_PE-2.506981e-01)|))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00586916802045275; Max AE: 0.0441320531320967
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -4.445769015614119e-01, -2.981800565803226e-03, -6.518360573601663e-07,  7.901348930545649e-02,  1.379132090924715e-02,  5.124987734052076e-02, 
# 3   , -7.473845985079574e-01,  9.579340370330404e-03, -8.681395532950522e-07,  9.534753200633191e-02,  1.332633489076103e-02,  4.348235596833904e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           13|log:-1.0000000000000e+00,6.9250000001000e+00|15|0|div|mult; ((ln(-1.0*av_E_b_C_subsurf+6.925000e+00)) * (av_delta_M1_M2_subsurf / time)); $\left(\left(\ln{ \left(-1.0av_{E, b, C, subsurf}+6.925e+00 \right)}\right) \left(\frac{ av_{delta, M1, M2, subsurf} }{ time } \right)\right)$; (log(-1.0*av_E_b_C_subsurf+6.925000e+00) .* (av_delta_M1_M2_subsurf ./ time)); av_E_b_C_subsurf,av_delta_M1_M2_subsurf,time
# 1;  2; Unitless;                                         10|log:1.0000000000000e+00,2.0479273193494e+01|13|6|div|abd; (|(ln(1.0*av_B_0+2.047927e+01)) - (av_E_b_C_subsurf / av_EA)|); $\left(\left|\left(\ln{ \left(1.0av_{B, 0}+2.048e+01 \right)}\right) - \left(\frac{ av_{E, b, C, subsurf} }{ av_{EA} } \right)\right|\right)$; abs(log(1.0*av_B_0+2.047927e+01) - (av_E_b_C_subsurf ./ av_EA)); av_B_0,av_E_b_C_subsurf,av_EA
# 2;  2; eV^-1;                                            13|exp:1.5165124314653e+00,0.0000000000000e+00|13|11|add|div; ((exp(1.516512e+00*av_E_b_C_subsurf)) / (av_E_b_C_subsurf + av_mu_C_critical_surf)); $\left(\frac{ \left(\exp{ \left(1.517e+00av_{E, b, C, subsurf} \right)}\right) }{ \left(av_{E, b, C, subsurf} + av_{mu, C, critical, surf}\right) } \right)$; (exp(1.516512e+00.*av_E_b_C_subsurf) ./ (av_E_b_C_subsurf + av_mu_C_critical_surf)); av_E_b_C_subsurf,av_E_b_C_subsurf,av_mu_C_critical_surf
# 3;  2; eV * min^-0.5 * nm^-1;                            11|3|div|0|sqrt|div; ((av_mu_C_critical_surf / std_dev) / sqrt(time)); $\left(\frac{ \left(\frac{ av_{mu, C, critical, surf} }{ std_{dev} } \right) }{ \left(\sqrt{ time }\right) } \right)$; ((av_mu_C_critical_surf ./ std_dev) ./ sqrt(time)); av_mu_C_critical_surf,std_dev,time
# 4;  2; Unitless;                                         15|7|abd|exp:5.1586727665197e+01,0.0000000000000e+00,1.5456040924781e-01,-2.5069809092498e-01; (exp(5.158673e+01*|av_delta_M1_M2_subsurf - (1.545604e-01*av_PE-2.506981e-01)|)); $\left(\exp{ \left(5.159e+01\left(\left|av_{delta, M1, M2, subsurf} - \left(1.546e-01av_{PE}-2.507e-01\right)\right|\right) \right)}\right)$; exp(5.158673e+01.*abs(av_delta_M1_M2_subsurf - (1.545604e-01.*av_PE-2.506981e-01))); av_delta_M1_M2_subsurf,av_PE
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.515471501371625e-02,  2.169709637323376e-03,  1.051308198998252e+00,  1.925098224643283e+03, -2.599359211951515e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.924512399651289e-02,  1.446473091548918e-03,  1.051308198998252e+00,  1.925098224643283e+03, -2.122367909161400e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.106406789827700e-02,  7.165258741813778e-02,  1.084854818661688e-03,  1.051308198998252e+00,  1.925098224643283e+03, -1.838024525510636e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.447835142152798e-02,  7.232365457744588e-04,  1.051308198998252e+00,  1.925098224643283e+03, -1.500740740740741e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.614738916933167e-02,  5.424274093308441e-04,  1.051308198998252e+00,  1.925098224643283e+03, -1.299679605975757e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.727976992834316e-02,  4.339419274646753e-04,  1.051308198998252e+00,  1.925098224643283e+03, -1.162468779172774e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.772475760349914e-02,  3.944926613315229e-04,  1.051308198998252e+00,  1.925098224643283e+03, -1.108370492107236e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.845352093328133e-02,  3.338014826651349e-04,  1.051308198998252e+00,  1.925098224643283e+03, -1.019552564967534e-01,  2.885693449654006e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.902956879546714e-02,  2.892946183097835e-04,  1.051308198998252e+00,  1.925098224643283e+03, -9.491517836297979e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.949965103163835e-02,  2.552599573321619e-04,  1.051308198998252e+00,  1.925098224643283e+03, -8.915728542536631e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.970443580033135e-02,  2.410788485914863e-04,  1.051308198998252e+00,  1.925098224643283e+03, -8.664530706505048e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.735004744771500e-02,  8.006647534771773e-02,  2.169709637323377e-04,  1.051308198998252e+00,  1.925098224643283e+03, -8.219895566707158e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.746072776044501e-02,  8.022759353447741e-02,  2.066390130784168e-04,  1.051308198998252e+00,  1.925098224643283e+03, -8.021796683178840e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.767667904030801e-02,  8.037749686348288e-02,  1.972463306657615e-04,  1.051308198998252e+00,  1.925098224643283e+03, -7.837362910360973e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.051742667008084e-02,  1.886704032455110e-04,  1.051308198998252e+00,  1.925098224643283e+03, -7.665092139187665e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.064844024192934e-02,  1.808091364436147e-04,  1.051308198998252e+00,  1.925098224643283e+03, -7.503703703703703e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.857665605556700e-02,  8.077144446041051e-02,  1.735767709858701e-04,  1.051308198998252e+00,  1.925098224643283e+03, -7.352098102042545e-02,  2.885693449654006e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.099645340290436e-02,  1.607192323943242e-04,  1.051308198998252e+00,  1.925098224643283e+03, -7.074559697204666e-02,  2.885693449654006e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.119757793057057e-02,  1.496351474016122e-04,  1.051308198998252e+00,  1.925098224643283e+03, -6.826251716848258e-02,  2.885693449654006e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.129045160713931e-02,  1.446473091548918e-04,  1.051308198998252e+00,  1.925098224643283e+03, -6.711516625799367e-02,  2.885693449654006e+00
