# c0 + a0 * ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (particle_diameter / time)) + a1 * ((ln(1.0*time+8.586863e-01)) * (av_bulk_int_dist / surface_area)) + a2 * ((ln(1.0*av_EA-8.438359e-01)) / (av_d_band_center_surf - av_BE_H_surf)) + a3 * (exp(2.661967e+01*(av_W_change_H * (particle_diameter-5.928925e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00725965990977639; Max AE: 0.0527133130404323
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -3.742471808298774e-03,  1.380812299842120e-01,  3.846860021753590e-04, -1.494783986814852e-01,  2.043060309950360e-01, 
# 3   , -1.027422065121287e-02,  2.549883211164886e-01,  2.911210150232685e-04, -1.445949920326235e-01,  1.769248543611364e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1 * nm;                                      11|log:1.0000000000000e+00,6.0100000001000e+00|2|0|div|mult; ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (particle_diameter / time)); $\left(\left(\ln{ \left(1.0av_{mu, C, critical, surf}+6.010e+00 \right)}\right) \left(\frac{ particle_{diameter} }{ time } \right)\right)$; (log(1.0*av_mu_C_critical_surf+6.010000e+00) .* (particle_diameter ./ time)); av_mu_C_critical_surf,particle_diameter,time
# 1;  2; A * g * m^-2;                                     0|log:1.0000000000000e+00,8.5868625328336e-01|8|4|div|mult; ((ln(1.0*time+8.586863e-01)) * (av_bulk_int_dist / surface_area)); $\left(\left(\ln{ \left(1.0time+8.587e-01 \right)}\right) \left(\frac{ av_{bulk, int, dist} }{ surface_{area} } \right)\right)$; (log(1.0*time+8.586863e-01) .* (av_bulk_int_dist ./ surface_area)); time,av_bulk_int_dist,surface_area
# 2;  2; eV^-1;                                            6|log:1.0000000000000e+00,-8.4383590786044e-01|18|16|sub|div; ((ln(1.0*av_EA-8.438359e-01)) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\ln{ \left(1.0av_{EA}-8.438e-01 \right)}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; (log(1.0*av_EA-8.438359e-01) ./ (av_d_band_center_surf - av_BE_H_surf)); av_EA,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         17|2|mult|exp:2.6619674231434e+01,0.0000000000000e+00,-7.2362351560317e-02,-5.9289249591826e+00; (exp(2.661967e+01*(av_W_change_H * (particle_diameter-5.928925e+00)))); $\left(\exp{ \left(2.662e+01\left(av_{W, change, H} * \left(particle_{diameter}-5.929e+00\right)\right) \right)}\right)$; exp(2.661967e+01.*(av_W_change_H .* (particle_diameter-5.928925e+00))); av_W_change_H,particle_diameter
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.949441887870946e-02,  2.986326862930628e-01,  1.049463914602963e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.365806973954061e-02,  1.493163431465314e-01,  1.310530437293930e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.599344962009968e-02,  9.954422876435426e-02,  1.466171370235362e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.762295136944946e-02,  7.465817157326569e-02,  1.577436774089900e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.074977540877567e-02,  4.266181232758039e-02,  1.795212830055278e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.148986971325269e-02,  3.732908578663285e-02,  1.847365952229704e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.272287568467417e-02,  2.986326862930628e-02,  1.934638158692671e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.416769792087655e-02,  2.297174509946637e-02,  2.037405993527136e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.495393803319778e-02,  1.990884575287085e-02,  2.093516248190534e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.595415348834747e-02,  1.659070479405904e-02,  2.165053661803401e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.679869505001718e-02,  1.422060410919346e-02,  2.225573945897721e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.752955638061859e-02,  1.244302859554428e-02,  2.278021972645257e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.907950298867700e-02,  7.796737578255228e-02,  1.148587254973319e-02,  2.309469930667194e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.817374160555177e-02,  1.106046986270603e-02,  2.324299880071579e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  7.992160875437500e-02,  7.837256291381287e-02,  1.066545308189510e-02,  2.338591682738579e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  8.016373252178199e-02,  7.856437193490728e-02,  1.029767883769182e-02,  2.352383031235073e-01,  5.564061597835311e-01,  1.059679241820064e+00
PdAg_1_9_100,  8.064863733312801e-02,  7.874964649199234e-02,  9.954422876435427e-03,  2.365707791692961e-01,  5.564061597835311e-01,  1.059679241820064e+00
