# c0 + a0 * (std_dev / surface_area) + a1 * (time / av_bulk_int_dist) + a2 * (av_bulk_int_dist * time) + a3 * (av_EA / time) + a4 * (av_BE_H_subsurf^2)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.11257736773314; Max AE: 0.633473164188579
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.348463628273969e+01, -1.309269688149980e-02,  1.511600357505864e-03,  4.811930803441400e+00,  6.106990310015404e-01, -4.309380168583117e-01, 
# 3   , -1.794877355821015e+01, -3.049957921126334e-02,  3.668367644247238e-03,  4.284154292672252e+00,  6.516640859279018e-01, -4.881145953431754e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; A^-1 * min;                                       0|8|div; (time / av_bulk_int_dist); $\left(\frac{ time }{ av_{bulk, int, dist} } \right)$; (time ./ av_bulk_int_dist); time,av_bulk_int_dist
# 2;  1; A * min;                                          8|0|mult; (av_bulk_int_dist * time); $\left(av_{bulk, int, dist} time\right)$; (av_bulk_int_dist .* time); av_bulk_int_dist,time
# 3;  1; eV * min^-1;                                      6|0|div; (av_EA / time); $\left(\frac{ av_{EA} }{ time } \right)$; (av_EA ./ time); av_EA,time
# 4;  1; eV^2;                                             19|sq; (av_BE_H_subsurf^2); $\left(av_{BE, H, subsurf}^2\right)$; (av_BE_H_subsurf).^2; av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 215                   
# 3   , 217                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  7.027689655296827e-01,  4.109589041095890e-02,  4.694998956666899e+00,  3.881790000000000e+01,  9.109629629629630e-02,  2.050624000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  4.808013817349255e-01,  4.109589041095890e-02,  9.389997913333797e+00,  7.763580000000000e+01,  4.554814814814815e-02,  2.050624000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.049501560160262e-01,  4.109589041095890e-02,  1.408499687000070e+01,  1.164537000000000e+02,  3.036543209876543e-02,  2.050624000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.656280198160912e-01,  4.109589041095890e-02,  1.877999582666759e+01,  1.552716000000000e+02,  2.277407407407408e-02,  2.050624000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.235128369351855e-01,  4.109589041095890e-02,  2.816999374000139e+01,  2.329074000000000e+02,  1.518271604938272e-02,  2.050624000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.102829075345107e-01,  4.109589041095890e-02,  3.286499269666829e+01,  2.717253000000000e+02,  1.301375661375661e-02,  2.050624000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  2.996621988137622e-01,  4.109589041095890e-02,  3.755999165333519e+01,  3.105432000000000e+02,  1.138703703703704e-02,  2.050624000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.831173785961317e-01,  4.109589041095890e-02,  4.694998956666898e+01,  3.881790000000000e+02,  9.109629629629629e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.763393403312739e-01,  4.109589041095890e-02,  5.164498852333588e+01,  4.269969000000000e+02,  8.281481481481482e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.646224906864295e-01,  4.109589041095890e-02,  6.103498643666968e+01,  5.046327000000000e+02,  7.007407407407408e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.545405093836927e-01,  4.109589041095890e-02,  7.042498435000348e+01,  5.822685000000000e+02,  6.073086419753087e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.455163840670254e-01,  4.109589041095890e-02,  7.981498226333727e+01,  6.599043000000000e+02,  5.358605664488017e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.412908240715855e-01,  4.109589041095890e-02,  8.450998122000418e+01,  6.987222000000000e+02,  5.060905349794239e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.332694580750468e-01,  4.109589041095890e-02,  9.389997913333796e+01,  7.763579999999999e+02,  4.554814814814814e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.294327231221059e-01,  4.109589041095890e-02,  9.859497809000487e+01,  8.151759000000000e+02,  4.337918871252205e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.256908689211622e-01,  4.109589041095890e-02,  1.032899770466718e+02,  8.539938000000000e+02,  4.140740740740741e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.220315197219550e-01,  4.109589041095890e-02,  1.079849760033387e+02,  8.928117000000000e+02,  3.960708534621578e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.184443623992679e-01,  4.109589041095890e-02,  1.126799749600056e+02,  9.316296000000000e+02,  3.795679012345679e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  2.149207339279179e-01,  4.109589041095890e-02,  1.173749739166725e+02,  9.704475000000000e+02,  3.643851851851852e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  2.114533040558280e-01,  4.109589041095890e-02,  1.220699728733394e+02,  1.009265400000000e+03,  3.503703703703704e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  2.080358284941915e-01,  4.109589041095890e-02,  1.267649718300063e+02,  1.048083300000000e+03,  3.373936899862826e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  2.046629549954596e-01,  4.109589041095890e-02,  1.314599707866732e+02,  1.086901200000000e+03,  3.253439153439154e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.479231710514490e-01,  2.013300695531249e-01,  4.109589041095890e-02,  1.361549697433400e+02,  1.125719100000000e+03,  3.141251596424010e-03,  2.050624000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.980331733615478e-01,  4.109589041095890e-02,  1.408499687000070e+02,  1.164537000000000e+03,  3.036543209876543e-03,  2.050624000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  6.936962261944020e-01,  5.128205128205128e-02,  4.709849982556117e+00,  3.869549999999995e+01,  8.743209876543184e-02,  2.290177777777768e+00
PdAg_1_5_100,  3.293542674131830e-01,  4.801651150198697e-01,  5.128205128205128e-02,  9.419699965112233e+00,  7.739099999999991e+01,  4.371604938271592e-02,  2.290177777777768e+00
PdAg_1_5_100,  2.398208440226360e-01,  3.686407996149891e-01,  5.128205128205128e-02,  1.883939993022447e+01,  1.547819999999998e+02,  2.185802469135796e-02,  2.290177777777768e+00
PdAg_1_5_100,  2.303037511075600e-01,  3.444324326069673e-01,  5.128205128205128e-02,  2.354924991278058e+01,  1.934774999999998e+02,  1.748641975308637e-02,  2.290177777777768e+00
PdAg_1_5_100,  2.261682956735730e-01,  3.272360190865938e-01,  5.128205128205128e-02,  2.825909989533670e+01,  2.321729999999997e+02,  1.457201646090531e-02,  2.290177777777768e+00
PdAg_1_5_100,  2.236877838869310e-01,  3.140464361305911e-01,  5.128205128205128e-02,  3.296894987789282e+01,  2.708684999999997e+02,  1.249029982363312e-02,  2.290177777777768e+00
PdAg_1_5_100,  2.195369868150280e-01,  3.033611222773199e-01,  5.128205128205128e-02,  3.767879986044893e+01,  3.095639999999996e+02,  1.092901234567898e-02,  2.290177777777768e+00
PdAg_1_5_100,  2.164592134781930e-01,  2.943453211592032e-01,  5.128205128205128e-02,  4.238864984300506e+01,  3.482594999999995e+02,  9.714677640603539e-03,  2.290177777777768e+00
PdAg_1_5_100,  2.141497061269980e-01,  2.864981789556947e-01,  5.128205128205128e-02,  4.709849982556117e+01,  3.869549999999995e+02,  8.743209876543185e-03,  2.290177777777768e+00
PdAg_1_5_100,  2.121100061106850e-01,  2.795009705082651e-01,  5.128205128205128e-02,  5.180834980811728e+01,  4.256504999999995e+02,  7.948372615039258e-03,  2.290177777777768e+00
PdAg_1_5_100,  2.074551680388040e-01,  2.672718006452602e-01,  5.128205128205128e-02,  6.122804977322952e+01,  5.030414999999994e+02,  6.725546058879373e-03,  2.290177777777768e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.516862443380282e-01,  5.128205128205128e-02,  7.535759972089787e+01,  6.191279999999992e+02,  5.464506172839490e-03,  2.290177777777768e+00
PdAg_1_5_100,  2.013479605126910e-01,  2.469669833471472e-01,  5.128205128205128e-02,  8.006744970345399e+01,  6.578234999999992e+02,  5.143064633260697e-03,  2.290177777777768e+00
PdAg_1_5_100,  1.973081438407180e-01,  2.380169101377442e-01,  5.128205128205128e-02,  8.948714966856622e+01,  7.352144999999991e+02,  4.601689408706939e-03,  2.290177777777768e+00
PdAg_1_5_100,  1.963439311488950e-01,  2.295630388558177e-01,  5.128205128205128e-02,  9.890684963367846e+01,  8.126054999999990e+02,  4.163433274544374e-03,  2.290177777777768e+00
PdAg_1_5_100,  1.940684048443220e-01,  2.254798890006574e-01,  5.128205128205128e-02,  1.036166996162346e+02,  8.513009999999990e+02,  3.974186307519629e-03,  2.290177777777768e+00
PdAg_1_5_100,  1.926261364587620e-01,  2.214759255202868e-01,  5.128205128205128e-02,  1.083265495987907e+02,  8.899964999999989e+02,  3.801395598497037e-03,  2.290177777777768e+00
PdAg_1_5_100,  1.905512205622570e-01,  2.175412501178576e-01,  5.128205128205128e-02,  1.130363995813468e+02,  9.286919999999989e+02,  3.643004115226327e-03,  2.290177777777768e+00
