# c0 + a0 * (av_delta_M1_M2_subsurf * std_dev) + a1 * (av_E_def_subsurf * time) + a2 * (av_E_def_subsurf / time) + a3 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.133413500281342; Max AE: 0.410841238976036
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -2.537845448860740e+00, -2.157479636411234e-03,  2.892856157092644e+01,  1.834497836396152e-01, -1.804559514931261e-01, 
# 3   , -2.620567570798169e+00, -4.150232750896955e-03,  2.124559120071884e+01,  1.783114728788339e-01, -1.969323677397056e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               15|3|mult; (av_delta_M1_M2_subsurf * std_dev); $\left(av_{delta, M1, M2, subsurf} std_{dev}\right)$; (av_delta_M1_M2_subsurf .* std_dev); av_delta_M1_M2_subsurf,std_dev
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV * min^-1;                                      14|0|div; (av_E_def_subsurf / time); $\left(\frac{ av_{E, def, subsurf} }{ time } \right)$; (av_E_def_subsurf ./ time); av_E_def_subsurf,time
# 3;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.421081740650897e-01,  2.169600000000000e-01,  5.561999999999999e+00,  7.629629629629629e-03,  5.802464000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.625368196948617e-01,  2.169600000000000e-01,  8.343000000000000e+00,  5.086419753086420e-03,  5.802464000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  4.197511670753177e-01,  2.169600000000000e-01,  1.112400000000000e+01,  3.814814814814815e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.709655635869142e-01,  2.169600000000000e-01,  1.668600000000000e+01,  2.543209876543210e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.405728109738528e-01,  2.169600000000000e-01,  2.224800000000000e+01,  1.907407407407407e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.175371987109283e-01,  2.169600000000000e-01,  2.781000000000000e+01,  1.525925925925926e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.075242621965394e-01,  2.169600000000000e-01,  3.059100000000000e+01,  1.387205387205387e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.893505363887752e-01,  2.169600000000000e-01,  3.615300000000000e+01,  1.173789173789174e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.728231636663563e-01,  2.169600000000000e-01,  4.171500000000000e+01,  1.017283950617284e-03,  5.802464000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.573610782344550e-01,  2.169600000000000e-01,  4.727699999999999e+01,  8.976034858387799e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.499185508263529e-01,  2.169600000000000e-01,  5.005800000000000e+01,  8.477366255144033e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.354662689719213e-01,  2.169600000000000e-01,  5.562000000000000e+01,  7.629629629629629e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.284152980530422e-01,  2.169600000000000e-01,  5.840100000000000e+01,  7.266313932980600e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.214598744114374e-01,  2.169600000000000e-01,  6.118200000000000e+01,  6.936026936026936e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.145875353587671e-01,  2.169600000000000e-01,  6.396299999999999e+01,  6.634460547504025e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.077878953214143e-01,  2.169600000000000e-01,  6.674400000000000e+01,  6.358024691358025e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  2.010522304175410e-01,  2.169600000000000e-01,  6.952499999999999e+01,  6.103703703703704e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.877443926175752e-01,  2.169600000000000e-01,  7.508699999999999e+01,  5.651577503429355e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.746169597917122e-01,  2.169600000000000e-01,  8.064900000000000e+01,  5.261813537675606e-04,  5.802464000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.681096199331881e-01,  2.169600000000000e-01,  8.342999999999999e+01,  5.086419753086419e-04,  5.802464000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  7.164864602530995e-01,  2.826666666666680e-01,  2.744999999999996e+00,  1.506172839506170e-02,  6.456888888888880e+00
PdAg_1_5_100,  2.303037511075600e-01,  3.442260240524134e-01,  2.826666666666680e-01,  1.372499999999998e+01,  3.012345679012341e-03,  6.456888888888880e+00
PdAg_1_5_100,  2.261682956735730e-01,  3.237799378757607e-01,  2.826666666666680e-01,  1.646999999999997e+01,  2.510288065843617e-03,  6.456888888888880e+00
PdAg_1_5_100,  2.236877838869310e-01,  3.074835101490235e-01,  2.826666666666680e-01,  1.921499999999997e+01,  2.151675485008815e-03,  6.456888888888880e+00
PdAg_1_5_100,  2.195369868150280e-01,  2.937806189534833e-01,  2.826666666666680e-01,  2.195999999999997e+01,  1.882716049382713e-03,  6.456888888888880e+00
PdAg_1_5_100,  2.141497061269980e-01,  2.710432023185578e-01,  2.826666666666680e-01,  2.744999999999996e+01,  1.506172839506170e-03,  6.456888888888880e+00
PdAg_1_5_100,  2.121100061106850e-01,  2.611598831053262e-01,  2.826666666666680e-01,  3.019499999999995e+01,  1.369248035914700e-03,  6.456888888888880e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.191702325603232e-01,  2.826666666666680e-01,  4.391999999999993e+01,  9.413580246913565e-04,  6.456888888888880e+00
PdAg_1_5_100,  1.973081438407180e-01,  1.971035771895973e-01,  2.826666666666680e-01,  5.215499999999992e+01,  7.927225471085108e-04,  6.456888888888880e+00
PdAg_1_5_100,  1.963439311488950e-01,  1.830749832225862e-01,  2.826666666666680e-01,  5.764499999999990e+01,  7.172251616696049e-04,  6.456888888888880e+00
PdAg_1_5_100,  1.926261364587620e-01,  1.694262206926384e-01,  2.826666666666680e-01,  6.313499999999990e+01,  6.548577563070306e-04,  6.456888888888880e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.627146018855425e-01,  2.826666666666680e-01,  6.587999999999990e+01,  6.275720164609043e-04,  6.456888888888880e+00
