# c0 + a0 * (total_metal_loading / std_dev) + a1 * (av_E_def_subsurf * time) + a2 * (av_E_def_subsurf / time) + a3 * (av_mu_C_critical_surf^6)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.133798374659252; Max AE: 0.566061486741126
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  5.837954149451765e+01, -2.396323725363879e-03,  2.687682520846964e+01,  3.186641969013727e-05, -3.182776610136624e-02, 
# 3   ,  5.355905077143076e+01, -4.390966865024572e-03,  1.841101520743459e+01,  3.253051903474079e-05, -1.026363571216988e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; nm^-1;                                            1|3|div; (total_metal_loading / std_dev); $\left(\frac{ total_{metal, loading} }{ std_{dev} } \right)$; (total_metal_loading ./ std_dev); total_metal_loading,std_dev
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV * min^-1;                                      14|0|div; (av_E_def_subsurf / time); $\left(\frac{ av_{E, def, subsurf} }{ time } \right)$; (av_E_def_subsurf ./ time); av_E_def_subsurf,time
# 3;  1; eV^6;                                             11|sp; (av_mu_C_critical_surf^6); $\left(av_{mu, C, critical, surf}^6\right)$; (av_mu_C_critical_surf).^6; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.480866280171974e-01,  4.233333333333333e-03,  5.561999999999999e+00,  7.629629629629629e-03,  4.426053102172505e+03
PdAg_1_9_100,  3.628741788873400e-01,  4.730690444166550e-01,  4.233333333333333e-03,  8.343000000000000e+00,  5.086419753086420e-03,  4.426053102172505e+03
PdAg_1_9_100,  3.099375324862660e-01,  4.322281644762653e-01,  4.233333333333333e-03,  1.112400000000000e+01,  3.814814814814815e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.856868471553150e-01,  3.847231082556387e-01,  4.233333333333333e-03,  1.668600000000000e+01,  2.543209876543210e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.773647395214370e-01,  3.543064038650884e-01,  4.233333333333333e-03,  2.224800000000000e+01,  1.907407407407407e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.739275035497000e-01,  3.307250402065687e-01,  4.233333333333333e-03,  2.781000000000000e+01,  1.525925925925926e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.725813187048580e-01,  3.203324962543151e-01,  4.233333333333333e-03,  3.059100000000000e+01,  1.387205387205387e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.699577938430830e-01,  3.012681934292002e-01,  4.233333333333333e-03,  3.615300000000000e+01,  1.173789173789174e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.679801391469650e-01,  2.837334773413229e-01,  4.233333333333333e-03,  4.171500000000000e+01,  1.017283950617284e-03,  4.426053102172505e+03
PdAg_1_9_100,  2.650229112638520e-01,  2.671884938481287e-01,  4.233333333333333e-03,  4.727699999999999e+01,  8.976034858387799e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.637375021423530e-01,  2.591840546792583e-01,  4.233333333333333e-03,  5.005800000000000e+01,  8.477366255144033e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.621887653386570e-01,  2.435772552081076e-01,  4.233333333333333e-03,  5.562000000000000e+01,  7.629629629629629e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.609797547787540e-01,  2.359366016804377e-01,  4.233333333333333e-03,  5.840100000000000e+01,  7.266313932980600e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.597681369110620e-01,  2.283847188116254e-01,  4.233333333333333e-03,  6.118200000000000e+01,  6.936026936026936e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.586590858830060e-01,  2.209100278200805e-01,  4.233333333333333e-03,  6.396299999999999e+01,  6.634460547504025e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.564021611090790e-01,  2.135028797211445e-01,  4.233333333333333e-03,  6.674400000000000e+01,  6.358024691358025e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.562832756759230e-01,  2.061551693677045e-01,  4.233333333333333e-03,  6.952499999999999e+01,  6.103703703703704e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.518192543109310e-01,  1.916116451215363e-01,  4.233333333333333e-03,  7.508699999999999e+01,  5.651577503429355e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.479231710514490e-01,  1.772357307630500e-01,  4.233333333333333e-03,  8.064900000000000e+01,  5.261813537675606e-04,  4.426053102172505e+03
PdAg_1_9_100,  2.453013105463630e-01,  1.701001516737076e-01,  4.233333333333333e-03,  8.342999999999999e+01,  5.086419753086419e-04,  4.426053102172505e+03
PdAg_1_5_100,  5.770639017232591e-01,  7.571458592600165e-01,  3.400000000000000e-03,  2.744999999999996e+00,  1.506172839506170e-02,  6.032985611939673e+03
PdAg_1_5_100,  2.303037511075600e-01,  4.069850716263073e-01,  3.400000000000000e-03,  1.372499999999998e+01,  3.012345679012341e-03,  6.032985611939673e+03
PdAg_1_5_100,  2.261682956735730e-01,  3.869134482864662e-01,  3.400000000000000e-03,  1.646999999999997e+01,  2.510288065843617e-03,  6.032985611939673e+03
PdAg_1_5_100,  2.236877838869310e-01,  3.706971720076872e-01,  3.400000000000000e-03,  1.921499999999997e+01,  2.151675485008815e-03,  6.032985611939673e+03
PdAg_1_5_100,  2.195369868150280e-01,  3.568904876420720e-01,  3.400000000000000e-03,  2.195999999999997e+01,  1.882716049382713e-03,  6.032985611939673e+03
PdAg_1_5_100,  2.141497061269980e-01,  3.336143843545364e-01,  3.400000000000000e-03,  2.744999999999996e+01,  1.506172839506170e-03,  6.032985611939673e+03
PdAg_1_5_100,  2.121100061106850e-01,  3.233563717155806e-01,  3.400000000000000e-03,  3.019499999999995e+01,  1.369248035914700e-03,  6.032985611939673e+03
PdAg_1_5_100,  2.024470208367670e-01,  2.789665035448615e-01,  3.400000000000000e-03,  4.391999999999993e+01,  9.413580246913565e-04,  6.032985611939673e+03
PdAg_1_5_100,  1.973081438407180e-01,  2.552379279157184e-01,  3.400000000000000e-03,  5.215499999999992e+01,  7.927225471085108e-04,  6.032985611939673e+03
PdAg_1_5_100,  1.963439311488950e-01,  2.400529806313328e-01,  3.400000000000000e-03,  5.764499999999990e+01,  7.172251616696049e-04,  6.032985611939673e+03
PdAg_1_5_100,  1.926261364587620e-01,  2.252209255264494e-01,  3.400000000000000e-03,  6.313499999999990e+01,  6.548577563070306e-04,  6.032985611939673e+03
