# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_BE_H_surf * surface_area) / cbrt(time)) + a2 * (exp(1.895229e-01*((std_dev+3.390097e+01) / (av_BE_H_surf+9.266731e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.110815137908907; Max AE: 0.565095428459642
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -5.711293720979615e-07, -1.045166639847232e-02,  1.024907165422110e+02, -4.108870943817525e-01, 
# 3   , -1.091864098671698e-06, -1.653653117405121e-02,  9.084039138123414e+01, -6.781742418135298e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV * g^-1 * m^2 * min^-0.333333;                  16|4|mult|0|cbrt|div; ((av_BE_H_surf * surface_area) / cbrt(time)); $\left(\frac{ \left(av_{BE, H, surf} surface_{area}\right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((av_BE_H_surf .* surface_area) ./ nthroot(time, 3)); av_BE_H_surf,surface_area,time
# 2;  2; Unitless;                                         3|16|div|exp:1.8952294620722e-01,0.0000000000000e+00,3.3900966934471e+01,9.2667312137451e-01; (exp(1.895229e-01*((std_dev+3.390097e+01) / (av_BE_H_surf+9.266731e-01)))); $\left(\exp{ \left(1.895e-01\left(\frac{ std_{dev} +3.390e+01 }{ av_{BE, H, surf}+9.267e-01 } \right) \right)}\right)$; exp(1.895229e-01.*((std_dev+3.390097e+01) ./ (av_BE_H_surf+9.266731e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  6.343912298007456e-01,  7.660313335186942e+01, -6.622145038247453e+01,  3.446142036833884e-03
PdAg_1_9_100,  3.628741788873400e-01,  4.220715521330353e-01,  2.298094000556082e+02, -4.591538922653987e+01,  3.446142036833884e-03
PdAg_1_9_100,  3.099375324862660e-01,  3.781465893574369e-01,  3.064125334074777e+02, -4.171689964572428e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.856868471553150e-01,  3.229387658163176e-01,  4.596188001112164e+02, -3.644306857986936e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.813651505179750e-01,  3.038178149712514e-01,  5.362219334630859e+02, -3.461779021579886e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.739275035497000e-01,  2.631287079820556e-01,  7.660313335186941e+02, -3.073727446409365e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.530390678307249e-01,  8.426344668705635e+02, -2.977609856458856e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.360956065996707e-01,  9.958407335743022e+02, -2.816334515383926e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.107416338278193e-01,  1.302253266981780e+03, -2.575425835235812e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.621887653386570e-01,  1.964163150697574e-01,  1.532062667037388e+03, -2.439619090946877e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.609797547787540e-01,  1.922592511505679e-01,  1.608665800389258e+03, -2.400263513922923e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.597681369110620e-01,  1.883553864114390e-01,  1.685268933741127e+03, -2.363330509246834e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.586590858830060e-01,  1.846786463076397e-01,  1.761872067092997e+03, -2.328570599526808e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.564021611090790e-01,  1.812066304686412e-01,  1.838475200444866e+03, -2.295769461326993e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.562832756759230e-01,  1.779199668890253e-01,  1.915078333796735e+03, -2.264741746161516e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.537741737812260e-01,  1.748018003939261e-01,  1.991681467148604e+03, -2.235326186207396e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.518192543109310e-01,  1.718373834679199e-01,  2.068284600500474e+03, -2.207381679415818e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.496764650829220e-01,  1.690137460005906e-01,  2.144887733852343e+03, -2.180784129686488e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.479231710514490e-01,  1.663194265039140e-01,  2.221490867204213e+03, -2.155423875195281e+01,  3.446142036833884e-03
PdAg_1_9_100,  2.453013105463630e-01,  1.637442516714257e-01,  2.298094000556082e+03, -2.131203579248920e+01,  3.446142036833884e-03
PdAg_1_5_100,  5.770639017232591e-01,  7.324420325159015e-01,  9.122135255363506e+01, -7.250425668461685e+01,  3.762203404986750e-03
PdAg_1_5_100,  3.293542674131830e-01,  5.760581923293596e-01,  1.824427051072701e+02, -5.754666666666657e+01,  3.762203404986750e-03
PdAg_1_5_100,  2.398208440226360e-01,  4.518734088878034e-01,  3.648854102145402e+02, -4.567481960196492e+01,  3.762203404986750e-03
PdAg_1_5_100,  2.303037511075600e-01,  4.176017901643712e-01,  4.561067627681754e+02, -4.240074652835169e+01,  3.762203404986750e-03
