# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((ln(1.0*time-9.873681e+00)) / sqrt(surface_area)) + a2 * (exp(1.895229e-01*((std_dev+3.390097e+01) / (av_BE_H_surf+9.266731e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.110967351112284; Max AE: 0.588028802098504
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -5.723675310878440e-07, -9.031560021021350e-01,  1.063582602145141e+02,  4.270156822113957e-01, 
# 3   , -1.084185629445224e-06, -1.396630338645016e+00,  9.796445851439397e+01,  6.184921393324334e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; g^0.5 * m^-1;                                     0|log:1.0000000000000e+00,-9.8736813350288e+00|4|sqrt|div; ((ln(1.0*time-9.873681e+00)) / sqrt(surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-9.874e+00 \right)}\right) }{ \left(\sqrt{ surface_{area} }\right) } \right)$; (log(1.0*time-9.873681e+00) ./ sqrt(surface_area)); time,surface_area
# 2;  2; Unitless;                                         3|16|div|exp:1.8952294620722e-01,0.0000000000000e+00,3.3900966934471e+01,9.2667312137451e-01; (exp(1.895229e-01*((std_dev+3.390097e+01) / (av_BE_H_surf+9.266731e-01)))); $\left(\exp{ \left(1.895e-01\left(\frac{ std_{dev} +3.390e+01 }{ av_{BE, H, surf}+9.267e-01 } \right) \right)}\right)$; exp(1.895229e-01.*((std_dev+3.390097e+01) ./ (av_BE_H_surf+9.266731e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  6.573246034396079e-01,  7.660313335186942e+01,  1.507745115996383e-01,  3.446142036833884e-03
PdAg_1_9_100,  3.628741788873400e-01,  4.316972953796369e-01,  2.298094000556082e+02,  4.004983879204481e-01,  3.446142036833884e-03
PdAg_1_9_100,  3.099375324862660e-01,  3.930498192938404e-01,  3.064125334074777e+02,  4.432414255015910e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.856868471553150e-01,  3.424977775041599e-01,  4.596188001112164e+02,  4.991169900547823e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.813651505179750e-01,  3.240834385399985e-01,  5.362219334630859e+02,  5.194573230372272e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.739275035497000e-01,  2.826124009780031e-01,  7.660313335186941e+02,  5.652295949668223e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.717380687967421e-01,  8.426344668705635e+02,  5.772214180956532e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.528396894355383e-01,  9.958407335743022e+02,  5.980491477733619e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.228346571422424e-01,  1.302253266981780e+03,  6.310773861271184e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.621887653386570e-01,  2.048133888814848e-01,  1.532062667037388e+03,  6.508854068679293e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.609797547787540e-01,  1.994212197608881e-01,  1.608665800389258e+03,  6.568072232117703e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.597681369110620e-01,  1.942866722298678e-01,  1.685268933741127e+03,  6.624437936080930e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.586590858830060e-01,  1.893860640897806e-01,  1.761872067092997e+03,  6.678213396604613e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.564021611090790e-01,  1.846988356708242e-01,  1.838475200444866e+03,  6.729626256197402e-01,  3.446142036833884e-03
PdAg_1_9_100,  2.562832756759230e-01,  1.802070239192067e-01,  1.915078333796735e+03,  6.778875406897330e-01,  3.446142036833884e-03
