# c0 + a0 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / surface_area)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((surface_area / time) * (av_delta_M1_M2_subsurf^6)) + a3 * (exp(4.129821e-03*((time+4.309791e+02) / (av_mu_C_critical_subsurf+3.979936e+00)))) + a4 * (exp(2.807715e-01*((std_dev+6.964769e+01) / (av_BE_H_subsurf-4.146507e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0814843623029568; Max AE: 0.38026797507888
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -3.870203539897334e+02, -7.686484334281239e-07,  2.665659687237434e+05,  1.428273557032117e+00,  6.303434485449750e+01, -1.352551966032471e+00, 
# 3   , -1.349620566446080e+03, -1.348462464402836e-06,  1.741324147221851e+05,  2.354639539935413e+00,  2.873874608170682e+01, -3.596930415234388e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * m^-2 * nm;                               2|1|mult|14|4|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / surface_area)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ surface_{area} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ surface_area)); particle_diameter,total_metal_loading,av_E_def_subsurf,surface_area
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; g^-1 * m^2 * min^-1;                              4|0|div|15|sp|mult; ((surface_area / time) * (av_delta_M1_M2_subsurf^6)); $\left(\left(\frac{ surface_{area} }{ time } \right) \left(av_{delta, M1, M2, subsurf}^6\right)\right)$; ((surface_area ./ time) .* (av_delta_M1_M2_subsurf).^6); surface_area,time,av_delta_M1_M2_subsurf
# 3;  2; Unitless;                                         0|12|div|exp:4.1298205551103e-03,0.0000000000000e+00,4.3097911005628e+02,3.9799361025901e+00; (exp(4.129821e-03*((time+4.309791e+02) / (av_mu_C_critical_subsurf+3.979936e+00)))); $\left(\exp{ \left(4.130e-03\left(\frac{ time +4.310e+02 }{ av_{mu, C, critical, subsurf}+3.980e+00 } \right) \right)}\right)$; exp(4.129821e-03.*((time+4.309791e+02) ./ (av_mu_C_critical_subsurf+3.979936e+00))); time,av_mu_C_critical_subsurf
# 4;  2; Unitless;                                         3|19|div|exp:2.8077148095596e-01,0.0000000000000e+00,6.9647688888847e+01,-4.1465069534261e+00; (exp(2.807715e-01*((std_dev+6.964769e+01) / (av_BE_H_subsurf-4.146507e+00)))); $\left(\exp{ \left(2.808e-01\left(\frac{ std_{dev} +6.965e+01 }{ av_{BE, H, subsurf}-4.147e+00 } \right) \right)}\right)$; exp(2.807715e-01.*((std_dev+6.964769e+01) ./ (av_BE_H_subsurf-4.146507e+00))); std_dev,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.322274884087169e-01,  2.150301369863013e-04,  7.660313335186942e+01,  7.736412116376937e-07,  2.380058692377487e-02,  2.582463910495459e-02
PdAg_1_9_100,  3.628741788873400e-01,  2.877201670514899e-01,  2.150301369863013e-04,  2.298094000556082e+02,  2.578804038792312e-07,  1.896588266389379e-02,  2.582463910495459e-02
PdAg_1_9_100,  3.099375324862660e-01,  2.675684437134897e-01,  2.150301369863013e-04,  3.064125334074777e+02,  1.934103029094234e-07,  1.693034295477779e-02,  2.582463910495459e-02
PdAg_1_9_100,  2.856868471553150e-01,  2.453531352789277e-01,  2.150301369863013e-04,  4.596188001112164e+02,  1.289402019396156e-07,  1.349121763123599e-02,  2.582463910495459e-02
PdAg_1_9_100,  2.813651505179750e-01,  2.383160133341652e-01,  2.150301369863013e-04,  5.362219334630859e+02,  1.105201730910991e-07,  1.204325395354294e-02,  2.582463910495459e-02
PdAg_1_9_100,  2.739275035497000e-01,  2.243358614591976e-01,  2.150301369863013e-04,  7.660313335186941e+02,  7.736412116376937e-08,  8.566865194458267e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.725813187048580e-01,  2.210889678167986e-01,  2.150301369863013e-04,  8.426344668705635e+02,  7.033101923979033e-08,  7.647414484201516e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.699577938430830e-01,  2.158681709846850e-01,  2.150301369863013e-04,  9.958407335743022e+02,  5.951086243366874e-08,  6.093965928405089e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.650229112638520e-01,  2.087230997886770e-01,  2.150301369863013e-04,  1.302253266981780e+03,  4.550830656692316e-08,  3.869642165388838e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.621887653386570e-01,  2.051314229057756e-01,  2.150301369863013e-04,  1.532062667037388e+03,  3.868206058188468e-08,  2.752636696822731e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.609797547787540e-01,  2.041595710897956e-01,  2.150301369863013e-04,  1.608665800389258e+03,  3.684005769703303e-08,  2.457206138675317e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.597681369110620e-01,  2.032776440037193e-01,  2.150301369863013e-04,  1.685268933741127e+03,  3.516550961989516e-08,  2.193483075668119e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.586590858830060e-01,  2.024749588442178e-01,  2.150301369863013e-04,  1.761872067092997e+03,  3.363657441903016e-08,  1.958064456829124e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.564021611090790e-01,  2.017423248524932e-01,  2.150301369863013e-04,  1.838475200444866e+03,  3.223505048490390e-08,  1.747912468360266e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.562832756759230e-01,  2.010717932493621e-01,  2.150301369863013e-04,  1.915078333796735e+03,  3.094564846550775e-08,  1.560315334050262e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.537741737812260e-01,  2.004564579663352e-01,  2.150301369863013e-04,  1.991681467148604e+03,  2.975543121683437e-08,  1.392852322837588e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.518192543109310e-01,  1.998902949163319e-01,  2.150301369863013e-04,  2.068284600500474e+03,  2.865337820880347e-08,  1.243362511985396e-03,  2.582463910495459e-02
PdAg_1_9_100,  2.496764650829220e-01,  1.993680309344210e-01,  2.150301369863013e-04,  2.144887733852343e+03,  2.763004327277477e-08,  1.109916902792068e-03,  2.582463910495459e-02
