# c0 + a0 * (exp(8.428101e+01*((av_BE_H_surf+2.099756e+00) / (time+5.933124e+02))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.209103904768556; Max AE: 0.642931643834586
# Coefficients
# Task   a0                      c0
# 2   , -2.849421142542263e+01,  2.848754216531167e+01, 
# 3   , -2.766086353444436e+01,  2.745961198753823e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         16|0|div|exp:8.4281013068547e+01,0.0000000000000e+00,2.0997557916973e+00,5.9331240595919e+02; (exp(8.428101e+01*((av_BE_H_surf+2.099756e+00) / (time+5.933124e+02)))); $\left(\exp{ \left(8.428e+01\left(\frac{ av_{BE, H, surf} +2.100e+00 }{ time+5.933e+02 } \right) \right)}\right)$; exp(8.428101e+01.*((av_BE_H_surf+2.099756e+00) ./ (time+5.933124e+02))); av_BE_H_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 175                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.929580134110400e-02,  2.307585292195272e-01,  9.916675079795805e-01
PdAg_1_9_100,  6.062451827416920e-01,  2.256124535391448e-01,  9.918481087199748e-01
PdAg_1_9_100,  3.099375324862660e-01,  2.159617190573583e-01,  9.921867997733154e-01
PdAg_1_9_100,  2.856868471553150e-01,  2.070809204384702e-01,  9.924984700450873e-01
PdAg_1_9_100,  2.813651505179750e-01,  2.029010170523103e-01,  9.926451631163133e-01
PdAg_1_9_100,  2.773647395214370e-01,  1.988814542248530e-01,  9.927862290601096e-01
PdAg_1_9_100,  2.725813187048580e-01,  1.876975695544921e-01,  9.931787257852649e-01
PdAg_1_9_100,  2.699577938430830e-01,  1.808940977838460e-01,  9.934174925884260e-01
PdAg_1_9_100,  2.679801391469650e-01,  1.745508039840989e-01,  9.936401095159501e-01
PdAg_1_9_100,  2.650229112638520e-01,  1.686225268715933e-01,  9.938481614961925e-01
PdAg_1_9_100,  2.637375021423530e-01,  1.658014965218846e-01,  9.939471651256522e-01
PdAg_1_9_100,  2.621887653386570e-01,  1.604233396521777e-01,  9.941359107199559e-01
PdAg_1_9_100,  2.609797547787540e-01,  1.578581102017082e-01,  9.942259370559078e-01
PdAg_1_9_100,  2.597681369110620e-01,  1.553704531718642e-01,  9.943132409996002e-01
PdAg_1_9_100,  2.586590858830060e-01,  1.529569023020882e-01,  9.943979441989181e-01
PdAg_1_9_100,  2.562832756759230e-01,  1.483392567080247e-01,  9.945599997661041e-01
PdAg_1_9_100,  2.537741737812260e-01,  1.461291892816468e-01,  9.946375617450401e-01
PdAg_1_9_100,  2.496764650829220e-01,  1.418928753478111e-01,  9.947862345358252e-01
PdAg_1_9_100,  2.479231710514490e-01,  1.398616021387359e-01,  9.948575217590000e-01
