# c0 + a0 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / surface_area)) + a1 * ((av_EA^3) * (av_BE_H_surf / time)) + a2 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a3 * (exp(3.877623e-03*((time+4.712581e+02) / (av_mu_C_critical_subsurf+4.006818e+00)))) + a4 * ((av_BE_H_surf^6) / cbrt(std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0870632389286454; Max AE: 0.466101582097962
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.826384269880533e+02, -5.431044196419406e-01, -6.743874702001360e-07,  1.874989550802572e+00,  4.207377488620398e-03, -5.010465250286917e-02, 
# 3   , -1.318458594568190e+03, -3.883441451691479e-01, -1.376469256143487e-06,  2.804675252690158e+00,  1.432755277009131e-03,  2.823547477432434e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * m^-2 * nm;                               2|1|mult|14|4|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / surface_area)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ surface_{area} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ surface_area)); particle_diameter,total_metal_loading,av_E_def_subsurf,surface_area
# 1;  2; eV^4 * min^-1;                                    6|cb|16|0|div|mult; ((av_EA^3) * (av_BE_H_surf / time)); $\left(\left(av_{EA}^3\right) \left(\frac{ av_{BE, H, surf} }{ time } \right)\right)$; ((av_EA).^3 .* (av_BE_H_surf ./ time)); av_EA,av_BE_H_surf,time
# 2;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         0|12|div|exp:3.8776231216072e-03,0.0000000000000e+00,4.7125805394524e+02,4.0068179933312e+00; (exp(3.877623e-03*((time+4.712581e+02) / (av_mu_C_critical_subsurf+4.006818e+00)))); $\left(\exp{ \left(3.878e-03\left(\frac{ time +4.713e+02 }{ av_{mu, C, critical, subsurf}+4.007e+00 } \right) \right)}\right)$; exp(3.877623e-03.*((time+4.712581e+02) ./ (av_mu_C_critical_subsurf+4.006818e+00))); time,av_mu_C_critical_subsurf
# 4;  2; eV^6 * nm^-0.333333;                              16|sp|3|cbrt|div; ((av_BE_H_surf^6) / cbrt(std_dev)); $\left(\frac{ \left(av_{BE, H, surf}^6\right) }{ \left(\sqrt[3]{ std_{dev} }\right) } \right)$; ((av_BE_H_surf).^6 ./ nthroot(std_dev, 3)); av_BE_H_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 175                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.011521135245514e-01,  2.150301369863013e-04, -2.975935052147200e-01,  7.660313335186942e+01,  1.743093770799722e-02,  7.041774097860819e+01
PdAg_1_9_100,  6.062451827416920e-01,  3.168027230544287e-01,  2.150301369863013e-04, -1.487967526073600e-01,  1.532062667037388e+02,  1.557196398417324e-02,  7.041774097860819e+01
PdAg_1_9_100,  3.099375324862660e-01,  2.703977413763410e-01,  2.150301369863013e-04, -7.439837630368000e-02,  3.064125334074777e+02,  1.242764016421903e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.856868471553150e-01,  2.521205978233449e-01,  2.150301369863013e-04, -4.959891753578666e-02,  4.596188001112164e+02,  9.918224843589649e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.813651505179750e-01,  2.462374530739056e-01,  2.150301369863013e-04, -4.251335788781714e-02,  5.362219334630859e+02,  8.860466524440117e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.773647395214370e-01,  2.415278713733413e-01,  2.150301369863013e-04, -3.719918815184000e-02,  6.128250668149553e+02,  7.915515958630959e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.316029300008568e-01,  2.150301369863013e-04, -2.705395501952000e-02,  8.426344668705635e+02,  5.643482048752133e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.271024965032254e-01,  2.150301369863013e-04, -2.289180809344000e-02,  9.958407335743022e+02,  4.503938247378680e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.236362911630033e-01,  2.150301369863013e-04, -1.983956701431467e-02,  1.149047000278041e+03,  3.594493534481252e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.650229112638520e-01,  2.209044469449819e-01,  2.150301369863013e-04, -1.750550030674823e-02,  1.302253266981780e+03,  2.868685816673279e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.637375021423530e-01,  2.197509693297268e-01,  2.150301369863013e-04, -1.653297251192889e-02,  1.378856400333649e+03,  2.562746363246425e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.621887653386570e-01,  2.177794753956220e-01,  2.150301369863013e-04, -1.487967526073600e-02,  1.532062667037388e+03,  2.045271210937657e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.609797547787540e-01,  2.169340151503848e-01,  2.150301369863013e-04, -1.417111929593905e-02,  1.608665800389258e+03,  1.827147234883151e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.597681369110620e-01,  2.161671554264341e-01,  2.150301369863013e-04, -1.352697750976000e-02,  1.685268933741127e+03,  1.632285733103644e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.586590858830060e-01,  2.154696814897948e-01,  2.150301369863013e-04, -1.293884805281391e-02,  1.761872067092997e+03,  1.458205810471581e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.562832756759230e-01,  2.142521100468043e-01,  2.150301369863013e-04, -1.190374020858880e-02,  1.915078333796735e+03,  1.163761816835230e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.537741737812260e-01,  2.137190867909622e-01,  2.150301369863013e-04, -1.144590404672000e-02,  1.991681467148604e+03,  1.039649008073726e-03,  7.041774097860819e+01
