# c0 + a0 * ((surface_area / std_dev) / cbrt(time)) + a1 * (exp(2.314561e-03*((time+8.688821e+02) / (av_mu_C_critical_surf+4.051953e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.148766360970896; Max AE: 0.552593744505032
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  3.677874175104293e-02,  4.465476517398563e+00,  1.322011169891113e-01, 
# 3   ,  3.944761740905874e-02,  4.535544462765466e+00, -9.338711422094052e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; g^-1 * m^2 * min^-0.333333 * nm^-1;               4|3|div|0|cbrt|div; ((surface_area / std_dev) / cbrt(time)); $\left(\frac{ \left(\frac{ surface_{area} }{ std_{dev} } \right) }{ \left(\sqrt[3]{ time }\right) } \right)$; ((surface_area ./ std_dev) ./ nthroot(time, 3)); surface_area,std_dev,time
# 1;  2; Unitless;                                         0|11|div|exp:2.3145607058412e-03,0.0000000000000e+00,8.6888206342560e+02,4.0519534992770e+00; (exp(2.314561e-03*((time+8.688821e+02) / (av_mu_C_critical_surf+4.051953e+00)))); $\left(\exp{ \left(2.315e-03\left(\frac{ time +8.689e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.314561e-03.*((time+8.688821e+02) ./ (av_mu_C_critical_surf+4.051953e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.062451827416920e-01,  4.305175778586816e-01,  8.111111111111109e+00,  0.000000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.928045495140385e-01,  7.085708213972201e+00,  0.000000000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.689750488910044e-01,  6.437793155204364e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.390421984574079e-01,  5.623930336399592e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.201287112789672e-01,  5.109679813462541e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.066576416258129e-01,  4.743406553100871e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.012022650540191e-01,  4.595076938979716e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.920487093129601e-01,  4.346195239790008e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.846029288575206e-01,  4.143747301091064e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.783753788611822e-01,  3.974422585240450e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.756167128240328e-01,  3.899415504905214e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.706673523546194e-01,  3.764844276152587e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.684336353734045e-01,  3.704110360992164e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.663374171001453e-01,  3.647114983405608e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.643645378673021e-01,  3.593473147417914e+00,  0.000000000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.625028332515749e-01,  3.542854106986101e+00,  0.000000000000000e+00
