# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_delta_M1_M2_subsurf^3) / (av_BE_H_subsurf * time)) + a2 * (exp(3.599599e-03*((time+4.794020e+02) / (av_mu_C_critical_subsurf+3.932985e+00)))) + a3 * ((av_BE_H_surf^6) / cbrt(std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.101498859560203; Max AE: 0.400235721053906
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -7.165408537276499e-07, -2.211985147323730e+04,  1.548982256584879e+00,  4.523947629048296e-03, -1.367076444716168e-01, 
# 3   , -1.322392662246329e-06, -1.632280836142771e+04,  2.045979073900481e+00,  2.984089928734505e-03, -1.971788545218756e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV^-1 * min^-1;                                   15|cb|19|0|mult|div; ((av_delta_M1_M2_subsurf^3) / (av_BE_H_subsurf * time)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf}^3\right) }{ \left(av_{BE, H, subsurf} time\right) } \right)$; ((av_delta_M1_M2_subsurf).^3 ./ (av_BE_H_subsurf .* time)); av_delta_M1_M2_subsurf,av_BE_H_subsurf,time
# 2;  2; Unitless;                                         0|12|div|exp:3.5995994941487e-03,0.0000000000000e+00,4.7940196026136e+02,3.9329850999327e+00; (exp(3.599599e-03*((time+4.794020e+02) / (av_mu_C_critical_subsurf+3.932985e+00)))); $\left(\exp{ \left(3.600e-03\left(\frac{ time +4.794e+02 }{ av_{mu, C, critical, subsurf}+3.933e+00 } \right) \right)}\right)$; exp(3.599599e-03.*((time+4.794020e+02) ./ (av_mu_C_critical_subsurf+3.932985e+00))); time,av_mu_C_critical_subsurf
# 3;  2; eV^6 * nm^-0.333333;                              16|sp|3|cbrt|div; ((av_BE_H_surf^6) / cbrt(std_dev)); $\left(\frac{ \left(av_{BE, H, surf}^6\right) }{ \left(\sqrt[3]{ std_{dev} }\right) } \right)$; ((av_BE_H_surf).^6 ./ nthroot(std_dev, 3)); av_BE_H_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  4.504593075420307e-01,  1.532062667037388e+02, -9.782919283260912e-06,  3.377303805571977e-02,  7.041774097860819e+01
PdAg_1_9_100,  3.628741788873400e-01,  3.737541940891143e-01,  2.298094000556082e+02, -6.521946188840609e-06,  3.085629472161143e-02,  7.041774097860819e+01
PdAg_1_9_100,  3.099375324862660e-01,  3.335053878409718e-01,  3.064125334074777e+02, -4.891459641630456e-06,  2.819145030352686e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.856868471553150e-01,  2.901125757170356e-01,  4.596188001112164e+02, -3.260973094420304e-06,  2.353231796633188e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.773647395214370e-01,  2.659455454091210e-01,  6.128250668149553e+02, -2.445729820815228e-06,  1.964318908414824e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.739275035497000e-01,  2.499873426322417e-01,  7.660313335186941e+02, -1.956583856652183e-06,  1.639680706115097e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.438044868292510e-01,  8.426344668705635e+02, -1.778712596956530e-06,  1.498072842418118e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.338066387093544e-01,  9.958407335743022e+02, -1.505064505117063e-06,  1.250489991999433e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.260567421231274e-01,  1.149047000278041e+03, -1.304389237768122e-06,  1.043824556332423e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.650229112638520e-01,  2.198803506025628e-01,  1.302253266981780e+03, -1.150931680383637e-06,  8.713142139270103e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.637375021423530e-01,  2.172455042408199e-01,  1.378856400333649e+03, -1.086991031473435e-06,  7.960648413004616e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.621887653386570e-01,  2.126934193417738e-01,  1.532062667037388e+03, -9.782919283260913e-07,  6.645011436306414e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.609797547787540e-01,  2.107191339679302e-01,  1.608665800389258e+03, -9.317065984058012e-07,  6.071127831877826e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.597681369110620e-01,  2.089152980313237e-01,  1.685268933741127e+03, -8.893562984782649e-07,  5.546806578784329e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.586590858830060e-01,  2.072630624348577e-01,  1.761872067092997e+03, -8.506886333270359e-07,  5.067767320084373e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.564021611090790e-01,  2.057461871689727e-01,  1.838475200444866e+03, -8.152432736050761e-07,  4.630099363613253e-03,  7.041774097860819e+01
