# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_delta_M1_M2_subsurf^3) / (av_mu_C_critical_surf * time)) + a2 * (exp(3.599599e-03*((time+4.794020e+02) / (av_mu_C_critical_subsurf+3.932985e+00)))) + a3 * ((av_mu_C_critical_surf^6) / sqrt(std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.101773706666495; Max AE: 0.436061956530935
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -5.425567675132398e-07, -6.198144093300634e+04,  1.726991745191548e+00,  2.788347229237679e-05,  1.027223929258624e-01, 
# 3   , -1.191263613864978e-06, -4.747043341314505e+04,  2.088753379489831e+00,  1.992445113872881e-05, -4.696835066022512e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV^-1 * min^-1;                                   15|cb|11|0|mult|div; ((av_delta_M1_M2_subsurf^3) / (av_mu_C_critical_surf * time)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf}^3\right) }{ \left(av_{mu, C, critical, surf} time\right) } \right)$; ((av_delta_M1_M2_subsurf).^3 ./ (av_mu_C_critical_surf .* time)); av_delta_M1_M2_subsurf,av_mu_C_critical_surf,time
# 2;  2; Unitless;                                         0|12|div|exp:3.5995994941487e-03,0.0000000000000e+00,4.7940196026136e+02,3.9329850999327e+00; (exp(3.599599e-03*((time+4.794020e+02) / (av_mu_C_critical_subsurf+3.932985e+00)))); $\left(\exp{ \left(3.600e-03\left(\frac{ time +4.794e+02 }{ av_{mu, C, critical, subsurf}+3.933e+00 } \right) \right)}\right)$; exp(3.599599e-03.*((time+4.794020e+02) ./ (av_mu_C_critical_subsurf+3.932985e+00))); time,av_mu_C_critical_subsurf
# 3;  2; eV^6 * nm^-0.5;                                   11|sp|3|sqrt|div; ((av_mu_C_critical_surf^6) / sqrt(std_dev)); $\left(\frac{ \left(av_{mu, C, critical, surf}^6\right) }{ \left(\sqrt{ std_{dev} }\right) } \right)$; ((av_mu_C_critical_surf).^6 ./ sqrt(std_dev)); av_mu_C_critical_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  4.465088730679546e-01,  1.532062667037388e+02, -3.457339687470293e-06,  3.377303805571977e-02,  2.555382949986874e+03
PdAg_1_9_100,  3.628741788873400e-01,  3.699998213172680e-01,  2.298094000556082e+02, -2.304893124980195e-06,  3.085629472161143e-02,  2.555382949986874e+03
PdAg_1_9_100,  3.099375324862660e-01,  3.296409461858903e-01,  3.064125334074777e+02, -1.728669843735147e-06,  2.819145030352686e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.856868471553150e-01,  2.857963907322609e-01,  4.596188001112164e+02, -1.152446562490098e-06,  2.353231796633188e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.773647395214370e-01,  2.611391995245617e-01,  6.128250668149553e+02, -8.643349218675733e-07,  1.964318908414824e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.739275035497000e-01,  2.447350566910677e-01,  7.660313335186941e+02, -6.914679374940586e-07,  1.639680706115097e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.725813187048580e-01,  2.383517409238063e-01,  8.426344668705635e+02, -6.286072159036896e-07,  1.498072842418118e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.699577938430830e-01,  2.279987315111869e-01,  9.958407335743022e+02, -5.318984134569681e-07,  1.250489991999433e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.679801391469650e-01,  2.199508027207556e-01,  1.149047000278041e+03, -4.609786249960391e-07,  1.043824556332423e-02,  2.555382949986874e+03
PdAg_1_9_100,  2.650229112638520e-01,  2.135270144372727e-01,  1.302253266981780e+03, -4.067458455847404e-07,  8.713142139270103e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.637375021423530e-01,  2.107853083462434e-01,  1.378856400333649e+03, -3.841488541633660e-07,  7.960648413004616e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.621887653386570e-01,  2.060490810996104e-01,  1.532062667037388e+03, -3.457339687470293e-07,  6.645011436306414e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.609797547787540e-01,  2.039959944673426e-01,  1.608665800389258e+03, -3.292704464257422e-07,  6.071127831877826e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.597681369110620e-01,  2.021212682281852e-01,  1.685268933741127e+03, -3.143036079518448e-07,  5.546806578784329e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.586590858830060e-01,  2.004054102469272e-01,  1.761872067092997e+03, -3.006382336930690e-07,  5.067767320084373e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.564021611090790e-01,  1.988315834620601e-01,  1.838475200444866e+03, -2.881116406225244e-07,  4.630099363613253e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.562832756759230e-01,  1.973851474177634e-01,  1.915078333796735e+03, -2.765871749976234e-07,  4.230229756597220e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.518192543109310e-01,  1.948247782751437e-01,  2.068284600500474e+03, -2.560992361089106e-07,  3.531109986577412e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.479231710514490e-01,  1.926391036600911e-01,  2.221490867204213e+03, -2.384372198255375e-07,  2.947532038386618e-03,  2.555382949986874e+03
PdAg_1_9_100,  2.453013105463630e-01,  1.916652999312094e-01,  2.298094000556082e+03, -2.304893124980195e-07,  2.692974115263120e-03,  2.555382949986874e+03
PdAg_1_5_100,  5.770639017232591e-01,  7.399772862959015e-01,  9.122135255363506e+01, -6.126625514403375e-06,  1.004388212046223e-01,  3.016492805969836e+03
PdAg_1_5_100,  2.303037511075600e-01,  3.973807732552493e-01,  4.561067627681754e+02, -1.225325102880675e-06,  7.808267494754956e-02,  3.016492805969836e+03
PdAg_1_5_100,  2.261682956735730e-01,  3.764469643000395e-01,  5.473281153218104e+02, -1.021104252400562e-06,  7.331923954919085e-02,  3.016492805969836e+03
PdAg_1_5_100,  2.236877838869310e-01,  3.596315514929041e-01,  6.385494678754454e+02, -8.752322163433393e-07,  6.884639763792230e-02,  3.016492805969836e+03
PdAg_1_5_100,  2.195369868150280e-01,  3.455477154591698e-01,  7.297708204290805e+02, -7.658281893004219e-07,  6.464642155131603e-02,  3.016492805969836e+03
PdAg_1_5_100,  2.141497061269980e-01,  3.227491284746502e-01,  9.122135255363507e+02, -6.126625514403375e-07,  5.699949760917264e-02,  3.016492805969836e+03
PdAg_1_5_100,  2.121100061106850e-01,  3.132422886159492e-01,  1.003434878089986e+03, -5.569659558548523e-07,  5.352224193392099e-02,  3.016492805969836e+03
PdAg_1_5_100,  2.024470208367670e-01,  2.772490604988119e-01,  1.459541640858161e+03, -3.829140946502109e-07,  3.907065047655401e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.973081438407180e-01,  2.617423163704853e-01,  1.733205698519066e+03, -3.224539744422829e-07,  3.234747967699721e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.963439311488950e-01,  2.531318418592874e-01,  1.915648403626337e+03, -2.917440721144464e-07,  2.852114697560127e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.926261364587620e-01,  2.456340563776147e-01,  2.098091108733607e+03, -2.663750223653641e-07,  2.514742517582631e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.905512205622570e-01,  2.422472228346831e-01,  2.189312461287242e+03, -2.552760631001406e-07,  2.361330591901841e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.891192110734720e-01,  2.390770510482315e-01,  2.280533813840877e+03, -2.450650205761350e-07,  2.217277564309637e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.864446344370330e-01,  2.333233942117018e-01,  2.462976518948147e+03, -2.269120560890139e-07,  1.954999274405567e-02,  3.016492805969836e+03
PdAg_1_5_100,  1.846523109974680e-01,  2.282607203985583e-01,  2.645419224055417e+03, -2.112629487725302e-07,  1.723745472577450e-02,  3.016492805969836e+03
PdAg_1_1_100,  1.535896786579120e+00,  1.327336087497967e+00,  3.789473684210525e+02, -3.370379026217228e-06,  4.010726131831658e-01,  1.159357955553821e+04
PdAg_1_1_100,  1.542341149952750e+00,  1.205563063364963e+00,  7.578947368421051e+02, -1.685189513108614e-06,  3.911611880395706e-01,  1.159357955553821e+04
PdAg_1_1_100,  1.385113175840640e+00,  1.093421569139298e+00,  1.894736842105263e+03, -6.740758052434456e-07,  3.628724550891744e-01,  1.159357955553821e+04
PdAg_1_1_100,  1.208605384312000e+00,  1.050482590362718e+00,  2.652631578947368e+03, -4.814827180310326e-07,  3.451592373601061e-01,  1.159357955553821e+04
PdAg_1_1_100,  1.124408621718650e+00,  1.031815933624938e+00,  3.031578947368420e+03, -4.212973782771535e-07,  3.366295601114809e-01,  1.159357955553821e+04
PdAg_1_1_100,  1.055882869290930e+00,  1.014342277884237e+00,  3.410526315789473e+03, -3.744865584685809e-07,  3.283106707720022e-01,  1.159357955553821e+04
PdAg_1_1_100,  1.010936655602070e+00,  9.978039355433251e-01,  3.789473684210526e+03, -3.370379026217228e-07,  3.201973602884610e-01,  1.159357955553821e+04
