# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * (exp(5.265098e+01*((av_E_b_C_subsurf-3.951528e+00) / (time+6.397272e+02))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.147083446834682; Max AE: 0.695308373851749
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  1.065335199474833e-06,  8.130500608882983e+00, -8.234427120098360e+00, 
# 3   ,  1.448224238874638e-06,  8.143193431963716e+00, -8.433347523987569e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; Unitless;                                         13|0|div|exp:5.2650984865310e+01,0.0000000000000e+00,-3.9515275719134e+00,6.3972720648548e+02; (exp(5.265098e+01*((av_E_b_C_subsurf-3.951528e+00) / (time+6.397272e+02)))); $\left(\exp{ \left(5.265e+01\left(\frac{ av_{E, b, C, subsurf} -3.952e+00 }{ time+6.397e+02 } \right) \right)}\right)$; exp(5.265098e+01.*((av_E_b_C_subsurf-3.951528e+00) ./ (time+6.397272e+02))); av_E_b_C_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.855900461589555e-01, -7.660313335186942e+01,  1.060217468633330e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.753083504747740e-01, -1.532062667037388e+02,  1.058962922553020e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.654428837391783e-01, -2.298094000556082e+02,  1.057759569993086e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.559686841166461e-01, -3.064125334074777e+02,  1.056604340806101e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.296723097006964e-01, -5.362219334630859e+02,  1.053400165365238e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.215499944511676e-01, -6.128250668149553e+02,  1.052411209380610e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.061667521863609e-01, -7.660313335186941e+02,  1.050539242700049e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.850264284051472e-01, -9.958407335743022e+02,  1.047969228780447e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.720746143464404e-01, -1.149047000278041e+03,  1.046396312345752e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.541454694898205e-01, -1.378856400333649e+03,  1.044221253064132e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.377999359636165e-01, -1.608665800389258e+03,  1.042240967930697e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.228344393676985e-01, -1.838475200444866e+03,  1.040430418585582e+00
PdAg_1_9_100,  2.537741737812260e-01,  2.135389529025268e-01, -1.991681467148604e+03,  1.039307207251400e+00
PdAg_1_9_100,  2.518192543109310e-01,  2.090788606409045e-01, -2.068284600500474e+03,  1.038768681463395e+00
PdAg_1_9_100,  2.496764650829220e-01,  2.047371075367685e-01, -2.144887733852343e+03,  1.038244710641091e+00
PdAg_1_9_100,  2.479231710514490e-01,  2.005089604758571e-01, -2.221490867204213e+03,  1.037734712641456e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.963899354054914e-01, -2.298094000556082e+03,  1.037238135954455e+00
PdAg_1_5_100,  5.770639017232591e-01,  5.478107091756809e-01, -9.122135255363506e+01,  1.080171496573866e+00
PdAg_1_5_100,  3.293542674131830e-01,  5.340103098023057e-01, -1.824427051072701e+02,  1.078486087677815e+00
PdAg_1_5_100,  2.398208440226360e-01,  5.080675288046965e-01, -3.648854102145402e+02,  1.075319195551414e+00
