# c0 + a0 * (av_E_def_subsurf * time) + a1 * (av_mu_C_critical_subsurf * av_E_coh)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.216125761543326; Max AE: 0.546468585939781
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.017313723809523e-03,  1.626927117179317e-01,  2.687432602149781e+00, 
# 3   ,  6.069738124426734e-03,  1.504627749722493e-01,  2.581754171485630e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; atom^-1 * eV^2;                                   12|9|mult; (av_mu_C_critical_subsurf * av_E_coh); $\left(av_{mu, C, critical, subsurf} av_{E, coh}\right)$; (av_mu_C_critical_subsurf .* av_E_coh); av_mu_C_critical_subsurf,av_E_coh
# Number of Samples Per Task
# Task, n_samples               
# 2   , 215                   
# 3   , 217                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.902210412358061e-01,  2.781000000000000e+00, -1.357395600000000e+01
PdAg_1_9_100,  4.212956441336370e-01,  5.013931907017201e-01,  5.561999999999999e+00, -1.357395600000000e+01
PdAg_1_9_100,  4.889175556194310e-01,  5.125653401676346e-01,  8.343000000000000e+00, -1.357395600000000e+01
PdAg_1_9_100,  5.056601140297000e-01,  5.237374896335486e-01,  1.112400000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.343009987338970e-01,  5.460817885653771e-01,  1.668600000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.224295719363120e-01,  5.572539380312916e-01,  1.946700000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.245052994310410e-01,  5.684260874972057e-01,  2.224800000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.324653140763990e-01,  5.907703864290342e-01,  2.781000000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.309811253181910e-01,  6.019425358949487e-01,  3.059100000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.311850747278510e-01,  6.242868348267773e-01,  3.615300000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.354507873556270e-01,  6.466311337586058e-01,  4.171500000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.357515610659280e-01,  6.689754326904344e-01,  4.727699999999999e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.338785022320920e-01,  6.801475821563484e-01,  5.005800000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.372121836650180e-01,  7.024918810881770e-01,  5.562000000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.374193757726820e-01,  7.136640305540914e-01,  5.840100000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.370904880212340e-01,  7.248361800200055e-01,  6.118200000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.357670351206070e-01,  7.360083294859200e-01,  6.396299999999999e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.243066765750370e-01,  7.471804789518345e-01,  6.674400000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.397703104721880e-01,  7.583526284177485e-01,  6.952499999999999e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.406782826954460e-01,  7.695247778836630e-01,  7.230600000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.449528999218350e-01,  7.806969273495771e-01,  7.508699999999999e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.492079417796780e-01,  7.918690768154916e-01,  7.786799999999999e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.484023401121820e-01,  8.030412262814056e-01,  8.064900000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.513618316460450e-01,  8.142133757473201e-01,  8.342999999999999e+01, -1.357395600000000e+01
PdAg_1_5_100,  2.374958845661730e-01,  3.255055815597450e-01,  2.744999999999996e+00, -1.458550000000000e+01
PdAg_1_5_100,  4.808701435604430e-01,  3.365331077316021e-01,  5.489999999999991e+00, -1.458550000000000e+01
PdAg_1_5_100,  5.367991849441260e-01,  3.585881600753163e-01,  1.097999999999998e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.423108450430540e-01,  3.696156862471734e-01,  1.372499999999998e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.500936576470050e-01,  3.806432124190305e-01,  1.646999999999997e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.645630120222940e-01,  3.916707385908876e-01,  1.921499999999997e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.557853067401700e-01,  4.026982647627451e-01,  2.195999999999997e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.582907011266131e-01,  4.137257909346022e-01,  2.470499999999996e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.565493546496050e-01,  4.247533171064593e-01,  2.744999999999996e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.598480318312991e-01,  4.357808432783164e-01,  3.019499999999995e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.602593885180470e-01,  4.578358956220306e-01,  3.568499999999995e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.579843483292020e-01,  4.909184741376019e-01,  4.391999999999993e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.640054092902220e-01,  5.019460003094589e-01,  4.666499999999993e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.619488591146869e-01,  5.240010526531731e-01,  5.215499999999992e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.722223250453750e-01,  5.460561049968873e-01,  5.764499999999990e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.681292230354840e-01,  5.570836311687444e-01,  6.038999999999990e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.688182680948790e-01,  5.681111573406015e-01,  6.313499999999990e+01, -1.458550000000000e+01
PdAg_1_5_100,  5.669074847793930e-01,  5.791386835124590e-01,  6.587999999999990e+01, -1.458550000000000e+01
