# c0 + a0 * (av_E_def_subsurf * time) + a1 * (av_mu_C_critical_subsurf * av_E_coh)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.218183311003458; Max AE: 0.559613175265957
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  3.671155927356333e-03,  1.637770622326443e-01,  2.726811441760427e+00, 
# 3   ,  6.152040080296582e-03,  1.499491699872114e-01,  2.575352650318603e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; atom^-1 * eV^2;                                   12|9|mult; (av_mu_C_critical_subsurf * av_E_coh); $\left(av_{mu, C, critical, subsurf} av_{E, coh}\right)$; (av_mu_C_critical_subsurf .* av_E_coh); av_mu_C_critical_subsurf,av_E_coh
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.139182898392298e-01,  2.781000000000000e+00, -1.357395600000000e+01
PdAg_1_9_100,  4.889175556194310e-01,  5.343372591071858e-01,  8.343000000000000e+00, -1.357395600000000e+01
PdAg_1_9_100,  5.056601140297000e-01,  5.445467437411637e-01,  1.112400000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.343009987338970e-01,  5.649657130091197e-01,  1.668600000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.224295719363120e-01,  5.751751976430977e-01,  1.946700000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.324653140763990e-01,  6.058036515450316e-01,  2.781000000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.309811253181910e-01,  6.160131361790095e-01,  3.059100000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.311850747278510e-01,  6.364321054469655e-01,  3.615300000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.357515610659280e-01,  6.772700439828774e-01,  4.727699999999999e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.372121836650180e-01,  7.078984978848113e-01,  5.562000000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.374193757726820e-01,  7.181079825187888e-01,  5.840100000000000e+01, -1.357395600000000e+01
PdAg_1_9_100,  5.370904880212340e-01,  7.283174671527668e-01,  6.118200000000000e+01, -1.357395600000000e+01
