# c0 + a0 * (av_E_def_subsurf * time) + a1 * (av_E_b_C_subsurf * std_dev) + a2 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.163865853942262; Max AE: 0.626818724884527
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  4.005088194107258e-03,  3.534800788608573e-02, -2.700998310976720e-01,  1.427161423584007e+00, 
# 3   ,  6.144036501232276e-03,  3.950383502509699e-02, -2.542402325293608e-01,  1.322032890303535e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; eV * nm;                                          13|3|mult; (av_E_b_C_subsurf * std_dev); $\left(av_{E, b, C, subsurf} std_{dev}\right)$; (av_E_b_C_subsurf .* std_dev); av_E_b_C_subsurf,std_dev
# 2;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.670229261511660e-01,  2.781000000000000e+00,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  3.892992266867906e-01,  8.343000000000000e+00,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.056601140297000e-01,  4.004373769546029e-01,  1.112400000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.227136774902274e-01,  1.668600000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.338518277580395e-01,  1.946700000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.672662785614763e-01,  2.781000000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.784044288292886e-01,  3.059100000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.006807293649131e-01,  3.615300000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.452333304361623e-01,  4.727699999999999e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.786477812395991e-01,  5.562000000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.897859315074114e-01,  5.840100000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.370904880212340e-01,  6.009240817752237e-01,  6.118200000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.120622320430360e-01,  6.396299999999999e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.232003823108483e-01,  6.674400000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.397703104721880e-01,  6.343385325786606e-01,  6.952499999999999e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  6.454766828464729e-01,  7.230600000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.449528999218350e-01,  6.566148331142851e-01,  7.508699999999999e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.492079417796780e-01,  6.677529833820974e-01,  7.786799999999999e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.484023401121820e-01,  6.788911336499097e-01,  8.064900000000000e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_9_100,  5.513618316460450e-01,  6.900292839177220e-01,  8.342999999999999e+01,  1.403100000000000e+01,  5.802464000000000e+00
PdAg_1_5_100,  2.374958845661730e-01,  3.881500138683257e-01,  2.744999999999996e+00,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  4.808701435604430e-01,  3.991439809611502e-01,  5.489999999999991e+00,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.367991849441260e-01,  4.211319151467993e-01,  1.097999999999998e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.423108450430540e-01,  4.321258822396233e-01,  1.372499999999998e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.500936576470050e-01,  4.431198493324479e-01,  1.646999999999997e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.645630120222940e-01,  4.541138164252724e-01,  1.921499999999997e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.557853067401700e-01,  4.651077835180969e-01,  2.195999999999997e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.582907011266131e-01,  4.761017506109210e-01,  2.470499999999996e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.598480318312991e-01,  4.980896847965700e-01,  3.019499999999995e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.602593885180470e-01,  5.200776189822186e-01,  3.568499999999995e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.579843483292020e-01,  5.530595202606922e-01,  4.391999999999993e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.640054092902220e-01,  5.640534873535162e-01,  4.666499999999993e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.722223250453750e-01,  6.080293557248139e-01,  5.764499999999990e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.681292230354840e-01,  6.190233228176384e-01,  6.038999999999990e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.688182680948790e-01,  6.300172899104629e-01,  6.313499999999990e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.756184173897150e-01,  6.739931582817605e-01,  7.411499999999988e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.748142709268410e-01,  6.849871253745846e-01,  7.685999999999987e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_5_100,  5.815291194929140e-01,  6.959810924674091e-01,  7.960499999999988e+01,  1.963333333333332e+01,  6.456888888888880e+00
PdAg_1_1_100, -9.717271086694580e-01, -4.743024021598792e-01,  2.565000000000000e+00,  2.426000000000000e+01,  1.025280000000000e+01
PdAg_1_1_100, -9.805113751193140e-01, -4.640293509419939e-01,  5.130000000000000e+00,  2.426000000000000e+01,  1.025280000000000e+01
PdAg_1_1_100, -4.356272700356220e-01, -3.818449411989133e-01,  2.565000000000000e+01,  2.426000000000000e+01,  1.025280000000000e+01
PdAg_1_1_100, -3.942969479298420e-01, -3.715718899810281e-01,  2.821500000000000e+01,  2.426000000000000e+01,  1.025280000000000e+01
