# c0 + a0 * (av_E_def_subsurf * time) + a1 * (av_B_0 * std_dev) + a2 * (av_mu_C_critical_subsurf * av_IP)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.164247868210835; Max AE: 0.549121799702913
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  4.456284301175184e-03,  1.497485147234113e-03,  9.618397537048579e-02,  3.179863060577827e+00, 
# 3   ,  6.380045249429633e-03,  1.423758325549262e-03,  9.087789899776778e-02,  3.094001033616530e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; Gpa * nm;                                         10|3|mult; (av_B_0 * std_dev); $\left(av_{B, 0} std_{dev}\right)$; (av_B_0 .* std_dev); av_B_0,std_dev
# 2;  1; eV^2;                                             12|5|mult; (av_mu_C_critical_subsurf * av_IP); $\left(av_{mu, C, critical, subsurf} av_{IP}\right)$; (av_mu_C_critical_subsurf .* av_IP); av_mu_C_critical_subsurf,av_IP
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.859345147875592e-01,  2.781000000000000e+00,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  4.889175556194310e-01,  4.107203680706959e-01,  8.343000000000000e+00,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.056601140297000e-01,  4.231132947122640e-01,  1.112400000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.343009987338970e-01,  4.478991479954002e-01,  1.668600000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.224295719363120e-01,  4.602920746369683e-01,  1.946700000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.324653140763990e-01,  4.974708545616731e-01,  2.781000000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.309811253181910e-01,  5.098637812032412e-01,  3.059100000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.311850747278510e-01,  5.346496344863774e-01,  3.615300000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.357515610659280e-01,  5.842213410526502e-01,  4.727699999999999e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.372121836650180e-01,  6.214001209773550e-01,  5.562000000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.374193757726820e-01,  6.337930476189231e-01,  5.840100000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.370904880212340e-01,  6.461859742604912e-01,  6.118200000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.357670351206070e-01,  6.585789009020593e-01,  6.396299999999999e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.243066765750370e-01,  6.709718275436278e-01,  6.674400000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.397703104721880e-01,  6.833647541851959e-01,  6.952499999999999e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.406782826954460e-01,  6.957576808267640e-01,  7.230600000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.449528999218350e-01,  7.081506074683321e-01,  7.508699999999999e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.492079417796780e-01,  7.205435341099007e-01,  7.786799999999999e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.484023401121820e-01,  7.329364607514688e-01,  8.064900000000000e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_9_100,  5.513618316460450e-01,  7.453293873930369e-01,  8.342999999999999e+01,  3.234600000000000e+02, -3.421253910000000e+01
PdAg_1_5_100,  2.374958845661730e-01,  3.880671004371731e-01,  2.744999999999996e+00,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  4.808701435604430e-01,  4.002996008438990e-01,  5.489999999999991e+00,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.367991849441260e-01,  4.247646016573507e-01,  1.097999999999998e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.423108450430540e-01,  4.369971020640765e-01,  1.372499999999998e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.500936576470050e-01,  4.492296024708024e-01,  1.646999999999997e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.645630120222940e-01,  4.614621028775283e-01,  1.921499999999997e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.557853067401700e-01,  4.736946032842541e-01,  2.195999999999997e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.582907011266131e-01,  4.859271036909800e-01,  2.470499999999996e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.598480318312991e-01,  5.103921045044316e-01,  3.019499999999995e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.602593885180470e-01,  5.348571053178833e-01,  3.568499999999995e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.579843483292020e-01,  5.715546065380609e-01,  4.391999999999993e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.640054092902220e-01,  5.837871069447867e-01,  4.666499999999993e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.722223250453750e-01,  6.327171085716902e-01,  5.764499999999990e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.681292230354840e-01,  6.449496089784160e-01,  6.038999999999990e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.688182680948790e-01,  6.571821093851419e-01,  6.313499999999990e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.756184173897150e-01,  7.061121110120453e-01,  7.411499999999988e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.748142709268410e-01,  7.183446114187712e-01,  7.685999999999987e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_5_100,  5.815291194929140e-01,  7.305771118254970e-01,  7.960499999999988e+01,  4.553333333333320e+02, -3.624183083333332e+01
PdAg_1_1_100, -9.717271086694580e-01, -4.428199446489156e-01,  2.565000000000000e+00,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -9.805113751193140e-01, -4.313895754164009e-01,  5.130000000000000e+00,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -4.356272700356220e-01, -3.399466215562867e-01,  2.565000000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -3.942969479298420e-01, -3.285162523237721e-01,  2.821500000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -3.578780939481840e-01, -3.170858830912575e-01,  3.078000000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -3.303847196540950e-01, -3.056555138587437e-01,  3.334500000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -2.576351643592600e-01, -2.599340369286862e-01,  4.360500000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -2.410399546736480e-01, -2.485036676961716e-01,  4.617000000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -2.257372496018260e-01, -2.370732984636570e-01,  4.873500000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -2.107963275440860e-01, -2.256429292311432e-01,  5.130000000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -1.764119820223890e-01, -1.913518215336003e-01,  5.899500000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -1.281630446115000e-01, -1.456303446035427e-01,  6.925500000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -1.177762941936660e-01, -1.341999753710281e-01,  7.182000000000001e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAg_1_1_100, -1.052140905390360e-01, -1.113392369059998e-01,  7.695000000000000e+01,  5.756000000000000e+02, -4.674443750000000e+01
PdAu_1_9_100, -4.245180861522260e-01, -1.743771095769563e-01,  3.753000000000000e+00,  5.049000000000000e+02, -4.290782160000000e+01
PdAu_1_9_100, -9.100467303064901e-02, -1.576526745946458e-01,  7.506000000000000e+00,  5.049000000000000e+02, -4.290782160000000e+01
PdAu_1_9_100, -3.733330199173200e-02, -1.242038046300255e-01,  1.501200000000000e+01,  5.049000000000000e+02, -4.290782160000000e+01
PdAu_1_9_100, -1.007560701613500e-02, -1.074793696477149e-01,  1.876500000000000e+01,  5.049000000000000e+02, -4.290782160000000e+01
PdAu_1_9_100,  4.079877212234700e-02, -7.403049968309379e-02,  2.627100000000000e+01,  5.049000000000000e+02, -4.290782160000000e+01
