# c0 + a0 * (av_E_def_subsurf * time) + a1 * (surface_area / std_dev) + a2 * (time / av_bulk_int_dist) + a3 * (time / av_delta_M1_M2_subsurf) + a4 * (av_mu_C_critical_subsurf * av_E_coh)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.110123646823504; Max AE: 0.526266531267106
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  5.827819318223024e-02, -9.021526810692114e-03, -7.233922707463179e-02,  9.556303142148826e-04,  1.711498258340582e-01,  3.120107453962152e+00, 
# 3   ,  1.523303928112291e-01, -9.382306580032529e-03, -2.030701975058773e-01,  2.791911792428729e-03,  1.885450816983878e-01,  3.627253852046248e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 1;  1; g^-1 * m^2 * nm^-1;                               4|3|div; (surface_area / std_dev); $\left(\frac{ surface_{area} }{ std_{dev} } \right)$; (surface_area ./ std_dev); surface_area,std_dev
# 2;  1; A^-1 * min;                                       0|8|div; (time / av_bulk_int_dist); $\left(\frac{ time }{ av_{bulk, int, dist} } \right)$; (time ./ av_bulk_int_dist); time,av_bulk_int_dist
# 3;  1; min;                                              0|15|div; (time / av_delta_M1_M2_subsurf); $\left(\frac{ time }{ av_{delta, M1, M2, subsurf} } \right)$; (time ./ av_delta_M1_M2_subsurf); time,av_delta_M1_M2_subsurf
# 4;  1; atom^-1 * eV^2;                                   12|9|mult; (av_mu_C_critical_subsurf * av_E_coh); $\left(av_{mu, C, critical, subsurf} av_{E, coh}\right)$; (av_mu_C_critical_subsurf .* av_E_coh); av_mu_C_critical_subsurf,av_E_coh
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.782303382518135e-01,  2.781000000000000e+00,  2.433333333333333e+01,  4.694998956666899e+00,  1.866703539823009e+02, -1.357395600000000e+01
PdAg_1_9_100,  4.889175556194310e-01,  5.798841555098255e-01,  8.343000000000000e+00,  2.433333333333333e+01,  1.408499687000070e+01,  5.600110619469027e+02, -1.357395600000000e+01
PdAg_1_9_100,  5.056601140297000e-01,  5.807110641388309e-01,  1.112400000000000e+01,  2.433333333333333e+01,  1.877999582666759e+01,  7.466814159292036e+02, -1.357395600000000e+01
PdAg_1_9_100,  5.343009987338970e-01,  5.823648813968429e-01,  1.668600000000000e+01,  2.433333333333333e+01,  2.816999374000139e+01,  1.120022123893805e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.224295719363120e-01,  5.831917900258483e-01,  1.946700000000000e+01,  2.433333333333333e+01,  3.286499269666829e+01,  1.306692477876106e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.324653140763990e-01,  5.856725159128648e-01,  2.781000000000000e+01,  2.433333333333333e+01,  4.694998956666898e+01,  1.866703539823009e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.309811253181910e-01,  5.864994245418707e-01,  3.059100000000000e+01,  2.433333333333333e+01,  5.164498852333588e+01,  2.053373893805310e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.311850747278510e-01,  5.881532417998823e-01,  3.615300000000000e+01,  2.433333333333333e+01,  6.103498643666968e+01,  2.426714601769911e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.357515610659280e-01,  5.914608763159050e-01,  4.727699999999999e+01,  2.433333333333333e+01,  7.981498226333727e+01,  3.173396017699115e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.372121836650180e-01,  5.939416022029229e-01,  5.562000000000000e+01,  2.433333333333333e+01,  9.389997913333796e+01,  3.733407079646018e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.374193757726820e-01,  5.947685108319283e-01,  5.840100000000000e+01,  2.433333333333333e+01,  9.859497809000487e+01,  3.920077433628319e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.370904880212340e-01,  5.955954194609336e-01,  6.118200000000000e+01,  2.433333333333333e+01,  1.032899770466718e+02,  4.106747787610620e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.357670351206070e-01,  5.964223280899390e-01,  6.396299999999999e+01,  2.433333333333333e+01,  1.079849760033387e+02,  4.293418141592921e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.243066765750370e-01,  5.972492367189457e-01,  6.674400000000000e+01,  2.433333333333333e+01,  1.126799749600056e+02,  4.480088495575222e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.397703104721880e-01,  5.980761453479511e-01,  6.952499999999999e+01,  2.433333333333333e+01,  1.173749739166725e+02,  4.666758849557523e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.406782826954460e-01,  5.989030539769560e-01,  7.230600000000000e+01,  2.433333333333333e+01,  1.220699728733394e+02,  4.853429203539823e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.449528999218350e-01,  5.997299626059622e-01,  7.508699999999999e+01,  2.433333333333333e+01,  1.267649718300063e+02,  5.040099557522124e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.492079417796780e-01,  6.005568712349689e-01,  7.786799999999999e+01,  2.433333333333333e+01,  1.314599707866732e+02,  5.226769911504425e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.484023401121820e-01,  6.013837798639752e-01,  8.064900000000000e+01,  2.433333333333333e+01,  1.361549697433400e+02,  5.413440265486726e+03, -1.357395600000000e+01
PdAg_1_9_100,  5.513618316460450e-01,  6.022106884929779e-01,  8.342999999999999e+01,  2.433333333333333e+01,  1.408499687000070e+02,  5.600110619469026e+03, -1.357395600000000e+01
PdAg_1_5_100,  2.374958845661730e-01,  4.497100808969774e-01,  2.744999999999996e+00,  1.950000000000000e+01,  4.709849982556117e+00,  1.910377358490557e+02, -1.458550000000000e+01
PdAg_1_5_100,  4.808701435604430e-01,  4.515382653429538e-01,  5.489999999999991e+00,  1.950000000000000e+01,  9.419699965112233e+00,  3.820754716981114e+02, -1.458550000000000e+01
PdAg_1_5_100,  5.367991849441260e-01,  4.551946342349085e-01,  1.097999999999998e+01,  1.950000000000000e+01,  1.883939993022447e+01,  7.641509433962228e+02, -1.458550000000000e+01
PdAg_1_5_100,  5.423108450430540e-01,  4.570228186808853e-01,  1.372499999999998e+01,  1.950000000000000e+01,  2.354924991278058e+01,  9.551886792452785e+02, -1.458550000000000e+01
PdAg_1_5_100,  5.500936576470050e-01,  4.588510031268627e-01,  1.646999999999997e+01,  1.950000000000000e+01,  2.825909989533670e+01,  1.146226415094334e+03, -1.458550000000000e+01
