# c0 + a0 * (particle_diameter * time) + a1 * (total_metal_loading * time) + a2 * (time / av_E_def_subsurf) + a3 * (av_E_b_C_subsurf * std_dev) + a4 * (1.0 / av_BE_H_subsurf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.113164390571367; Max AE: 0.563135633666265
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  4.498433267759548e-04,  2.938947761087923e-01, -1.202007701239974e-03,  2.644697741645263e-02, -8.215948274715341e+00, -5.657421130638534e+00, 
# 3   ,  7.190650797828875e-04,  5.946865423109273e-01, -2.388200844850878e-03,  3.209852142038670e-02, -8.219426914509569e+00, -5.573676366039116e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 1;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 2;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 3;  1; eV * nm;                                          13|3|mult; (av_E_b_C_subsurf * std_dev); $\left(av_{E, b, C, subsurf} std_{dev}\right)$; (av_E_b_C_subsurf .* std_dev); av_E_b_C_subsurf,std_dev
# 4;  1; eV^-1;                                            19|inv; (1.0 / av_BE_H_subsurf); $\left(\frac{1.0}{ av_{BE, H, subsurf} }\right)$; (av_BE_H_subsurf).^(-1); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.591036755602373e-01,  8.100000000000000e+01,  1.714500000000000e-01,  6.553398058252428e+01,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  4.212956441336370e-01,  4.671568950398375e-01,  1.620000000000000e+02,  3.429000000000000e-01,  1.310679611650486e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  4.889175556194310e-01,  4.752101145194367e-01,  2.430000000000000e+02,  5.143500000000000e-01,  1.966019417475728e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.343009987338970e-01,  4.993697729582363e-01,  4.860000000000000e+02,  1.028700000000000e+00,  3.932038834951456e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.074229924378355e-01,  5.670000000000000e+02,  1.200150000000000e+00,  4.587378640776699e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.154762119174356e-01,  6.480000000000000e+02,  1.371600000000000e+00,  5.242718446601942e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.315826508766341e-01,  8.100000000000000e+02,  1.714500000000000e+00,  6.553398058252427e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.396358703562343e-01,  8.910000000000000e+02,  1.885950000000000e+00,  7.208737864077671e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.718487482746339e-01,  1.215000000000000e+03,  2.571750000000000e+00,  9.830097087378641e+02,  1.403100000000000e+01, -6.983240223463687e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.879551872338324e-01,  1.377000000000000e+03,  2.914650000000000e+00,  1.114077669902913e+03,  1.403100000000000e+01, -6.983240223463687e-01
