# c0 + a0 * ((av_BE_H_subsurf + av_E_b_C_subsurf) + (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_delta_M1_M2_subsurf / av_EA) * (av_delta_M1_M2_subsurf * time)) + a2 * (cbrt(total_metal_loading) * (av_E_def_subsurf * time)) + a3 * ((av_E_def_subsurf * time) / (av_BE_H_surf - av_EA)) + a4 * (exp(1.954388e-01*((std_dev+3.748066e+01) / (av_BE_H_surf+5.362436e-01))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.107450142223642; Max AE: 0.575095068060427
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  3.622230151625523e-01,  7.295334889328177e-01,  1.615373633184435e-01,  1.722192907255257e-01, -1.126076177829633e+02, -4.872781433027216e-01, 
# 3   ,  1.304022510104908e-01,  4.177391606349468e+00,  2.947895619990739e-01,  5.268647509274339e-01, -1.264059854137597e+02,  9.594119895749484e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               19|13|add|18|16|abd|add; ((av_BE_H_subsurf + av_E_b_C_subsurf) + (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\left(av_{BE, H, subsurf} + av_{E, b, C, subsurf}\right) + \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right)\right)$; ((av_BE_H_subsurf + av_E_b_C_subsurf) + abs(av_d_band_center_surf - av_BE_H_surf)); av_BE_H_subsurf,av_E_b_C_subsurf,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV^-1 * min;                                      15|6|div|15|0|mult|mult; ((av_delta_M1_M2_subsurf / av_EA) * (av_delta_M1_M2_subsurf * time)); $\left(\left(\frac{ av_{delta, M1, M2, subsurf} }{ av_{EA} } \right) \left(av_{delta, M1, M2, subsurf} time\right)\right)$; ((av_delta_M1_M2_subsurf ./ av_EA) .* (av_delta_M1_M2_subsurf .* time)); av_delta_M1_M2_subsurf,av_EA,av_delta_M1_M2_subsurf,time
# 2;  2; eV * min;                                         1|cbrt|14|0|mult|mult; (cbrt(total_metal_loading) * (av_E_def_subsurf * time)); $\left(\left(\sqrt[3]{ total_{metal, loading} }\right) \left(av_{E, def, subsurf} time\right)\right)$; (nthroot(total_metal_loading, 3) .* (av_E_def_subsurf .* time)); total_metal_loading,av_E_def_subsurf,time
# 3;  2; min;                                              14|0|mult|16|6|sub|div; ((av_E_def_subsurf * time) / (av_BE_H_surf - av_EA)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(av_{BE, H, surf} - av_{EA}\right) } \right)$; ((av_E_def_subsurf .* time) ./ (av_BE_H_surf - av_EA)); av_E_def_subsurf,time,av_BE_H_surf,av_EA
# 4;  2; Unitless;                                         3|16|div|exp:1.9543880192924e-01,0.0000000000000e+00,3.7480655133133e+01,5.3624364719942e-01; (exp(1.954388e-01*((std_dev+3.748066e+01) / (av_BE_H_surf+5.362436e-01)))); $\left(\exp{ \left(1.954e-01\left(\frac{ std_{dev} +3.748e+01 }{ av_{BE, H, surf}+5.362e-01 } \right) \right)}\right)$; exp(1.954388e-01.*((std_dev+3.748066e+01) ./ (av_BE_H_surf+5.362436e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 215                   
# 3   , 217                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.512456653174898e-01,  4.956000000000000e+00,  5.741377654903235e-02,  6.488369326461185e-01, -8.204023836214525e-01,  7.655441389515913e-03
PdAg_1_9_100,  4.212956441336370e-01,  4.566532287425779e-01,  4.956000000000000e+00,  1.148275530980647e-01,  1.297673865292237e+00, -1.640804767242905e+00,  7.655441389515913e-03
PdAg_1_9_100,  4.889175556194310e-01,  4.620607921676662e-01,  4.956000000000000e+00,  1.722413296470971e-01,  1.946510797938356e+00, -2.461207150864358e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.056601140297000e-01,  4.674683555927543e-01,  4.956000000000000e+00,  2.296551061961294e-01,  2.595347730584474e+00, -3.281609534485810e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.343009987338970e-01,  4.782834824429309e-01,  4.956000000000000e+00,  3.444826592941941e-01,  3.893021595876712e+00, -4.922414301728716e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.224295719363120e-01,  4.836910458680188e-01,  4.956000000000000e+00,  4.018964358432265e-01,  4.541858528522830e+00, -5.742816685350167e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.245052994310410e-01,  4.890986092931071e-01,  4.956000000000000e+00,  4.593102123922588e-01,  5.190695461168948e+00, -6.563219068971620e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.324653140763990e-01,  4.999137361432830e-01,  4.956000000000000e+00,  5.741377654903236e-01,  6.488369326461186e+00, -8.204023836214525e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.309811253181910e-01,  5.053212995683714e-01,  4.956000000000000e+00,  6.315515420393558e-01,  7.137206259107304e+00, -9.024426219835977e+00,  7.655441389515913e-03
PdAg_1_9_100,  5.311850747278510e-01,  5.161364264185475e-01,  4.956000000000000e+00,  7.463790951374206e-01,  8.434880124399541e+00, -1.066523098707888e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.354507873556270e-01,  5.269515532687239e-01,  4.956000000000000e+00,  8.612066482354853e-01,  9.732553989691779e+00, -1.230603575432179e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.357515610659280e-01,  5.377666801188998e-01,  4.956000000000000e+00,  9.760342013335500e-01,  1.103022785498401e+01, -1.394684052156469e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.431742435439881e-01,  4.956000000000000e+00,  1.033447977882582e+00,  1.167906478763014e+01, -1.476724290518615e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.372121836650180e-01,  5.539893703941641e-01,  4.956000000000000e+00,  1.148275530980647e+00,  1.297673865292237e+01, -1.640804767242905e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.374193757726820e-01,  5.593969338192528e-01,  4.956000000000000e+00,  1.205689307529680e+00,  1.362557558556849e+01, -1.722845005605050e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.648044972443405e-01,  4.956000000000000e+00,  1.263103084078712e+00,  1.427441251821461e+01, -1.804885243967195e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.357670351206070e-01,  5.702120606694292e-01,  4.956000000000000e+00,  1.320516860627744e+00,  1.492324945086073e+01, -1.886925482329341e+01,  7.655441389515913e-03
PdAg_1_9_100,  5.243066765750370e-01,  5.756196240945173e-01,  4.956000000000000e+00,  1.377930637176777e+00,  1.557208638350685e+01, -1.968965720691486e+01,  7.655441389515913e-03
