# c0 + a0 * ((time / av_W_change_H) * (av_d_band_center_surf - av_mu_C_critical_surf)) + a1 * ((av_E_def_subsurf * time) / (av_PE * surface_area)) + a2 * (exp(1.899255e-01*((std_dev+4.212422e+01) / (av_BE_H_surf+3.047675e-01))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.128360627059709; Max AE: 0.645794732641739
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  7.632009961167078e-06,  5.125524193816589e-01, -1.122410577799993e+02,  1.459079419111191e+00, 
# 3   ,  2.163589686574738e-05,  6.663463036652518e-01, -1.120808954946290e+02,  1.590124880004323e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; min;                                              0|17|div|18|11|sub|mult; ((time / av_W_change_H) * (av_d_band_center_surf - av_mu_C_critical_surf)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{d, band, center, surf} - av_{mu, C, critical, surf}\right)\right)$; ((time ./ av_W_change_H) .* (av_d_band_center_surf - av_mu_C_critical_surf)); time,av_W_change_H,av_d_band_center_surf,av_mu_C_critical_surf
# 1;  2; eV * g * m^-2 * min;                              14|0|mult|7|4|mult|div; ((av_E_def_subsurf * time) / (av_PE * surface_area)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(av_{PE} surface_{area}\right) } \right)$; ((av_E_def_subsurf .* time) ./ (av_PE .* surface_area)); av_E_def_subsurf,time,av_PE,surface_area
# 2;  2; Unitless;                                         3|16|div|exp:1.8992549742865e-01,0.0000000000000e+00,4.2124220414253e+01,3.0476751158578e-01; (exp(1.899255e-01*((std_dev+4.212422e+01) / (av_BE_H_surf+3.047675e-01)))); $\left(\exp{ \left(1.899e-01\left(\frac{ std_{dev} +4.212e+01 }{ av_{BE, H, surf}+3.048e-01 } \right) \right)}\right)$; exp(1.899255e-01.*((std_dev+4.212422e+01) ./ (av_BE_H_surf+3.047675e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 175                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.627928699267690e-01,  2.372330097087374e+01,  1.946647440519106e-02,  9.857758079718648e-03
PdAg_1_9_100,  4.212956441336370e-01,  3.729515149493023e-01,  4.744660194174747e+01,  3.893294881038211e-02,  9.857758079718648e-03
PdAg_1_9_100,  5.056601140297000e-01,  3.932688049943688e-01,  9.489320388349495e+01,  7.786589762076422e-02,  9.857758079718648e-03
PdAg_1_9_100,  5.343009987338970e-01,  4.135860950394354e-01,  1.423398058252424e+02,  1.167988464311463e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.224295719363120e-01,  4.237447400619687e-01,  1.660631067961162e+02,  1.362653208363374e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.245052994310410e-01,  4.339033850845022e-01,  1.897864077669899e+02,  1.557317952415284e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.309811253181910e-01,  4.643793201521018e-01,  2.609563106796111e+02,  2.141312184571016e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.311850747278510e-01,  4.846966101971685e-01,  3.084029126213586e+02,  2.530641672674838e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.354507873556270e-01,  5.050139002422350e-01,  3.558495145631060e+02,  2.919971160778658e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.357515610659280e-01,  5.253311902873014e-01,  4.032961165048535e+02,  3.309300648882479e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.354898353098348e-01,  4.270194174757273e+02,  3.503965392934391e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.372121836650180e-01,  5.558071253549014e-01,  4.744660194174747e+02,  3.893294881038211e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.374193757726820e-01,  5.659657703774347e-01,  4.981893203883485e+02,  4.087959625090122e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.761244153999679e-01,  5.219126213592222e+02,  4.282624369142032e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.357670351206070e-01,  5.862830604225014e-01,  5.456359223300959e+02,  4.477289113193943e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.397703104721880e-01,  6.066003504675678e-01,  5.930825242718433e+02,  4.866618601297764e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.406782826954460e-01,  6.167589954901010e-01,  6.168058252427171e+02,  5.061283345349675e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.492079417796780e-01,  6.370762855351678e-01,  6.642524271844646e+02,  5.450612833453495e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.484023401121820e-01,  6.472349305577011e-01,  6.879757281553384e+02,  5.645277577505406e-01,  9.857758079718648e-03
PdAg_1_9_100,  5.513618316460450e-01,  6.573935755802344e-01,  7.116990291262121e+02,  5.839942321557317e-01,  9.857758079718648e-03
PdAg_1_5_100,  2.374958845661730e-01,  3.291289754376752e-01,  7.527966101695033e+01,  1.781888997078868e-02,  1.015366494670166e-02
PdAg_1_5_100,  4.808701435604430e-01,  3.388366257256530e-01,  1.505593220339007e+02,  3.563777994157735e-02,  1.015366494670166e-02
PdAg_1_5_100,  5.367991849441260e-01,  3.582519263016089e-01,  3.011186440678013e+02,  7.127555988315470e-02,  1.015366494670166e-02
PdAg_1_5_100,  5.423108450430540e-01,  3.679595765895869e-01,  3.763983050847517e+02,  8.909444985394338e-02,  1.015366494670166e-02
PdAg_1_5_100,  5.645630120222940e-01,  3.873748771655430e-01,  5.269576271186522e+02,  1.247322297955207e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.557853067401700e-01,  3.970825274535209e-01,  6.022372881356026e+02,  1.425511197663094e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.067901777414989e-01,  6.775169491525529e+02,  1.603700097370981e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.164978280294767e-01,  7.527966101695033e+02,  1.781888997078868e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.602593885180470e-01,  4.456207788934106e-01,  9.786355932203543e+02,  2.316455696202528e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.640054092902220e-01,  4.844513800453223e-01,  1.279754237288156e+03,  3.029211295034075e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.619488591146869e-01,  5.038666806212784e-01,  1.430313559322056e+03,  3.385589094449848e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.722223250453750e-01,  5.232819811972342e-01,  1.580872881355957e+03,  3.741966893865621e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.681292230354840e-01,  5.329896314852123e-01,  1.656152542372907e+03,  3.920155793573508e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.669074847793930e-01,  5.524049320611681e-01,  1.806711864406808e+03,  4.276533592989282e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.713037334532890e-01,  5.621125823491460e-01,  1.881991525423758e+03,  4.454722492697168e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.756184173897150e-01,  5.815278829251018e-01,  2.032550847457659e+03,  4.811100292112943e-01,  1.015366494670166e-02
PdAg_1_5_100,  5.748142709268410e-01,  5.912355332130799e-01,  2.107830508474609e+03,  4.989289191820829e-01,  1.015366494670166e-02
PdAg_1_1_100, -9.717271086694580e-01, -5.289570245118922e-01,  4.293000000000000e+02,  1.800189493630909e-02,  1.782360055999897e-02
PdAg_1_1_100, -8.529977989918130e-01, -4.789436777943374e-01,  2.146500000000000e+03,  9.000947468154542e-02,  1.782360055999897e-02
PdAg_1_1_100, -6.470710172478540e-01, -4.539370044355601e-01,  3.005100000000000e+03,  1.260132645541636e-01,  1.782360055999897e-02
PdAg_1_1_100, -5.593859615030060e-01, -4.414336677561714e-01,  3.434400000000000e+03,  1.440151594904727e-01,  1.782360055999897e-02
PdAg_1_1_100, -4.916379417262000e-01, -4.289303310767826e-01,  3.863700000000000e+03,  1.620170544267818e-01,  1.782360055999897e-02
PdAg_1_1_100, -3.942969479298420e-01, -4.039236577180054e-01,  4.722299999999999e+03,  1.980208442994000e-01,  1.782360055999897e-02
PdAg_1_1_100, -3.578780939481840e-01, -3.914203210386168e-01,  5.151599999999999e+03,  2.160227392357091e-01,  1.782360055999897e-02
PdAg_1_1_100, -2.576351643592600e-01, -3.289036376416734e-01,  7.298099999999999e+03,  3.060322139172545e-01,  1.782360055999897e-02
PdAg_1_1_100, -2.410399546736480e-01, -3.164003009622846e-01,  7.727400000000000e+03,  3.240341088535636e-01,  1.782360055999897e-02
PdAg_1_1_100, -2.257372496018260e-01, -3.038969642828959e-01,  8.156699999999999e+03,  3.420360037898726e-01,  1.782360055999897e-02
PdAg_1_1_100, -1.507812993782130e-01, -2.288769442065638e-01,  1.073250000000000e+04,  4.500473734077272e-01,  1.782360055999897e-02
PdAg_1_1_100, -1.281630446115000e-01, -2.038702708477866e-01,  1.159110000000000e+04,  4.860511632803453e-01,  1.782360055999897e-02
PdAg_1_1_100, -1.127993153452220e-01, -1.788635974890091e-01,  1.244970000000000e+04,  5.220549531529636e-01,  1.782360055999897e-02
PdAg_1_1_100, -1.052140905390360e-01, -1.663602608096204e-01,  1.287900000000000e+04,  5.400568480892727e-01,  1.782360055999897e-02
PdAu_1_9_100, -4.245180861522260e-01, -1.504748539406406e-02, -1.693285714285714e+02,  2.235232457028505e-02,  1.322413878269061e-02
PdAu_1_9_100, -9.100467303064901e-02, -4.883064700613253e-03, -3.386571428571428e+02,  4.470464914057010e-02,  1.322413878269061e-02
PdAu_1_9_100, -3.733330199173200e-02,  1.544577668628791e-02, -6.773142857142857e+02,  8.940929828114019e-02,  1.322413878269061e-02
PdAu_1_9_100,  5.806571622389000e-02,  5.610345946009068e-02, -1.354628571428571e+03,  1.788185965622804e-01,  1.322413878269061e-02
PdAu_1_9_100,  9.683182273926901e-02,  7.643230084699185e-02, -1.693285714285714e+03,  2.235232457028505e-01,  1.322413878269061e-02
PdAu_1_9_100,  1.313415091122350e-01,  1.069255629273438e-01, -2.201271428571429e+03,  2.905802194137057e-01,  1.322413878269061e-02
PdAu_1_9_100,  1.429267254119260e-01,  1.170899836207946e-01, -2.370600000000000e+03,  3.129325439839907e-01,  1.322413878269061e-02
PdAu_1_9_100,  1.597320334915230e-01,  1.272544043142452e-01, -2.539928571428572e+03,  3.352848685542758e-01,  1.322413878269061e-02
PdAu_1_9_100,  1.699090731693030e-01,  1.374188250076958e-01, -2.709257142857143e+03,  3.576371931245608e-01,  1.322413878269061e-02
PdAu_1_9_100,  1.835385422534630e-01,  1.475832457011466e-01, -2.878585714285714e+03,  3.799895176948459e-01,  1.322413878269061e-02
PdAu_1_9_100,  2.019303936948270e-01,  1.577476663945972e-01, -3.047914285714286e+03,  4.023418422651309e-01,  1.322413878269061e-02
PdAu_1_9_100,  2.085112147402500e-01,  1.679120870880478e-01, -3.217242857142857e+03,  4.246941668354159e-01,  1.322413878269061e-02
PdAu_1_9_100,  2.229614152668760e-01,  1.780765077814986e-01, -3.386571428571429e+03,  4.470464914057010e-01,  1.322413878269061e-02
PdAu_1_9_100,  2.440082744924090e-01,  1.984053491683997e-01, -3.725228571428571e+03,  4.917511405462711e-01,  1.322413878269061e-02
PdAu_1_9_100,  2.592868694966930e-01,  2.085697698618505e-01, -3.894557142857143e+03,  5.141034651165561e-01,  1.322413878269061e-02
PdAu_1_9_100,  2.971222466409820e-01,  2.390630319422025e-01, -4.402542857142857e+03,  5.811604388274113e-01,  1.322413878269061e-02
PdAu_1_9_100,  3.090110205184420e-01,  2.492274526356531e-01, -4.571871428571429e+03,  6.035127633976963e-01,  1.322413878269061e-02
PdAu_1_9_100,  3.282848750136670e-01,  2.593918733291037e-01, -4.741200000000000e+03,  6.258650879679813e-01,  1.322413878269061e-02
PdAu_1_9_100,  3.423906872889970e-01,  2.695562940225543e-01, -4.910528571428572e+03,  6.482174125382665e-01,  1.322413878269061e-02
PdAu_1_9_100,  3.588392118477170e-01,  2.797207147160048e-01, -5.079857142857143e+03,  6.705697371085515e-01,  1.322413878269061e-02
PdAu_1_5_100, -8.038512742030930e-01, -1.580565415613537e-01, -2.138684210526303e+02,  2.935570469798662e-02,  1.452721565948083e-02
PdAu_1_5_100, -1.699783647313870e-01, -9.098608383258437e-02, -1.283210526315782e+03,  1.761342281879197e-01,  1.452721565948083e-02
PdAu_1_5_100, -1.087631903666510e-01, -6.415790074107679e-02, -1.710947368421042e+03,  2.348456375838930e-01,  1.452721565948083e-02
PdAu_1_5_100, -5.369294007029500e-02, -1.050153455806140e-02, -2.566421052631563e+03,  3.522684563758395e-01,  1.452721565948083e-02
PdAu_1_5_100, -4.786224463248100e-02,  2.912556987692284e-03, -2.780289473684194e+03,  3.816241610738261e-01,  1.452721565948083e-02
PdAu_1_5_100, -2.593796229460700e-02,  1.632664853344619e-02, -2.994157894736824e+03,  4.109798657718127e-01,  1.452721565948083e-02
PdAu_1_5_100,  2.416643494279400e-02,  4.315483162495377e-02, -3.421894736842085e+03,  4.696912751677860e-01,  1.452721565948083e-02
PdAu_1_5_100,  2.990216406339200e-02,  6.998301471646158e-02, -3.849631578947346e+03,  5.284026845637592e-01,  1.452721565948083e-02
PdAu_1_5_100,  6.101614798206100e-02,  8.339710626221526e-02, -4.063499999999976e+03,  5.577583892617458e-01,  1.452721565948083e-02
PdAu_1_5_100,  7.309947033697700e-02,  9.681119780796917e-02, -4.277368421052606e+03,  5.871140939597325e-01,  1.452721565948083e-02
PdAu_1_5_100,  9.356113070450700e-02,  1.102252893537228e-01, -4.491236842105237e+03,  6.164697986577190e-01,  1.452721565948083e-02
PdAu_1_5_100,  1.369928787734220e-01,  1.370534724452304e-01, -4.918973684210497e+03,  6.751812080536923e-01,  1.452721565948083e-02
PdAu_1_5_100,  1.588196272209420e-01,  1.504675639909845e-01, -5.132842105263127e+03,  7.045369127516790e-01,  1.452721565948083e-02
PdAu_1_5_100,  1.785182843851090e-01,  1.638816555367382e-01, -5.346710526315757e+03,  7.338926174496655e-01,  1.452721565948083e-02
PdAu_1_5_100,  2.487554516102670e-01,  2.041239301739997e-01, -5.988315789473649e+03,  8.219597315436253e-01,  1.452721565948083e-02
PdAu_1_5_100,  2.565483015813650e-01,  2.309521132655073e-01, -6.416052631578909e+03,  8.806711409395986e-01,  1.452721565948083e-02
PdAu_1_1_100, -9.528343749756660e-01, -1.004575757465478e+00, -7.335000000000000e+02,  2.015579357351509e-02,  2.199184546949867e-02
PdAu_1_1_100, -9.568121972548200e-01, -9.998429360113312e-01, -1.467000000000000e+03,  4.031158714703018e-02,  2.199184546949867e-02
PdAu_1_1_100, -9.568121972548200e-01, -9.951101145571850e-01, -2.200500000000000e+03,  6.046738072054528e-02,  2.199184546949867e-02
PdAu_1_1_100, -9.568121972548200e-01, -9.903772931030386e-01, -2.934000000000000e+03,  8.062317429406037e-02,  2.199184546949867e-02
PdAu_1_1_100, -9.568121972548200e-01, -9.856444716488921e-01, -3.667500000000000e+03,  1.007789678675755e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.568121972548200e-01, -9.809116501947457e-01, -4.401000000000000e+03,  1.209347614410906e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.535933252350800e-01, -9.714460072864528e-01, -5.868000000000000e+03,  1.612463485881207e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.527045141986290e-01, -9.667131858323066e-01, -6.601500000000001e+03,  1.814021421616358e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.516325070624611e-01, -9.619803643781601e-01, -7.335000000000001e+03,  2.015579357351509e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.506663607269330e-01, -9.572475429240137e-01, -8.068500000000001e+03,  2.217137293086660e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.495458690001219e-01, -9.525147214698673e-01, -8.802000000000000e+03,  2.418695228821811e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.482966843584680e-01, -9.477819000157208e-01, -9.535500000000000e+03,  2.620253164556962e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.450757646884210e-01, -9.383162571074282e-01, -1.100250000000000e+04,  3.023369036027264e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.438406491539700e-01, -9.335834356532817e-01, -1.173600000000000e+04,  3.224926971762415e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.425030865561980e-01, -9.288506141991353e-01, -1.246950000000000e+04,  3.426484907497566e-01,  2.199184546949867e-02
PdAu_1_1_100, -9.389000320363100e-01, -9.193849712908424e-01, -1.393650000000000e+04,  3.829600778967868e-01,  2.199184546949867e-02
