# c0 + a0 * ((av_mu_C_critical_surf^3) / (ln(1.0*time+9.993913e+01)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.228299983885828; Max AE: 0.606075012500296
# Coefficients
# Task   a0                      c0
# 2   ,  6.242975570955959e-02,  1.290720387839586e+00, 
# 3   ,  6.172961121872991e-02,  1.519508680908618e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^3;                                             11|cb|0|log:1.0000000000000e+00,9.9939132526255e+01|div; ((av_mu_C_critical_surf^3) / (ln(1.0*time+9.993913e+01))); $\left(\frac{ \left(av_{mu, C, critical, surf}^3\right) }{ \left(\ln{ \left(1.0time+9.994e+01 \right)}\right) } \right)$; ((av_mu_C_critical_surf).^3 ./ log(1.0*time+9.993913e+01)); av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  4.212956441336370e-01,  4.332442989351163e-01, -1.373505436884431e+01
PdAg_1_9_100,  4.889175556194310e-01,  4.507702934637037e-01, -1.345432293990643e+01
PdAg_1_9_100,  5.056601140297000e-01,  4.660770247609975e-01, -1.320913967555882e+01
PdAg_1_9_100,  5.343009987338970e-01,  4.917140119439277e-01, -1.279848634380144e+01
PdAg_1_9_100,  5.245052994310410e-01,  5.125355341375176e-01, -1.246496714359093e+01
PdAg_1_9_100,  5.324653140763990e-01,  5.299372477818223e-01, -1.218622644620197e+01
PdAg_1_9_100,  5.309811253181910e-01,  5.376443191509891e-01, -1.206277455564802e+01
PdAg_1_9_100,  5.311850747278510e-01,  5.514728842970138e-01, -1.184126856080865e+01
PdAg_1_9_100,  5.354507873556270e-01,  5.635756467661278e-01, -1.164740647803166e+01
PdAg_1_9_100,  5.357515610659280e-01,  5.743010368914951e-01, -1.147560714927463e+01
PdAg_1_9_100,  5.338785022320920e-01,  5.792298793808280e-01, -1.139665693661861e+01
PdAg_1_9_100,  5.372121836650180e-01,  5.883483614893306e-01, -1.125059706492980e+01
PdAg_1_9_100,  5.374193757726820e-01,  5.925799867411857e-01, -1.118281487991626e+01
PdAg_1_9_100,  5.370904880212340e-01,  5.966170807919892e-01, -1.111814869622038e+01
PdAg_1_9_100,  5.357670351206070e-01,  6.004750153902322e-01, -1.105635228913221e+01
PdAg_1_9_100,  5.243066765750370e-01,  6.041674792426093e-01, -1.099720639290997e+01
PdAg_1_9_100,  5.397703104721880e-01,  6.077067100356296e-01, -1.094051498425725e+01
PdAg_1_9_100,  5.449528999218350e-01,  6.143683004341794e-01, -1.083380961078852e+01
PdAg_1_9_100,  5.484023401121820e-01,  6.205353062687575e-01, -1.073502649423640e+01
PdAg_1_9_100,  5.513618316460450e-01,  6.234531411702786e-01, -1.068828860669611e+01
PdAg_1_5_100,  2.374958845661730e-01,  2.658230227252456e-01, -1.641680883523628e+01
PdAg_1_5_100,  5.423108450430540e-01,  3.437525244925228e-01, -1.516853385992119e+01
PdAg_1_5_100,  5.500936576470050e-01,  3.578784131379780e-01, -1.494226533644382e+01
PdAg_1_5_100,  5.645630120222940e-01,  3.706154858344574e-01, -1.473824287068669e+01
PdAg_1_5_100,  5.557853067401700e-01,  3.821875932212898e-01, -1.455288082248857e+01
PdAg_1_5_100,  5.565493546496050e-01,  4.025041381311454e-01, -1.422745034980862e+01
PdAg_1_5_100,  5.598480318312991e-01,  4.115021635437968e-01, -1.408331995380783e+01
PdAg_1_5_100,  5.579843483292020e-01,  4.482183089724681e-01, -1.349520063456070e+01
PdAg_1_5_100,  5.619488591146869e-01,  4.655114752158035e-01, -1.321819864974134e+01
PdAg_1_5_100,  5.722223250453750e-01,  4.756396950859512e-01, -1.305596479578768e+01
PdAg_1_5_100,  5.688182680948790e-01,  4.848571611005953e-01, -1.290831939961592e+01
PdAg_1_5_100,  5.669074847793930e-01,  4.891681220334222e-01, -1.283926641544467e+01
PdAg_1_5_100,  5.713037334532890e-01,  4.933001829799759e-01, -1.277307905174943e+01
PdAg_1_5_100,  5.756184173897150e-01,  5.010776067021214e-01, -1.264850025701046e+01
PdAg_1_5_100,  5.815291194929140e-01,  5.082776016887390e-01, -1.253317071735770e+01
PdAg_1_1_100, -9.717271086694580e-01, -7.185482380230473e-01, -3.218447041840599e+01
PdAg_1_1_100, -9.805113751193140e-01, -6.719053027162531e-01, -3.143734375137577e+01
PdAg_1_1_100, -8.529977989918130e-01, -5.657706934026375e-01, -2.973727928520385e+01
PdAg_1_1_100, -6.470710172478540e-01, -5.131069757862999e-01, -2.889371171045082e+01
PdAg_1_1_100, -5.593859615030060e-01, -4.904203409105420e-01, -2.853031713012758e+01
PdAg_1_1_100, -4.916379417262000e-01, -4.696731423197940e-01, -2.819798844559340e+01
PdAg_1_1_100, -4.356272700356220e-01, -4.505906002332909e-01, -2.789232423355835e+01
PdAg_1_1_100, -3.942969479298420e-01, -4.329503459290580e-01, -2.760976259121747e+01
PdAg_1_1_100, -3.303847196540950e-01, -4.012989709574382e-01, -2.710277077919004e+01
PdAg_1_1_100, -2.107963275440860e-01, -3.168968986132264e-01, -2.575081815043279e+01
PdAg_1_1_100, -1.764119820223890e-01, -2.891409264125366e-01, -2.530622291078748e+01
PdAg_1_1_100, -1.507812993782130e-01, -2.725887334348344e-01, -2.504108983779089e+01
PdAg_1_1_100, -1.281630446115000e-01, -2.573414179407572e-01, -2.479685829594389e+01
PdAg_1_1_100, -1.177762941936660e-01, -2.501517685711338e-01, -2.468169447241282e+01
PdAg_1_1_100, -1.127993153452220e-01, -2.432261274488503e-01, -2.457075953371943e+01
PdAg_1_1_100, -1.052140905390360e-01, -2.365476698071425e-01, -2.446378398070305e+01
PdAu_1_9_100, -4.245180861522260e-01, -2.942153832403545e-01, -2.538750557432097e+01
PdAu_1_9_100, -9.100467303064901e-02, -2.574228629748437e-01, -2.479816288272564e+01
PdAu_1_9_100, -3.733330199173200e-02, -1.981445185977780e-01, -2.384864219818468e+01
PdAu_1_9_100, -1.007560701613500e-02, -1.737025795416001e-01, -2.345713115063408e+01
PdAu_1_9_100,  4.079877212234700e-02, -1.321607922395906e-01, -2.279171468648398e+01
PdAu_1_9_100,  7.894321375694401e-02, -9.789965092174432e-02, -2.224291962988888e+01
PdAu_1_9_100,  9.683182273926901e-02, -8.284710734109087e-02, -2.200180794509097e+01
PdAu_1_9_100,  1.082976085838650e-01, -6.893225807810488e-02, -2.177891985102696e+01
PdAu_1_9_100,  1.191551569766660e-01, -5.601135388087630e-02, -2.157195277178128e+01
PdAu_1_9_100,  1.313415091122350e-01, -4.396526473999553e-02, -2.137899848253302e+01
PdAu_1_9_100,  1.429267254119260e-01, -3.269427130287370e-02, -2.119845967841599e+01
PdAu_1_9_100,  1.699090731693030e-01, -1.215317536519123e-02, -2.086943234674990e+01
PdAu_1_9_100,  2.019303936948270e-01,  6.149024343911466e-03, -2.057626766107902e+01
PdAu_1_9_100,  2.085112147402500e-01,  1.458955879262046e-02, -2.044106715688393e+01
PdAu_1_9_100,  2.440082744924090e-01,  3.754101166991482e-02, -2.007343072107805e+01
PdAu_1_9_100,  2.857011488378830e-01,  5.756295151142214e-02, -1.975271923319950e+01
PdAu_1_9_100,  2.971222466409820e-01,  6.369607762698527e-02, -1.965447880208046e+01
PdAu_1_9_100,  3.090110205184420e-01,  6.959022124949883e-02, -1.956006639319751e+01
PdAu_1_9_100,  3.282848750136670e-01,  7.526150497969000e-02, -1.946922375468751e+01
PdAu_1_9_100,  3.588392118477170e-01,  8.599258517813639e-02, -1.929733328232414e+01
PdAu_1_5_100, -8.038512742030930e-01, -4.425247825079341e-01, -2.776312594287656e+01
PdAu_1_5_100, -3.409682634967890e-01, -4.022894245718470e-01, -2.711863586793100e+01
PdAu_1_5_100, -3.133863092721550e-01, -3.676859165637383e-01, -2.656435678074229e+01
PdAu_1_5_100, -2.174925417142420e-01, -3.107350666170626e-01, -2.565211790843873e+01
PdAu_1_5_100, -1.699783647313870e-01, -2.868462079810852e-01, -2.526946610459194e+01
PdAu_1_5_100, -7.919011777646100e-02, -2.113778489527304e-01, -2.406061372049077e+01
PdAu_1_5_100, -4.786224463248100e-02, -1.688576616162796e-01, -2.337952524187704e+01
PdAu_1_5_100, -2.593796229460700e-02, -1.565319918343433e-01, -2.318209262914540e+01
PdAu_1_5_100, -1.512413556708100e-02, -1.449618400503704e-01, -2.299676190579930e+01
PdAu_1_5_100,  2.416643494279400e-02, -1.340687753575176e-01, -2.282227676535553e+01
PdAu_1_5_100,  7.309947033697700e-02, -9.605033143905092e-02, -2.221329722528911e+01
PdAu_1_5_100,  1.136676485138780e-01, -7.972448504330806e-02, -2.195178977246973e+01
PdAu_1_5_100,  1.369928787734220e-01, -7.210733837883151e-02, -2.182977829608476e+01
PdAu_1_5_100,  1.588196272209420e-01, -6.481689889609810e-02, -2.171300001624252e+01
PdAu_1_5_100,  2.273428967445060e-01, -4.467629020105292e-02, -2.139038769033907e+01
PdAu_1_5_100,  2.487554516102670e-01, -3.847431955064192e-02, -2.129104450727002e+01
PdAu_1_1_100, -9.568121972548200e-01, -1.263270671457752e+00, -4.090983586703762e+01
PdAu_1_1_100, -9.568121972548200e-01, -1.211069526830507e+00, -4.007367778770605e+01
PdAu_1_1_100, -9.568121972548200e-01, -1.125156284912541e+00, -3.869751924052771e+01
PdAu_1_1_100, -9.568121972548200e-01, -1.089118731600194e+00, -3.812026961168079e+01
PdAu_1_1_100, -9.535933252350800e-01, -1.027101863478155e+00, -3.712688324620215e+01
PdAu_1_1_100, -9.527045141986290e-01, -1.000103256478758e+00, -3.669441948445044e+01
PdAu_1_1_100, -9.516325070624611e-01, -9.752708892514697e-01, -3.629665455737278e+01
PdAu_1_1_100, -9.506663607269330e-01, -9.523153904044209e-01, -3.592895331321216e+01
PdAu_1_1_100, -9.495458690001219e-01, -9.309996150196824e-01, -3.558751716401585e+01
PdAu_1_1_100, -9.482966843584680e-01, -9.111270328480241e-01, -3.526919808770693e+01
PdAu_1_1_100, -9.450757646884210e-01, -8.750789756031762e-01, -3.469178020684010e+01
PdAu_1_1_100, -9.438406491539700e-01, -8.586462357395677e-01, -3.442856053415616e+01
PdAu_1_1_100, -9.409292111285500e-01, -8.284528706243358e-01, -3.394492312804969e+01
PdAu_1_1_100, -9.389000320363100e-01, -8.145284166008764e-01, -3.372188118490579e+01
PdAu_1_1_100, -9.371761903144160e-01, -8.012934873122808e-01, -3.350988405087617e+01
PdAu_1_1_100, -9.331182416744070e-01, -7.651742694788537e-01, -3.293132631950424e+01
PdAu_1_1_100, -9.287832471261041e-01, -7.436346793877635e-01, -3.258630510572121e+01
PdAu_1_1_100, -9.277287987240580e-01, -7.335167854160972e-01, -3.242423665203804e+01
PdAu_1_1_100, -9.252668633337100e-01, -7.144371569384211e-01, -3.211861911019726e+01
PdAu_1_1_100, -9.240702334290249e-01, -7.054247275223950e-01, -3.197425799083049e+01
PdAu_1_1_100, -9.219351704858600e-01, -6.967339612754767e-01, -3.183504927299808e+01
PdCu_1_9_100, -9.549894506478580e-01, -5.828734684714066e-01, -3.001123158366127e+01
PdCu_1_9_100, -9.156195277668751e-01, -5.445789946086379e-01, -2.939783059518192e+01
PdCu_1_9_100, -7.852647984540430e-01, -4.551165589889073e-01, -2.796482105345098e+01
PdCu_1_9_100, -7.406333925295950e-01, -4.312788107839478e-01, -2.758298793662990e+01
PdCu_1_9_100, -6.974282966305561e-01, -4.096213241179332e-01, -2.723607825518294e+01
PdCu_1_9_100, -4.152953588062170e-01, -3.109024422291491e-01, -2.565479893145707e+01
PdCu_1_9_100, -3.740166880780720e-01, -2.980981659986645e-01, -2.544969999930597e+01
PdCu_1_9_100, -3.340530961146040e-01, -2.860431980148360e-01, -2.525660348872676e+01
PdCu_1_9_100, -2.886882399275190e-01, -2.746630809794420e-01, -2.507431674251014e+01
PdCu_1_9_100, -2.552418689384970e-01, -2.638935106949373e-01, -2.490180973584159e+01
PdCu_1_9_100, -2.139924317016600e-01, -2.536786074689189e-01, -2.473818738765332e+01
PdCu_1_9_100, -1.746696479659310e-01, -2.439695358127929e-01, -2.458266745095366e+01
PdCu_1_9_100, -1.334862873082910e-01, -2.347233921865425e-01, -2.443456269671970e+01
PdCu_1_9_100, -1.017538013533290e-01, -2.259023011860939e-01, -2.429326643662401e+01
PdCu_1_9_100,  1.714195726681800e-02, -2.016713500394594e-01, -2.390513499399329e+01
PdCu_1_9_100,  1.148476403332230e-01, -1.802522074463604e-01, -2.356204310856694e+01
PdCu_1_9_100,  2.178155404455340e-01, -1.672652400447244e-01, -2.335401782872995e+01
PdCu_1_5_100, -1.003761569886260e+00, -7.200733505706032e-01, -3.220889967542008e+01
PdCu_1_5_100, -9.961225955060580e-01, -6.789746417978377e-01, -3.155058044437956e+01
PdCu_1_5_100, -9.789029797012609e-01, -5.829610341735718e-01, -3.001263421132127e+01
PdCu_1_5_100, -9.725859018790340e-01, -5.573776908748761e-01, -2.960284014745025e+01
PdCu_1_5_100, -9.654766866739720e-01, -5.341342657157705e-01, -2.923052689882502e+01
PdCu_1_5_100, -9.576219724636360e-01, -5.128778757599181e-01, -2.889004198559321e+01
PdCu_1_5_100, -9.479534614018320e-01, -4.933269974008247e-01, -2.857687596184567e+01
PdCu_1_5_100, -9.288776058542270e-01, -4.584715891594157e-01, -2.801856193602173e+01
PdCu_1_5_100, -9.154524884400360e-01, -4.428256206070408e-01, -2.776794476838192e+01
PdCu_1_5_100, -8.986587034687890e-01, -4.281863790400188e-01, -2.753345335638397e+01
PdCu_1_5_100, -8.840211165581610e-01, -4.144444688696754e-01, -2.731333540118526e+01
PdCu_1_5_100, -8.550052185648410e-01, -4.015067374307257e-01, -2.710609878313505e+01
PdCu_1_5_100, -8.374338740484140e-01, -3.777350686559947e-01, -2.672532412681053e+01
PdCu_1_5_100, -8.010350850736860e-01, -3.667721465818446e-01, -2.654972001063951e+01
PdCu_1_5_100, -7.395585721269960e-01, -3.464288752417762e-01, -2.622386143392633e+01
PdCu_1_5_100, -7.035826032354650e-01, -3.279149197187081e-01, -2.592730484304041e+01
PdCu_1_5_100, -6.991275061596950e-01, -3.192560389758621e-01, -2.578860686730061e+01
PdCu_1_5_100, -6.374955687997910e-01, -3.109564919570221e-01, -2.565566470014795e+01
PdCu_1_5_100, -6.099103525069640e-01, -3.029905291279577e-01, -2.552806588547175e+01
PdCu_1_5_100, -5.834928286422441e-01, -2.953349668386118e-01, -2.540543906750114e+01
PdCu_1_5_100, -5.671718941973490e-01, -2.879688643752790e-01, -2.528744881782594e+01
PdCu_1_5_100, -5.560527855292540e-01, -2.808732496229726e-01, -2.517379124105570e+01
PdCu_1_5_100, -5.041869760720120e-01, -2.740308848904593e-01, -2.506419022380448e+01
PdCu_1_1_100, -9.823924572290270e-01, -1.573705880832273e+00, -4.588238791127036e+01
PdCu_1_1_100, -9.823924572290270e-01, -1.507211412436648e+00, -4.481727933219830e+01
PdCu_1_1_100, -9.823924572290270e-01, -1.450024351412413e+00, -4.390125683019966e+01
PdCu_1_1_100, -9.823924572290270e-01, -1.400078713499992e+00, -4.310122746367799e+01
PdCu_1_1_100, -9.823924572290270e-01, -1.355905231162542e+00, -4.239365650115561e+01
