# c0 + a0 * ((av_mu_C_critical_surf^2) / (ln(1.0*time+9.993913e+01)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.233605777545629; Max AE: 0.623562331912931
# Coefficients
# Task   a0                      c0
# 2   , -4.618135031195068e-01,  1.919686856913263e+00, 
# 3   , -4.552870188885560e-01,  2.138310830322058e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             11|sq|0|log:1.0000000000000e+00,9.9939132526255e+01|div; ((av_mu_C_critical_surf^2) / (ln(1.0*time+9.993913e+01))); $\left(\frac{ \left(av_{mu, C, critical, surf}^2\right) }{ \left(\ln{ \left(1.0time+9.994e+01 \right)}\right) } \right)$; ((av_mu_C_critical_surf).^2 ./ log(1.0*time+9.993913e+01)); av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.542787686573696e-01,  3.389697524393957e+00
PdAg_1_9_100,  4.889175556194310e-01,  3.862742189617986e-01,  3.320415335613631e+00
PdAg_1_9_100,  5.056601140297000e-01,  4.142181829831826e-01,  3.259906139081644e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.610210590213301e-01,  3.158560302024047e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.990328236330855e-01,  3.076250529020465e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.308013867928011e-01,  3.007459636278867e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.448714139506113e-01,  2.976992733378089e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.701168382938346e-01,  2.922326890624049e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.922116377926713e-01,  2.874483336138118e+00
PdAg_1_9_100,  5.357515610659280e-01,  6.117919067578392e-01,  2.832084686395516e+00
PdAg_1_9_100,  5.338785022320920e-01,  6.207900001138873e-01,  2.812600428583073e+00
PdAg_1_9_100,  5.372121836650180e-01,  6.374366982900468e-01,  2.776554063408143e+00
PdAg_1_9_100,  5.374193757726820e-01,  6.451619520684759e-01,  2.759825982210331e+00
PdAg_1_9_100,  5.370904880212340e-01,  6.525320697451702e-01,  2.743866904299205e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.595751139795204e-01,  2.728616063458097e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.663160748703234e-01,  2.714019346720131e+00
PdAg_1_9_100,  5.397703104721880e-01,  6.727772935343642e-01,  2.700028377161217e+00
PdAg_1_9_100,  5.449528999218350e-01,  6.849386909487933e-01,  2.673694375811581e+00
PdAg_1_9_100,  5.484023401121820e-01,  6.961971749329985e-01,  2.649315521776012e+00
PdAg_1_9_100,  5.513618316460450e-01,  7.015239734456802e-01,  2.637780998691044e+00
PdAg_1_5_100,  2.374958845661730e-01,  1.427718573248885e-01,  3.847689570758499e+00
PdAg_1_5_100,  5.423108450430540e-01,  2.778820696389528e-01,  3.555125123419027e+00
PdAg_1_5_100,  5.500936576470050e-01,  3.023728179528819e-01,  3.502093438229017e+00
PdAg_1_5_100,  5.645630120222940e-01,  3.244557077090643e-01,  3.454275672817191e+00
PdAg_1_5_100,  5.557853067401700e-01,  3.445188397771379e-01,  3.410831442770756e+00
PdAg_1_5_100,  5.565493546496050e-01,  3.797426335138950e-01,  3.334558675736394e+00
PdAg_1_5_100,  5.598480318312991e-01,  3.953429529865028e-01,  3.300778114173708e+00
PdAg_1_5_100,  5.579843483292020e-01,  4.589995412069201e-01,  3.162937648725161e+00
PdAg_1_5_100,  5.619488591146869e-01,  4.889815545617208e-01,  3.098015308533124e+00
PdAg_1_5_100,  5.722223250453750e-01,  5.065413477849051e-01,  3.059991749012734e+00
PdAg_1_5_100,  5.688182680948790e-01,  5.225221222283931e-01,  3.025387359284978e+00
PdAg_1_5_100,  5.669074847793930e-01,  5.299962473504973e-01,  3.009203066119842e+00
PdAg_1_5_100,  5.713037334532890e-01,  5.371602047622966e-01,  2.993690402753770e+00
PdAg_1_5_100,  5.756184173897150e-01,  5.506443070152995e-01,  2.964492247736823e+00
PdAg_1_5_100,  5.815291194929140e-01,  5.631272926528462e-01,  2.937461886880708e+00
PdAg_1_1_100, -9.717271086694580e-01, -8.636882423320953e-01,  6.027054385469287e+00
PdAg_1_1_100, -9.805113751193140e-01, -7.990752866438504e-01,  5.887143024602205e+00
PdAg_1_1_100, -8.529977989918130e-01, -6.520504314656015e-01,  5.568778892360272e+00
PdAg_1_1_100, -6.470710172478540e-01, -5.790970800021699e-01,  5.410807436414011e+00
