# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_bulk_int_dist / av_E_def_subsurf) / (particle_diameter * total_metal_loading)) + a2 * (exp(7.956603e-04*((time+4.015569e+02) / (av_BE_H_subsurf+1.369745e+00)))) + a3 * (exp(1.919593e+01*((av_BE_H_subsurf+1.354233e+00) / (time+6.359197e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.104561158472705; Max AE: 0.538817502682981
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  3.694983733546319e-07, -4.588065741702148e-03, -5.498766749204689e+00, -9.259227969651563e+01,  9.377722169519102e+01, 
# 3   ,  9.403518403808700e-07, -6.517394412177586e-03, -2.522714201879722e+00,  8.483395041287347e+00, -6.588252564833363e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A * eV^-1 * nm^-1;                                8|14|div|2|1|mult|div; ((av_bulk_int_dist / av_E_def_subsurf) / (particle_diameter * total_metal_loading)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ av_{E, def, subsurf} } \right) }{ \left(particle_{diameter} total_{metal, loading}\right) } \right)$; ((av_bulk_int_dist ./ av_E_def_subsurf) ./ (particle_diameter .* total_metal_loading)); av_bulk_int_dist,av_E_def_subsurf,particle_diameter,total_metal_loading
# 2;  2; Unitless;                                         0|19|div|exp:7.9566033174196e-04,0.0000000000000e+00,4.0155686958338e+02,1.3697448911505e+00; (exp(7.956603e-04*((time+4.015569e+02) / (av_BE_H_subsurf+1.369745e+00)))); $\left(\exp{ \left(7.957e-04\left(\frac{ time +4.016e+02 }{ av_{BE, H, subsurf}+1.370e+00 } \right) \right)}\right)$; exp(7.956603e-04.*((time+4.015569e+02) ./ (av_BE_H_subsurf+1.369745e+00))); time,av_BE_H_subsurf
# 3;  2; Unitless;                                         19|0|div|exp:1.9195932414418e+01,0.0000000000000e+00,1.3542327785390e+00,6.3591967228976e+02; (exp(1.919593e+01*((av_BE_H_subsurf+1.354233e+00) / (time+6.359197e+02)))); $\left(\exp{ \left(1.920e+01\left(\frac{ av_{BE, H, subsurf} +1.354e+00 }{ time+6.359e+02 } \right) \right)}\right)$; exp(1.919593e+01.*((av_BE_H_subsurf+1.354233e+00) ./ (time+6.359197e+02))); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 170                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  4.212956441336370e-01,  5.298427863913623e-01,  1.532062667037388e+02,  1.831791657110823e+02,  4.180884598566486e-03,  9.977506554224851e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.293622571018677e-01,  2.298094000556082e+02,  1.831791657110823e+02,  3.518321987307887e-03,  9.977954983758320e-01
PdAg_1_9_100,  5.056601140297000e-01,  5.284666791649173e-01,  3.064125334074777e+02,  1.831791657110823e+02,  2.960758498481015e-03,  9.978385882992697e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.257452276925735e-01,  4.596188001112164e+02,  1.831791657110823e+02,  2.096707211036923e-03,  9.979199047702798e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.221831980684131e-01,  6.128250668149553e+02,  1.831791657110823e+02,  1.484815844004042e-03,  9.979953245246754e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.181279274794385e-01,  7.660313335186941e+02,  1.831791657110823e+02,  1.051495449150059e-03,  9.980654665263151e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.159927155849210e-01,  8.426344668705635e+02,  1.831791657110823e+02,  8.848604813362440e-04,  9.980987285159545e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.116168385498290e-01,  9.958407335743022e+02,  1.831791657110823e+02,  6.266277215555215e-04,  9.981619351702636e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.072031701708170e-01,  1.149047000278041e+03,  1.831791657110823e+02,  4.437561736612956e-04,  9.982210745051004e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.028374266640030e-01,  1.302253266981780e+03,  1.831791657110823e+02,  3.142528408632913e-04,  9.982765268776986e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.006905403419342e-01,  1.378856400333649e+03,  1.831791657110823e+02,  2.644518530749160e-04,  9.983029765458459e-01
PdAg_1_9_100,  5.372121836650180e-01,  4.964922458156116e-01,  1.532062667037388e+03,  1.831791657110823e+02,  1.872756956025702e-04,  9.983535129155791e-01
PdAg_1_9_100,  5.374193757726820e-01,  4.944470824988897e-01,  1.608665800389258e+03,  1.831791657110823e+02,  1.575973175037692e-04,  9.983776689525174e-01
PdAg_1_9_100,  5.370904880212340e-01,  4.924407374074559e-01,  1.685268933741127e+03,  1.831791657110823e+02,  1.326221985424732e-04,  9.984011264393124e-01
PdAg_1_9_100,  5.357670351206070e-01,  4.904745433492147e-01,  1.761872067092997e+03,  1.831791657110823e+02,  1.116049931866291e-04,  9.984239152453370e-01
PdAg_1_9_100,  5.243066765750370e-01,  4.885493390893976e-01,  1.838475200444866e+03,  1.831791657110823e+02,  9.391847398909260e-05,  9.984460635609784e-01
PdAg_1_9_100,  5.397703104721880e-01,  4.866655615082014e-01,  1.915078333796735e+03,  1.831791657110823e+02,  7.903481291101066e-05,  9.984675980139753e-01
PdAg_1_9_100,  5.449528999218350e-01,  4.830224719280710e-01,  2.068284600500474e+03,  1.831791657110823e+02,  5.596973283653069e-05,  9.985089246618815e-01
