# c0 + a0 * ((exp(1.374159e+00*particle_diameter)) * (av_EA / time)) + a1 * ((av_mu_C_critical_surf / time) / (ln(1.0*particle_diameter-2.999589e+00))) + a2 * (sqrt(time) / (av_W_change_H^3)) + a3 * ((av_E_def_subsurf * time) / (av_bulk_int_dist * surface_area)) + a4 * ((av_mu_C_critical_surf^6) / sqrt(std_dev))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.10535225125083; Max AE: 0.616241228605149
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.382321169387591e-04,  2.359217247808794e-03,  1.431725893633871e-06,  4.998466807387597e-01, -6.731921190257552e-05,  5.523332163523776e-01, 
# 3   , -9.306827614716259e-05,  1.013119068926622e-03,  4.079086610423973e-06,  7.890898706063625e-01, -6.668698541832800e-05,  6.376205853516668e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1;                                      2|exp:1.3741590572959e+00,0.0000000000000e+00|6|0|div|mult; ((exp(1.374159e+00*particle_diameter)) * (av_EA / time)); $\left(\left(\exp{ \left(1.374e+00particle_{diameter} \right)}\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; (exp(1.374159e+00.*particle_diameter) .* (av_EA ./ time)); particle_diameter,av_EA,time
# 1;  2; eV * min^-1;                                      11|0|div|2|log:1.0000000000000e+00,-2.9995891208670e+00|div; ((av_mu_C_critical_surf / time) / (ln(1.0*particle_diameter-2.999589e+00))); $\left(\frac{ \left(\frac{ av_{mu, C, critical, surf} }{ time } \right) }{ \left(\ln{ \left(1.0particle_{diameter}-3.000e+00 \right)}\right) } \right)$; ((av_mu_C_critical_surf ./ time) ./ log(1.0*particle_diameter-2.999589e+00)); av_mu_C_critical_surf,time,particle_diameter
# 2;  2; eV^-3 * min^0.5;                                  0|sqrt|17|cb|div; (sqrt(time) / (av_W_change_H^3)); $\left(\frac{ \left(\sqrt{ time }\right) }{ \left(av_{W, change, H}^3\right) } \right)$; (sqrt(time) ./ (av_W_change_H).^3); time,av_W_change_H
# 3;  2; A^-1 * eV * g * m^-2 * min;                       14|0|mult|8|4|mult|div; ((av_E_def_subsurf * time) / (av_bulk_int_dist * surface_area)); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(av_{bulk, int, dist} surface_{area}\right) } \right)$; ((av_E_def_subsurf .* time) ./ (av_bulk_int_dist .* surface_area)); av_E_def_subsurf,time,av_bulk_int_dist,surface_area
# 4;  2; eV^6 * nm^-0.5;                                   11|sp|3|sqrt|div; ((av_mu_C_critical_surf^6) / sqrt(std_dev)); $\left(\frac{ \left(av_{mu, C, critical, surf}^6\right) }{ \left(\sqrt{ std_{dev} }\right) } \right)$; ((av_mu_C_critical_surf).^6 ./ sqrt(std_dev)); av_mu_C_critical_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.431423543184438e-01,  3.469276347705597e+02, -2.731725652170222e-01,  3.362445161668713e+03,  1.324890116538878e-02,  2.555382949986874e+03
PdAg_1_9_100,  4.212956441336370e-01,  3.760593464219759e-01,  1.734638173852799e+02, -1.365862826085111e-01,  4.755215550367689e+03,  2.649780233077756e-02,  2.555382949986874e+03
PdAg_1_9_100,  4.889175556194310e-01,  3.923120350470921e-01,  1.156425449235199e+02, -9.105752173900741e-02,  5.823925857674359e+03,  3.974670349616635e-02,  2.555382949986874e+03
PdAg_1_9_100,  5.343009987338970e-01,  4.237332846316700e-01,  5.782127246175995e+01, -4.552876086950371e-02,  8.236274934178438e+03,  7.949340699233269e-02,  2.555382949986874e+03
PdAg_1_9_100,  5.224295719363120e-01,  4.324576936991985e-01,  4.956109068150853e+01, -3.902465217386032e-02,  8.896193694867789e+03,  9.274230815772147e-02,  2.555382949986874e+03
PdAg_1_9_100,  5.245052994310410e-01,  4.408274078333729e-01,  4.336595434631997e+01, -3.414657065212778e-02,  9.510431100735377e+03,  1.059912093231102e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.324653140763990e-01,  4.568944615425461e-01,  3.469276347705597e+01, -2.731725652170222e-02,  1.063298521828623e+04,  1.324890116538878e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.309811253181910e-01,  4.647017507099958e-01,  3.153887588823270e+01, -2.483386956518384e-02,  1.115196897940102e+04,  1.457379128192766e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.354507873556270e-01,  4.950479998279831e-01,  2.312850898470398e+01, -1.821150434780148e-02,  1.302269411367863e+04,  1.987335174808317e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.357515610659280e-01,  5.098781364160043e-01,  2.040750792767998e+01, -1.606897442453072e-02,  1.386371656190715e+04,  2.252313198116093e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.338785022320920e-01,  5.172348362488646e-01,  1.927375748725332e+01, -1.517625362316790e-02,  1.426564665110307e+04,  2.384802209769981e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.372121836650180e-01,  5.318544935526839e-01,  1.734638173852798e+01, -1.365862826085111e-02,  1.503731190421303e+04,  2.649780233077756e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.370904880212340e-01,  5.463710665638545e-01,  1.576943794411635e+01, -1.241693478259192e-02,  1.577126577783297e+04,  2.914758256385532e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.357670351206070e-01,  5.535970172775266e-01,  1.508381020741564e+01, -1.187706805291401e-02,  1.612572050174115e+04,  3.047247268039420e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.243066765750370e-01,  5.608040464500166e-01,  1.445531811543999e+01, -1.138219021737593e-02,  1.647254986835688e+04,  3.179736279693308e-01,  2.555382949986874e+03
PdAg_1_9_100,  5.397703104721880e-01,  5.679937902510395e-01,  1.387710539082239e+01, -1.092690260868089e-02,  1.681222580834357e+04,  3.312225291347195e-01,  2.555382949986874e+03
